T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.184872170E+00 1.189782388E+00 -4.910218000E-03 1.184456358E+00 1.188685885E+00 -4.229527000E-03 4.158120000E-04 1.096503000E-03
295 1.164531199E+00 1.189788613E+00 -2.525741400E-02 1.164186855E+00 1.188760401E+00 -2.457354600E-02 3.443440000E-04 1.028212000E-03
300 1.123698458E+00 1.189081402E+00 -6.538294400E-02 1.123519230E+00 1.188088385E+00 -6.456915500E-02 1.792280000E-04 9.930170000E-04
305 1.046115219E+00 1.184964230E+00 -1.388490110E-01 1.046301388E+00 1.183999618E+00 -1.376982300E-01 -1.861690000E-04 9.646120000E-04
310 1.012613006E+00 1.172249839E+00 -1.596368330E-01 1.012286594E+00 1.171347895E+00 -1.590613010E-01 3.264120000E-04 9.019440000E-04
315 1.013798572E+00 1.138971328E+00 -1.251727560E-01 1.013426965E+00 1.138310981E+00 -1.248840160E-01 3.716070000E-04 6.603470000E-04
320 1.016974330E+00 1.065443867E+00 -4.846953700E-02 1.016482567E+00 1.065442169E+00 -4.895960200E-02 4.917630000E-04 1.698000000E-06
325 1.022838835E+00 1.011707088E+00 1.113174700E-02 1.022106437E+00 1.011110146E+00 1.099629100E-02 7.323980000E-04 5.969420000E-04
330 1.032337948E+00 1.013280363E+00 1.905758500E-02 1.031163002E+00 1.012596281E+00 1.856672100E-02 1.174946000E-03 6.840820000E-04
335 1.046456892E+00 1.017015112E+00 2.944178000E-02 1.044514944E+00 1.016118349E+00 2.839659500E-02 1.941948000E-03 8.967630000E-04
340 1.065952221E+00 1.023667106E+00 4.228511500E-02 1.062742704E+00 1.022375629E+00 4.036707500E-02 3.209517000E-03 1.291477000E-03
