T d154 d184 d214 d244
d 150 180 210 240
290 1.224302967E+00 1.222795577E+00 1.221562646E+00 1.220578569E+00
295 1.227437416E+00 1.225565063E+00 1.224437031E+00 1.223312011E+00
300 1.230262804E+00 1.227995049E+00 1.226651464E+00 1.225669640E+00
305 1.233406410E+00 1.230810624E+00 1.229153574E+00 1.228066516E+00
310 1.236187035E+00 1.233439866E+00 1.231171987E+00 1.229885292E+00
315 1.237914883E+00 1.234635721E+00 1.231917665E+00 1.230296026E+00
320 1.239725864E+00 1.235975672E+00 1.232630240E+00 1.230496082E+00
325 1.240732850E+00 1.236274405E+00 1.232404547E+00 1.229645771E+00
330 1.239817216E+00 1.234578426E+00 1.230200307E+00 1.226706529E+00
335 1.239039451E+00 1.232911303E+00 1.227799208E+00 1.223775456E+00
340 1.237303677E+00 1.230168097E+00 1.224308310E+00 1.219682241E+00
