fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
00D9 29916 299.99 38.649 1.000000000E+00 1.438723927E+00 5.102603593E-11 5.019627962E+05 2.354030292E+00 4.230630664E-08 2.437082605E-02 
00D9 29916 299.99 38.649 1.000000000E+00 1.438723927E+00 5.102603593E-11 5.019627962E+05 2.354030292E+00 4.230630664E-08 2.437082605E-02 
0D10 30052 299.94 38.655 1.000000000E+00 1.501039528E+00 5.131732915E-11 5.587604149E+05 2.475355931E+00 5.291352343E-08 2.629514626E-02 
0D10 30052 299.94 38.655 1.000000000E+00 1.501039528E+00 5.131732915E-11 5.587604149E+05 2.475355931E+00 5.291352343E-08 2.629514626E-02 
0D11 30136 299.96 38.652 1.000000000E+00 1.400330464E+00 5.039216494E-11 4.919056372E+05 2.355278381E+00 4.327521198E-08 2.727823555E-02 
0D11 30136 299.96 38.652 1.000000000E+00 1.400330464E+00 5.039216494E-11 4.919056372E+05 2.355278381E+00 4.327521198E-08 2.727823555E-02 
0D12 30224 299.98 38.65 1.000000000E+00 1.443730941E+00 5.038492408E-11 4.976171509E+05 2.292543803E+00 3.970554285E-08 2.231748199E-02 
0D12 30224 299.98 38.65 1.000000000E+00 1.443730941E+00 5.038492408E-11 4.976171509E+05 2.292543803E+00 3.970554285E-08 2.231748199E-02 
0D13 30318 300 38.647 1.000000000E+00 1.480759010E+00 5.078559797E-11 5.171792516E+05 2.384004872E+00 4.707045551E-08 2.325905745E-02 
0D13 30318 300 38.647 1.000000000E+00 1.480759010E+00 5.078559797E-11 5.171792516E+05 2.384004872E+00 4.707045551E-08 2.325905745E-02 
0D14 30404 300.01 38.646 1.000000000E+00 1.475351289E+00 5.010620966E-11 4.660683119E+05 2.337846965E+00 4.281185534E-08 2.349686902E-02 
0D14 30404 300.01 38.646 1.000000000E+00 1.475351289E+00 5.010620966E-11 4.660683119E+05 2.337846965E+00 4.281185534E-08 2.349686902E-02 
0D15 30496 300.02 38.645 1.000000000E+00 1.451702485E+00 4.943966654E-11 4.545784324E+05 2.290995490E+00 3.936091477E-08 2.219619237E-02 
0D15 30496 300.02 38.645 1.000000000E+00 1.451702485E+00 4.943966654E-11 4.545784324E+05 2.290995490E+00 3.936091477E-08 2.219619237E-02 
0D16 30584 300.02 38.645 1.000000000E+00 1.484755055E+00 4.988480768E-11 4.879702212E+05 2.361796240E+00 4.600858639E-08 4.322495431E-02 
0D16 30584 300.02 38.645 1.000000000E+00 1.484755055E+00 4.988480768E-11 4.879702212E+05 2.361796240E+00 4.600858639E-08 4.322495431E-02 
0D17 30678 300.02 38.645 1.000000000E+00 1.378658915E+00 4.736290139E-11 4.349846237E+05 2.244286511E+00 3.713197337E-08 2.418706874E-02 
0D17 30678 300.02 38.645 1.000000000E+00 1.378658915E+00 4.736290139E-11 4.349846237E+05 2.244286511E+00 3.713197337E-08 2.418706874E-02 
0D18 30764 300.02 38.645 1.000000000E+00 1.476098344E+00 4.954133954E-11 5.333845546E+05 2.459814981E+00 5.528903655E-08 3.854563409E-02 
0D18 30764 300.02 38.645 1.000000000E+00 1.480139568E+00 4.967946418E-11 5.462640523E+05 2.492525085E+00 5.802689159E-08 3.847247023E-02 
