fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11 1527555323 0 555 1.779142844E+17 1.000000000E+02 2.390108369E-04 6.266515735E-01 2.718549847E+02 1.300622780E-03 
SC312V1_2.6E+11 1527555323 0 555 2.338101055E+17 1.000000000E+02 2.769122775E-04 6.462701522E-01 5.307409356E+02 1.331078363E-03 
SC312V2_2.6E+11 1527555323 0 555 2.146173081E+17 1.000000000E+02 2.733191537E-04 6.491645495E-01 5.857978094E+02 1.293787907E-03 
SC312V3_2.6E+11 1527555323 0 555 2.425036888E+17 1.000000000E+02 2.782920999E-04 6.450461597E-01 5.090443509E+02 1.268381243E-03 
SC312V4_2.6E+11 1527555323 0 555 2.559681754E+17 1.000000000E+02 2.806251902E-04 6.451533943E-01 5.109092131E+02 1.211507152E-03 
SC312V5_2.6E+11 1527555323 0 555 2.517347716E+17 1.000000000E+02 2.772428125E-04 6.448510348E-01 5.056684769E+02 1.186155317E-03 
SC312V6_2.6E+11 1527555323 0 555 2.672870957E+17 1.000000000E+02 2.822295078E-04 6.445861628E-01 5.011216964E+02 1.231985533E-03 
SC3132V1_8.9E+12 1527555323 0 555 8.075187742E+18 1.000000000E+02 3.561789081E-04 6.488493422E-01 5.795349313E+02 6.362670382E-03 
SC3132V2_4.8E+12 1527933776 0 555 5.119187888E+18 1.000000000E+02 1.429446927E-03 6.541872422E-01 6.952361104E+02 8.872592482E-04 
SC3132V3_4.8E+12 1527933776 0 555 7.094994025E+18 1.000000000E+02 1.490949419E-03 6.549178104E-01 7.127739467E+02 9.624409565E-04 
SC3132V4_4.8E+12 1527933776 0 555 6.220129926E+18 1.000000000E+02 1.462282546E-03 6.545001521E-01 7.026942887E+02 9.477940872E-04 
SC3132V5_4.8E+12 1527933776 0 555 3.871980050E+18 1.000000000E+02 1.382010257E-03 6.533918548E-01 6.766325279E+02 9.032739936E-04 
SC3152V1_1.5E+12 1527933776 0 555 1.912762280E+18 1.000000000E+02 4.670915467E-04 6.454684559E-01 5.164279078E+02 2.776332117E-03 
SC3152V2_1.5E+12 1527933776 0 555 2.970452472E+18 1.000000000E+02 4.873370726E-04 6.483859437E-01 5.704490023E+02 2.600556880E-03 
SC3152V3_1.5E+12 1527933776 0 555 3.097470028E+18 1.000000000E+02 4.958486017E-04 6.487166952E-01 5.769194166E+02 3.228725567E-03 
SC3152V4_1.5E+12 1527933776 0 555 2.513214713E+18 1.000000000E+02 4.920979814E-04 6.465116419E-01 5.351296014E+02 2.791491664E-03 
SC3152V5_1.5E+12 1527933776 0 555 1.519441559E+18 1.000000000E+02 4.260932159E-04 6.432176835E-01 4.782736304E+02 3.943306294E-03 
SC320V10_5.3E+11 1527933776 0 555 3.626166373E+17 1.000000000E+02 1.195845095E-03 6.320024084E-01 3.262733226E+02 9.076733192E-04 
SC320V1_2.1E+12 1527555323 0 555 2.206023810E+17 1.000000000E+02 2.598065891E-04 6.270702372E-01 2.757640091E+02 1.283501573E-03 
SC320V2_2.1E+12 1527555323 0 555 2.379062438E+17 1.000000000E+02 2.729276129E-04 6.284550586E-01 2.890988582E+02 1.257174643E-03 
SC320V3_2.1E+12 1527555323 0 555 2.470173812E+17 1.000000000E+02 2.735784062E-04 6.288722810E-01 2.932414209E+02 2.027363652E-03 
