fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
SC2973_1.9E+11 1527555323 0 555 8.511735857E+16 1.000000000E+02 2.304770991E-04 6.245593822E-01 2.531352191E+02 1.293649256E-03 
SC312V1_2.6E+11 1527555323 0 555 1.117835155E+17 1.000000000E+02 2.656494428E-04 6.437587098E-01 4.871793523E+02 1.339609484E-03 
SC312V2_2.6E+11 1527555323 0 555 1.027205033E+17 1.000000000E+02 2.626306972E-04 6.466380529E-01 5.374413587E+02 1.323683907E-03 
SC312V3_2.6E+11 1527555323 0 555 1.155027779E+17 1.000000000E+02 2.667685815E-04 6.426247832E-01 4.687008715E+02 1.283327113E-03 
SC312V4_2.6E+11 1527555323 0 555 1.210778057E+17 1.000000000E+02 2.686751720E-04 6.428022924E-01 4.715466012E+02 1.227387144E-03 
SC312V5_2.6E+11 1527555323 0 555 1.196977159E+17 1.000000000E+02 2.655554533E-04 6.424363454E-01 4.656987286E+02 1.198092374E-03 
SC312V6_2.6E+11 1527555323 0 555 1.270643588E+17 1.000000000E+02 2.699978995E-04 6.421253747E-01 4.607864190E+02 1.236783525E-03 
SC3132V1_8.9E+12 1527555323 0 555 2.682089416E+18 1.000000000E+02 2.850449039E-04 6.463419785E-01 5.320424821E+02 6.100333924E-03 
SC3132V2_4.8E+12 1527933776 0 555 1.836841836E+18 1.000000000E+02 1.191695997E-03 6.516304164E-01 6.371863976E+02 9.258056608E-04 
SC3132V3_4.8E+12 1527933776 0 555 2.404306729E+18 1.000000000E+02 1.207352223E-03 6.523106924E-01 6.521405117E+02 9.605444613E-04 
SC3132V4_4.8E+12 1527933776 0 555 2.160985610E+18 1.000000000E+02 1.198729981E-03 6.518950958E-01 6.429634977E+02 9.682431558E-04 
SC3132V5_4.8E+12 1527933776 0 555 1.456057726E+18 1.000000000E+02 1.177882961E-03 6.507805106E-01 6.189843149E+02 9.071242932E-04 
SC3152V1_1.5E+12 1527933776 0 555 7.891736865E+17 1.000000000E+02 4.165619464E-04 6.430260863E-01 4.751589781E+02 2.730377874E-03 
SC3152V2_1.5E+12 1527933776 0 555 1.153374942E+18 1.000000000E+02 4.231187450E-04 6.460217056E-01 5.262633980E+02 2.602791554E-03 
SC3152V3_1.5E+12 1527933776 0 555 1.201539104E+18 1.000000000E+02 4.293799516E-04 6.462186905E-01 5.298103682E+02 3.170344847E-03 
SC3152V4_1.5E+12 1527933776 0 555 9.909656185E+17 1.000000000E+02 4.317139736E-04 6.442813587E-01 4.959400114E+02 2.792257314E-03 
SC3152V5_1.5E+12 1527933776 0 555 6.391118888E+17 1.000000000E+02 3.844838898E-04 6.409264507E-01 4.423275242E+02 3.841108082E-03 
SC320V10_5.3E+11 1527933776 0 555 1.668140327E+17 1.000000000E+02 1.135495982E-03 6.299414457E-01 3.041300436E+02 9.320410263E-04 
SC320V1_2.1E+12 1527555323 0 555 1.060410931E+17 1.000000000E+02 2.495826102E-04 6.247968313E-01 2.551932150E+02 1.275354158E-03 
SC320V2_2.1E+12 1527555323 0 555 1.133714256E+17 1.000000000E+02 2.617520595E-04 6.261987712E-01 2.676895598E+02 1.249753243E-03 
SC320V3_2.1E+12 1527555323 0 555 1.169987115E+17 1.000000000E+02 2.621464533E-04 6.266682090E-01 2.720092469E+02 2.054409567E-03 
SC320V4_2.1E+12 1527555323 0 555 9.172726849E+16 1.000000000E+02 2.249280605E-04 6.242011196E-01 2.500614880E+02 1.231842264E-03 
