fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 56704 339.38 34.163 1.055595211E+00 2.188827406E+00 3.462203386E-08 2.746128320E+04 1.554795594E-04 2.582376270E-01 1.550567833E-04 6.270585191E-01 2.510836105E-05 1.939864601E-01 1.294298744E-04 1.520833894E-02 
00L2 56830 339.56 34.145 1.055023862E+00 2.202348539E+00 3.500557966E-08 1.889307988E+04 1.578329628E-04 2.578143539E-01 1.578329628E-04 6.141291829E-01 2.498990111E-05 1.934606636E-01 1.291674170E-04 3.184658320E-02 
00L3 56926 339.63 34.138 1.057340711E+00 2.202850885E+00 3.644273418E-08 2.895536611E+04 1.549194185E-04 2.574028606E-01 1.545019099E-04 6.267093422E-01 2.492375021E-05 1.933170540E-01 1.289106888E-04 1.930261340E-02 
00L4 57028 339.73 34.128 1.058518872E+00 2.207335114E+00 3.729669032E-08 2.921889012E+04 1.550093093E-04 2.559555508E-01 1.545742369E-04 6.303202671E-01 2.493807547E-05 1.928699146E-01 1.292233821E-04 1.453540415E-01 
00L5 57128 339.77 34.124 1.050727485E+00 2.232392413E+00 3.441994173E-08 2.095585961E+04 1.555980894E-04 2.570012379E-01 1.543177281E-04 6.250571942E-01 2.478967278E-05 1.930661232E-01 1.283884672E-04 1.042538590E-02 
00L6 57222 339.81 34.12 1.057695701E+00 2.227910424E+00 3.740772162E-08 2.892819853E+04 1.550229119E-04 2.556260963E-01 1.545376719E-04 6.297463365E-01 2.487741224E-05 1.929540730E-01 1.288302028E-04 1.505498642E-01 
00L7 57324 339.86 34.115 1.056876804E+00 2.228029852E+00 3.705450542E-08 2.763708417E+04 1.547802776E-04 2.568490429E-01 1.542774483E-04 6.255460842E-01 2.478789848E-05 1.928118724E-01 1.285431313E-04 1.755063664E-02 
00L8 57466 340.03 34.098 1.077534494E+00 2.379442833E+00 5.870886550E-08 4.475609544E+04 1.188323293E-04 2.402907276E-01 1.188323293E-04 6.106685375E-01 1.743721681E-05 1.785894999E-01 9.764174971E-05 5.431411713E-01 
00L9 57596 339.75 34.126 1.073332094E+00 2.380239958E+00 5.239236314E-08 4.416282698E+04 1.223153388E-04 2.433973190E-01 1.223153388E-04 6.137617869E-01 1.827244059E-05 1.815839331E-01 1.006332906E-04 8.229352695E-02 
0L10 57694 339.86 34.115 1.079310749E+00 2.359653065E+00 5.520598359E-08 5.818089611E+04 1.256984199E-04 2.442236771E-01 1.256984199E-04 6.159122912E-01 1.890760213E-05 1.826560408E-01 1.035102736E-04 4.934180430E-02 
0L11 57796 339.93 34.108 1.088991066E+00 2.334640151E+00 6.004808186E-08 6.227913792E+04 1.283173649E-04 2.539677605E-01 1.283173649E-04 5.949460647E-01 1.938838423E-05 1.831896257E-01 1.058723526E-04 3.085223852E-01 
