fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
UDT0 9:26 299 38.78 1.000E+000 1.005E+001 3.883E-011 1.703E+004 2.946E+000 9.072E-006 1.106E-003 
UDT1 9:28 299 38.78 1.000E+000 1.002E+001 3.815E-011 1.703E+004 2.941E+000 8.996E-006 8.322E-004 
UDT2 9:31 299.1 38.76 1.000E+000 1.003E+001 3.891E-011 1.697E+004 2.934E+000 8.932E-006 9.414E-004 
UDT3 9:34 299 38.78 1.000E+000 9.943E+000 3.631E-011 1.703E+004 2.917E+000 8.737E-006 1.155E-003 
UDT4 9:37 299 38.78 1.000E+000 1.002E+001 3.898E-011 1.703E+004 2.943E+000 9.018E-006 9.856E-004 
UDT5 9:39 299 38.78 1.000E+000 9.991E+000 3.820E-011 1.703E+004 2.935E+000 8.914E-006 9.893E-004 
UDT6 9:42 299 38.78 1.000E+000 9.994E+000 3.842E-011 1.703E+004 2.941E+000 9.002E-006 8.807E-004 
UDT7 9:45 299 38.78 1.000E+000 9.956E+000 3.755E-011 1.703E+004 2.931E+000 8.861E-006 1.092E-003 
UDT8 9:49 299 38.78 1.000E+000 9.980E+000 3.877E-011 1.703E+004 2.947E+000 9.074E-006 1.247E-003 
UDT9 9:51 299.1 38.76 1.000E+000 9.952E+000 3.836E-011 1.697E+004 2.928E+000 8.854E-006 1.002E-003 
