X GE200Nph GE300Nph Orion400Nph Orion600Nph Orion700Nph Osram200Nph Osram400Nph Osram600Nph Osram700Nph
4.64000E+2 9.64664E-4 1.58346E-2 4.93409E-3 2.16285E-2 2.65957E-2 1.57598E-3 5.98862E-3 2.01618E-2 2.46466E-2
4.65000E+2 2.20456E-3 1.60411E-2 5.78318E-3 2.20349E-2 2.73225E-2 1.92233E-3 6.96596E-3 2.02650E-2 2.48223E-2
4.66000E+2 3.09860E-3 1.67623E-2 6.29554E-3 2.23192E-2 2.76621E-2 1.30877E-3 6.37419E-3 2.06238E-2 2.60937E-2
4.67000E+2 5.14384E-3 1.78896E-2 6.67212E-3 2.28837E-2 2.79746E-2 1.94638E-3 7.11242E-3 2.10703E-2 2.60361E-2
4.68000E+2 5.00056E-3 1.90042E-2 7.13372E-3 2.33668E-2 2.82207E-2 2.41989E-3 7.85771E-3 2.16183E-2 2.66094E-2
4.69000E+2 6.00452E-3 2.01131E-2 7.71889E-3 2.37285E-2 2.87844E-2 2.98640E-3 8.48578E-3 2.23679E-2 2.71834E-2
4.70000E+2 6.81306E-3 2.14863E-2 8.21710E-3 2.42696E-2 2.94402E-2 3.34572E-3 9.33638E-3 2.28521E-2 2.77808E-2
4.71000E+2 7.69592E-3 2.24275E-2 8.76502E-3 2.50507E-2 2.99999E-2 3.98081E-3 1.00214E-2 2.35374E-2 2.83349E-2
4.72000E+2 8.75271E-3 2.33090E-2 9.33192E-3 2.54452E-2 3.02293E-2 4.43564E-3 1.06713E-2 2.41950E-2 2.89739E-2
4.73000E+2 9.51751E-3 2.42711E-2 9.73780E-3 2.57604E-2 3.05899E-2 5.05674E-3 1.13789E-2 2.47750E-2 2.95773E-2
4.74000E+2 1.06409E-2 2.50146E-2 1.01391E-2 2.63243E-2 3.11008E-2 5.27947E-3 1.18751E-2 2.53198E-2 3.02551E-2
4.75000E+2 1.21097E-2 2.58919E-2 1.05238E-2 2.66664E-2 3.14347E-2 5.78757E-3 1.24910E-2 2.60120E-2 3.08678E-2
4.76000E+2 1.26972E-2 2.70413E-2 1.11338E-2 2.70583E-2 3.16038E-2 6.36600E-3 1.31216E-2 2.71170E-2 3.13958E-2
4.77000E+2 1.35648E-2 2.80381E-2 1.15548E-2 2.72822E-2 3.20034E-2 7.05051E-3 1.36995E-2 2.76965E-2 3.22197E-2
4.78000E+2 1.44582E-2 2.88731E-2 1.15838E-2 2.75573E-2 3.23355E-2 7.53257E-3 1.43495E-2 2.81902E-2 3.28831E-2
4.79000E+2 1.53174E-2 2.98952E-2 1.24201E-2 2.78891E-2 3.25400E-2 7.94319E-3 1.51373E-2 2.87322E-2 3.35079E-2
4.80000E+2 1.62133E-2 3.06796E-2 1.28040E-2 2.80980E-2 3.28553E-2 8.21307E-3 1.56146E-2 2.92657E-2 3.41153E-2
4.81000E+2 1.70244E-2 3.13629E-2 1.32515E-2 2.82946E-2 3.31500E-2 8.34035E-3 1.58801E-2 2.96318E-2 3.45127E-2
4.82000E+2 1.76518E-2 3.21678E-2 1.36350E-2 2.85888E-2 3.35457E-2 8.60442E-3 1.63786E-2 3.00364E-2 3.48155E-2
4.83000E+2 1.83062E-2 3.27890E-2 1.39173E-2 2.90261E-2 3.39774E-2 8.91261E-3 1.68424E-2 3.02388E-2 3.52464E-2
4.84000E+2 1.88502E-2 3.34302E-2 1.42071E-2 2.94488E-2 3.43630E-2 9.29826E-3 1.71997E-2 3.06070E-2 3.54966E-2
4.85000E+2 1.97535E-2 3.41462E-2 1.45184E-2 3.01021E-2 3.49825E-2 9.52073E-3 1.77120E-2 3.09950E-2 3.59978E-2
4.86000E+2 2.03681E-2 3.46623E-2 1.48087E-2 3.06587E-2 3.55742E-2 9.75290E-3 1.80712E-2 3.13920E-2 3.64312E-2
4.87000E+2 2.09437E-2 3.54356E-2 1.51626E-2 3.12642E-2 3.62578E-2 9.91044E-3 1.84590E-2 3.19048E-2 3.71565E-2
4.88000E+2 2.17272E-2 3.62079E-2 1.55114E-2 3.17670E-2 3.70605E-2 1.04368E-2 1.90600E-2 3.23192E-2 3.74987E-2
4.89000E+2 2.25609E-2 3.70793E-2 1.57512E-2 3.25905E-2 3.80123E-2 1.07820E-2 1.96054E-2 3.29014E-2 3.80495E-2
4.90000E+2 2.31135E-2 3.79214E-2 1.61703E-2 3.35231E-2 3.86972E-2 1.10966E-2 2.01582E-2 3.35312E-2 3.87987E-2
4.91000E+2 2.38850E-2 3.87179E-2 1.66961E-2 3.44809E-2 3.95703E-2 1.14056E-2 2.09900E-2 3.43135E-2 3.95632E-2
4.92000E+2 2.47683E-2 3.98939E-2 1.70980E-2 3.52356E-2 4.07041E-2 1.18340E-2 2.16015E-2 3.51081E-2 4.02836E-2
4.93000E+2 2.56987E-2 4.09301E-2 1.74627E-2 3.62692E-2 4.15974E-2 1.23912E-2 2.22005E-2 3.61185E-2 4.14966E-2
4.94000E+2 2.66931E-2 4.19927E-2 1.79679E-2 3.71516E-2 4.25082E-2 1.29617E-2 2.30774E-2 3.70494E-2 4.24765E-2
4.95000E+2 2.76172E-2 4.33005E-2 1.84423E-2 3.78866E-2 4.33835E-2 1.35082E-2 2.39631E-2 3.80796E-2 4.34574E-2
