N x
1.5257155E+0 1.3103889E+21
1.5159735E+0 1.1551493E+21
1.5035223E+0 1.3274028E+21
1.4965532E+0 1.4222067E+21
1.4852525E+0 1.0421033E+21
1.4714450E+0 9.9268861E+20
1.4586790E+0 1.3041489E+21
1.4510696E+0 1.3732483E+21
1.4391640E+0 1.1435780E+21
1.4274783E+0 1.2887312E+21
1.4180738E+0 1.3531203E+21
1.4072320E+0 1.0525614E+21
1.3918163E+0 1.0942126E+21
1.3817850E+0 1.2774148E+21
1.3698025E+0 1.4294243E+21
1.3619842E+0 1.3280277E+21
1.3482886E+0 1.0086334E+21
1.3334193E+0 1.1289415E+21
1.3225328E+0 1.2580602E+21
1.3100679E+0 1.2304419E+21
1.2984524E+0 1.2279069E+21
1.2857034E+0 1.1358412E+21
1.2718520E+0 1.1580507E+21
1.2593543E+0 1.0455090E+21
1.2423080E+0 1.1557430E+21
1.2323877E+0 1.3959791E+21
1.2197126E+0 1.1414380E+21
1.2044682E+0 1.0999816E+21
1.1904196E+0 1.1413018E+21
1.1758825E+0 1.1948276E+21
1.1627996E+0 1.1799860E+21
1.1475567E+0 1.0977619E+21
1.1319718E+0 1.2334992E+21
1.1197894E+0 1.2439468E+21
1.1040520E+0 1.1274620E+21
1.0885996E+0 1.1343223E+21
1.0725988E+0 1.1541273E+21
1.0572422E+0 1.1277814E+21
1.0400040E+0 1.1265294E+21
1.0241215E+0 1.2130347E+21
1.0087557E+0 1.1419874E+21
9.9036442E-1 1.1513198E+21
9.7474931E-1 1.2293532E+21
9.5794117E-1 1.1549245E+21
9.3962483E-1 1.1220212E+21
9.2110695E-1 1.1539399E+21
9.0310356E-1 1.1537736E+21
8.8381532E-1 1.1676828E+21
8.6549946E-1 1.1813845E+21
8.4580976E-1 1.1442545E+21
8.2536107E-1 1.1362501E+21
