x N
1.5684658E+0 1.1058953E+21
1.5572327E+0 1.1213290E+21
1.5462306E+0 1.1524028E+21
1.5354430E+0 1.1695198E+21
1.5246071E+0 1.1488133E+21
1.5132700E+0 1.1468010E+21
1.5022347E+0 1.1765884E+21
1.4913024E+0 1.1778488E+21
1.4801271E+0 1.1563623E+21
1.4686133E+0 1.1552079E+21
1.4572410E+0 1.1745578E+21
1.4459279E+0 1.1791261E+21
1.4344651E+0 1.1540389E+21
1.4224678E+0 1.1609997E+21
1.4109573E+0 1.0823402E+21
1.3970196E+0 1.0740991E+21
1.3850990E+0 1.1696645E+21
1.3730512E+0 1.1576479E+21
1.3606675E+0 1.1654076E+21
1.3485671E+0 1.1733526E+21
1.3361253E+0 1.1767961E+21
1.3238737E+0 1.1691273E+21
1.3110325E+0 1.1620254E+21
1.2983878E+0 1.1678686E+21
1.2854221E+0 1.1711257E+21
1.2725957E+0 1.1602736E+21
1.2591182E+0 1.1600429E+21
1.2460157E+0 1.1618952E+21
1.2322908E+0 1.1580183E+21
1.2188081E+0 1.1563679E+21
1.2047337E+0 1.1575749E+21
1.1909684E+0 1.1591864E+21
1.1766006E+0 1.1565772E+21
1.1624373E+0 1.1550763E+21
1.1476744E+0 1.1427041E+21
1.1328283E+0 1.1503909E+21
1.1178775E+0 1.1508767E+21
1.1026432E+0 1.1476338E+21
1.0871897E+0 1.1424694E+21
1.0713765E+0 1.1413428E+21
1.0554335E+0 1.1380752E+21
1.0390432E+0 1.1364605E+21
1.0225488E+0 1.1386179E+21
1.0056870E+0 1.1353725E+21
