fname time Tem kT_1 Io Et Ud Iph dev 
01RV 01rv.dat 292.1 39.69 5.731E-003 1.855E-003 7.470E-001 0.000E+000 7.655E-003 
02RV 02rv.dat 292.1 39.69 1.687E-003 1.600E-003 1.690E-001 0.000E+000 8.041E-003 
03RV 03rv.dat 555 20.89 5.992E-003 1.857E-003 7.138E-001 0.000E+000 9.964E-003 
04RV 04rv.dat 294.1 39.42 2.201E-003 1.647E-003 3.630E-001 0.000E+000 6.791E-003 
05RV 05rv.dat 293.8 39.46 1.375E-003 1.559E-003 2.211E-001 0.000E+000 8.582E-003 
06RV 06rv.dat 295.1 39.29 3.388E+005 5.212E-003 7.717E+000 0.000E+000 3.367E-002 
07RV 07rv.dat 295 39.3 2.077E-003 1.635E-003 3.977E-001 0.000E+000 1.260E-002 
08RV 08rv.dat 295 39.3 1.759E+009 6.280E-003 8.000E+000 0.000E+000 8.200E-002 
09RV 09rv.dat 297.6 38.96 1.539E-003 1.573E-003 3.381E-001 0.000E+000 9.452E-003 
10RV 10rv.dat 297.5 38.97 1.636E+003 4.151E-003 5.284E+000 0.000E+000 3.759E-002 
11RV 11rv.dat 297.5 38.97 2.338E-003 1.649E-003 4.655E-001 0.000E+000 5.915E-003 
12RV 12rv.dat 300.1 38.63 3.216E-003 1.716E-003 6.681E-001 0.000E+000 1.073E-002 
13RV 13rv.dat 300 38.65 2.053E-003 1.625E-003 4.896E-001 0.000E+000 1.068E-002 
14RV 14rv.dat 302.6 38.32 2.446E-003 1.653E-003 5.423E-001 0.000E+000 1.381E-002 
15RV 15rv.dat 302.5 38.33 4.785E-003 1.785E-003 7.965E-001 0.000E+000 1.168E-002 
16RV 16rv.dat 302.5 38.33 2.239E-003 1.640E-003 5.495E-001 0.000E+000 8.249E-003 
17RV 17rv.dat 305.1 38 1.913E-003 1.602E-003 4.936E-001 0.000E+000 1.027E-002 
18RV 18rv.dat 305 38.01 5.345E-003 1.795E-003 8.294E-001 0.000E+000 1.357E-002 
19RV 19rv.dat 305 38.01 7.708E-003 1.869E-003 9.841E-001 0.000E+000 9.305E-003 
20RV 20rv.dat 307.5 37.7 2.401E-003 1.630E-003 5.298E-001 0.000E+000 1.188E-002 
21RV 21rv.dat 307.5 37.7 1.397E-003 1.519E-003 3.167E-001 0.000E+000 1.164E-002 
22RV 22rv.dat 307.5 37.7 2.480E-003 1.642E-003 5.857E-001 0.000E+000 7.816E-003 
23RV 23rv.dat 310 37.4 6.710E-003 1.845E-003 1.058E+000 0.000E+000 9.168E-003 
24RV 24rv.dat 310 37.4 4.867E-003 1.765E-003 8.235E-001 0.000E+000 9.705E-003 
25RV 25rv.dat 310 37.4 8.299E-003 1.877E-003 1.083E+000 0.000E+000 1.031E-002 
26RV 26rv.dat 312.6 37.09 6.689E-003 1.828E-003 1.001E+000 0.000E+000 1.050E-002 
27RV 27rv.dat 312.5 37.1 5.921E-003 1.812E-003 9.866E-001 0.000E+000 1.059E-002 
28RV 28rv.dat 312.5 37.1 4.080E-003 1.723E-003 7.596E-001 0.000E+000 8.648E-003 
29RV 29rv.dat 315 36.81 2.209E-003 1.597E-003 5.203E-001 0.000E+000 1.089E-002 
30RV 30rv.dat 315 36.81 5.020E-003 1.757E-003 8.046E-001 0.000E+000 1.012E-002 
31RV 31rv.dat 315 36.81 4.960E-003 1.765E-003 8.440E-001 0.000E+000 1.065E-002 
32RV 32rv.dat 317.6 36.51 3.875E-003 1.705E-003 7.372E-001 0.000E+000 7.634E-003 
33RV 33rv.dat 317.5 36.52 9.107E-003 1.878E-003 1.110E+000 0.000E+000 1.086E-002 
34RV 34rv.dat 317.5 36.52 7.497E-003 1.834E-003 9.939E-001 0.000E+000 9.499E-003 
35RV 35rv.dat 320.1 36.22 1.776E-002 2.001E-003 1.389E+000 0.000E+000 1.006E-002 
36RV 36rv.dat 320 36.23 2.392E-002 2.061E-003 1.519E+000 0.000E+000 1.204E-002 
