N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 330 1.129728020E+00 1.165822157E+00
1.468000E+10 1.000e+17 330 1.137289378E+00 1.165922270E+00
2.154000E+10 1.000e+17 330 1.146638765E+00 1.166068155E+00
3.162000E+10 1.000e+17 330 1.154231618E+00 1.166993805E+00
4.642000E+10 1.000e+17 330 1.160519048E+00 1.168465952E+00
6.813000E+10 1.000e+17 330 1.165341174E+00 1.170327595E+00
1.000000E+11 1.000e+17 330 1.167087759E+00 1.172852666E+00
1.468000E+11 1.000e+17 330 1.171976344E+00 1.176000686E+00
2.154000E+11 1.000e+17 330 1.176159277E+00 1.176677814E+00
3.162000E+11 1.000e+17 330 1.180598867E+00 1.182550219E+00
4.642000E+11 1.000e+17 330 1.186810982E+00 1.188193558E+00
6.813000E+11 1.000e+17 330 1.192361777E+00 1.193335537E+00
1.000000E+12 1.000e+17 330 1.194524178E+00 1.195207610E+00
1.468000E+12 1.000e+17 330 1.198770052E+00 1.199250211E+00
2.154000E+12 1.000e+17 330 1.201636816E+00 1.202123723E+00
3.162000E+12 1.000e+17 330 1.204600452E+00 1.205098399E+00
4.642000E+12 1.000e+17 330 1.207235927E+00 1.207508069E+00
6.813000E+12 1.000e+17 330 1.211421901E+00 1.211892406E+00
1.000000E+13 1.000e+17 330 1.165990770E+00 1.166054355E+00
