N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 305 1.132097165E+00 1.149034689E+00
1.468000E+10 1.000e+17 305 1.137524235E+00 1.149528054E+00
2.154000E+10 1.000e+17 305 1.141816695E+00 1.149898405E+00
3.162000E+10 1.000e+17 305 1.145351944E+00 1.150431400E+00
4.642000E+10 1.000e+17 305 1.148455745E+00 1.151192135E+00
6.813000E+10 1.000e+17 305 1.150494794E+00 1.152265442E+00
1.000000E+11 1.000e+17 305 1.152288432E+00 1.153756713E+00
1.468000E+11 1.000e+17 305 1.154557917E+00 1.155816084E+00
2.154000E+11 1.000e+17 305 1.157496098E+00 1.158614437E+00
3.162000E+11 1.000e+17 305 1.161203907E+00 1.162224719E+00
4.642000E+11 1.000e+17 305 1.165748656E+00 1.166699400E+00
6.813000E+11 1.000e+17 305 1.168869335E+00 1.169190019E+00
1.000000E+12 1.000e+17 305 1.171012042E+00 1.171234661E+00
1.468000E+12 1.000e+17 305 1.172771974E+00 1.172925266E+00
2.154000E+12 1.000e+17 305 1.174230481E+00 1.174334166E+00
3.162000E+12 1.000e+17 305 1.175574155E+00 1.176266782E+00
4.642000E+12 1.000e+17 305 1.1835233E+00 1.1835233E+00
6.813000E+12 1.000e+17 305 1.185257622E+00 1.185212125E+00
1.000000E+13 1.000e+17 305 1.186674784E+00 1.186688299E+00
