N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 340 1.163442041E+00 1.244179320E+00
1.468000E+10 1.000e+17 340 1.181279729E+00 1.244247012E+00
2.154000E+10 1.000e+17 340 1.198276901E+00 1.244346210E+00
3.162000E+10 1.000e+17 340 1.212151298E+00 1.244491517E+00
4.642000E+10 1.000e+17 340 1.222886575E+00 1.244704151E+00
6.813000E+10 1.000e+17 340 1.229026684E+00 1.245014845E+00
1.000000E+11 1.000e+17 340 1.232288862E+00 1.245467885E+00
1.468000E+11 1.000e+17 340 1.235519836E+00 1.246126530E+00
2.154000E+11 1.000e+17 340 1.238678184E+00 1.247079976E+00
3.162000E+11 1.000e+17 340 1.241834189E+00 1.248451768E+00
4.642000E+11 1.000e+17 340 1.245167089E+00 1.250408649E+00
6.813000E+11 1.000e+17 340 1.248946467E+00 1.253167722E+00
1.000000E+12 1.000e+17 340 1.253509116E+00 1.255847733E+00
1.468000E+12 1.000e+17 340 1.256805183E+00 1.257771284E+00
2.154000E+12 1.000e+17 340 1.258928832E+00 1.259629034E+00
3.162000E+12 1.000e+17 340 1.260995948E+00 1.261474630E+00
4.642000E+12 1.000e+17 340 1.262672706E+00 1.263055536E+00
6.813000E+12 1.000e+17 340 1.264703753E+00 1.266973691E+00
1.000000E+13 1.000e+17 340 1.270529274E+00 1.271114845E+00
