N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 295 1.129938114E+00 1.141565078E+00
1.468000E+10 1.000e+17 295 1.133851548E+00 1.142016213E+00
2.154000E+10 1.000e+17 295 1.136944692E+00 1.142636991E+00
3.162000E+10 1.000e+17 295 1.139518416E+00 1.143468926E+00
4.642000E+10 1.000e+17 295 1.141811653E+00 1.144546305E+00
6.813000E+10 1.000e+17 295 1.143990874E+00 1.145881359E+00
1.000000E+11 1.000e+17 295 1.146143779E+00 1.147449847E+00
1.468000E+11 1.000e+17 295 1.149108556E+00 1.150007855E+00
2.154000E+11 1.000e+17 295 1.151027635E+00 1.151649839E+00
3.162000E+11 1.000e+17 295 1.152633053E+00 1.153062061E+00
4.642000E+11 1.000e+17 295 1.154594841E+00 1.154890055E+00
6.813000E+11 1.000e+17 295 1.156232634E+00 1.156436876E+00
1.000000E+12 1.000e+17 295 1.158804044E+00 1.159882846E+00
1.468000E+12 1.000e+17 295 1.168597526E+00 1.169073788E+00
2.154000E+12 1.000e+17 295 1.169993480E+00 1.170064689E+00
3.162000E+12 1.000e+17 295 1.170791203E+00 1.170817447E+00
4.642000E+12 1.000e+17 295 1.170934863E+00 1.170849887E+00
6.813000E+12 1.000e+17 295 1.161509207E+00 1.161492792E+00
1.000000E+13 1.000e+17 295 1.177936718E+00 1.178626026E+00
