N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 335 1.126384612E+00 1.169673802E+00
1.468000E+10 1.000e+17 335 1.136228253E+00 1.169758340E+00
2.154000E+10 1.000e+17 335 1.146266152E+00 1.169928353E+00
3.162000E+10 1.000e+17 335 1.154855971E+00 1.170925267E+00
4.642000E+10 1.000e+17 335 1.161940674E+00 1.172319891E+00
6.813000E+10 1.000e+17 335 1.168024607E+00 1.174230147E+00
1.000000E+11 1.000e+17 335 1.169872451E+00 1.176774507E+00
1.468000E+11 1.000e+17 335 1.175143032E+00 1.179416934E+00
2.154000E+11 1.000e+17 335 1.179488079E+00 1.180947384E+00
3.162000E+11 1.000e+17 335 1.184556942E+00 1.186923720E+00
4.642000E+11 1.000e+17 335 1.191488221E+00 1.193171720E+00
6.813000E+11 1.000e+17 335 1.197334418E+00 1.198527130E+00
1.000000E+12 1.000e+17 335 1.200374578E+00 1.201315475E+00
1.468000E+12 1.000e+17 335 1.205244249E+00 1.205837137E+00
2.154000E+12 1.000e+17 335 1.209225734E+00 1.209641654E+00
3.162000E+12 1.000e+17 335 1.211723415E+00 1.213138406E+00
4.642000E+12 1.000e+17 335 1.215158419E+00 1.216023691E+00
6.813000E+12 1.000e+17 335 1.218176694E+00 1.218339267E+00
1.000000E+13 1.000e+17 335 1.220770993E+00 1.220850720E+00
