N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 320 1.130289011E+00 1.158559514E+00
1.468000E+10 1.000e+17 320 1.139267426E+00 1.158812756E+00
2.154000E+10 1.000e+17 320 1.146465248E+00 1.159021170E+00
3.162000E+10 1.000e+17 320 1.152284262E+00 1.159607765E+00
4.642000E+10 1.000e+17 320 1.157172130E+00 1.161004040E+00
6.813000E+10 1.000e+17 320 1.158657535E+00 1.162858898E+00
1.000000E+11 1.000e+17 320 1.161316197E+00 1.165234375E+00
1.468000E+11 1.000e+17 320 1.165384359E+00 1.168136121E+00
2.154000E+11 1.000e+17 320 1.170158564E+00 1.170738579E+00
3.162000E+11 1.000e+17 320 1.171638553E+00 1.172928471E+00
4.642000E+11 1.000e+17 320 1.176390128E+00 1.177295303E+00
6.813000E+11 1.000e+17 320 1.179056726E+00 1.179689995E+00
1.000000E+12 1.000e+17 320 1.181974079E+00 1.182415763E+00
1.468000E+12 1.000e+17 320 1.184347738E+00 1.185241734E+00
2.154000E+12 1.000e+17 320 1.189092568E+00 1.189802874E+00
3.162000E+12 1.000e+17 320 1.193681264E+00 1.194748553E+00
4.642000E+12 1.000e+17 320 1.196534871E+00 1.196944566E+00
6.813000E+12 1.000e+17 320 1.203270648E+00 1.203152459E+00
1.000000E+13 1.000e+17 320 1.168040609E+00 1.167995109E+00
