N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 305 1.132259084E+00 1.149608783E+00
1.468000E+10 1.000e+17 305 1.137951070E+00 1.149865679E+00
2.154000E+10 1.000e+17 305 1.142440206E+00 1.150237735E+00
3.162000E+10 1.000e+17 305 1.146109176E+00 1.150773419E+00
4.642000E+10 1.000e+17 305 1.149146595E+00 1.151538314E+00
6.813000E+10 1.000e+17 305 1.150682121E+00 1.152618217E+00
1.000000E+11 1.000e+17 305 1.152513683E+00 1.154119904E+00
1.468000E+11 1.000e+17 305 1.154812037E+00 1.156187685E+00
2.154000E+11 1.000e+17 305 1.157794046E+00 1.159014942E+00
3.162000E+11 1.000e+17 305 1.161544254E+00 1.162659024E+00
4.642000E+11 1.000e+17 305 1.166148071E+00 1.167186507E+00
6.813000E+11 1.000e+17 305 1.169600006E+00 1.169943512E+00
1.000000E+12 1.000e+17 305 1.171835584E+00 1.172072492E+00
1.468000E+12 1.000e+17 305 1.173582780E+00 1.173747733E+00
2.154000E+12 1.000e+17 305 1.175037928E+00 1.175151561E+00
3.162000E+12 1.000e+17 305 1.176306562E+00 1.177068834E+00
4.642000E+12 1.000e+17 305 1.187938311E+00 1.187688650E+00
6.813000E+12 1.000e+17 305 1.186311982E+00 1.186046606E+00
1.000000E+13 1.000e+17 305 1.186530368E+00 1.186545861E+00
