N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 340 1.122096890E+00 1.173680765E+00
1.468000E+10 1.000e+17 340 1.137115406E+00 1.173752583E+00
2.154000E+10 1.000e+17 340 1.145551833E+00 1.174059990E+00
3.162000E+10 1.000e+17 340 1.155210230E+00 1.175025382E+00
4.642000E+10 1.000e+17 340 1.163163858E+00 1.176383552E+00
6.813000E+10 1.000e+17 340 1.169917148E+00 1.178258894E+00
1.000000E+11 1.000e+17 340 1.173627876E+00 1.180783969E+00
1.468000E+11 1.000e+17 340 1.178216229E+00 1.182995774E+00
2.154000E+11 1.000e+17 340 1.182990053E+00 1.185420402E+00
3.162000E+11 1.000e+17 340 1.188227559E+00 1.191077888E+00
4.642000E+11 1.000e+17 340 1.195887525E+00 1.197919986E+00
6.813000E+11 1.000e+17 340 1.199861072E+00 1.201300865E+00
1.000000E+12 1.000e+17 340 1.206590979E+00 1.207617408E+00
1.468000E+12 1.000e+17 340 1.211536539E+00 1.212260690E+00
2.154000E+12 1.000e+17 340 1.216418778E+00 1.216930410E+00
3.162000E+12 1.000e+17 340 1.219820653E+00 1.221105065E+00
4.642000E+12 1.000e+17 340 1.224237080E+00 1.224661251E+00
6.813000E+12 1.000e+17 340 1.227176990E+00 1.227351054E+00
1.000000E+13 1.000e+17 340 1.230255853E+00 1.230377152E+00
