N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 315 1.130979851E+00 1.155246095E+00
1.468000E+10 1.000e+17 315 1.138751744E+00 1.155418767E+00
2.154000E+10 1.000e+17 315 1.144939346E+00 1.155669552E+00
3.162000E+10 1.000e+17 315 1.149955640E+00 1.156032049E+00
4.642000E+10 1.000e+17 315 1.154222706E+00 1.156552541E+00
6.813000E+10 1.000e+17 315 1.155559892E+00 1.158159110E+00
1.000000E+11 1.000e+17 315 1.157264531E+00 1.160429945E+00
1.468000E+11 1.000e+17 315 1.160932814E+00 1.163149642E+00
2.154000E+11 1.000e+17 315 1.166004131E+00 1.167558576E+00
3.162000E+11 1.000e+17 315 1.169073280E+00 1.169631683E+00
4.642000E+11 1.000e+17 315 1.171104180E+00 1.171625634E+00
6.813000E+11 1.000e+17 315 1.173660824E+00 1.174158979E+00
1.000000E+12 1.000e+17 315 1.176820259E+00 1.177303131E+00
1.468000E+12 1.000e+17 315 1.182211391E+00 1.182460646E+00
2.154000E+12 1.000e+17 315 1.185464901E+00 1.185935327E+00
3.162000E+12 1.000e+17 315 1.191105207E+00 1.191582783E+00
4.642000E+12 1.000e+17 315 1.193398666E+00 1.193033565E+00
6.813000E+12 1.000e+17 315 1.190964126E+00 1.190783982E+00
1.000000E+13 1.000e+17 315 1.172394760E+00 1.172344546E+00
