N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 315 1.175090805E+00 1.218392723E+00
1.468000E+10 1.000e+17 315 1.185776391E+00 1.218404209E+00
2.154000E+10 1.000e+17 315 1.193878545E+00 1.218420958E+00
3.162000E+10 1.000e+17 315 1.199845836E+00 1.218445165E+00
4.642000E+10 1.000e+17 315 1.204152835E+00 1.218480396E+00
6.813000E+10 1.000e+17 315 1.207224307E+00 1.218531212E+00
1.000000E+11 1.000e+17 315 1.209407559E+00 1.218603669E+00
1.468000E+11 1.000e+17 315 1.210972487E+00 1.218706520E+00
2.154000E+11 1.000e+17 315 1.216597761E+00 1.218849584E+00
3.162000E+11 1.000e+17 315 1.217511361E+00 1.220138398E+00
4.642000E+11 1.000e+17 315 1.218261023E+00 1.223046344E+00
6.813000E+11 1.000e+17 315 1.218924909E+00 1.225166924E+00
1.000000E+12 1.000e+17 315 1.225082722E+00 1.225589823E+00
1.468000E+12 1.000e+17 315 1.225731809E+00 1.232302470E+00
2.154000E+12 1.000e+17 315 1.236689543E+00 1.236937982E+00
3.162000E+12 1.000e+17 315 1.237413058E+00 1.237581464E+00
4.642000E+12 1.000e+17 315 1.238071249E+00 1.238185078E+00
6.813000E+12 1.000e+17 315 1.238578498E+00 1.238655620E+00
1.000000E+13 1.000e+17 315 1.244292148E+00 1.247699400E+00
