N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 305 1.171513262E+00 1.216783220E+00
1.468000E+10 1.000e+17 305 1.178720905E+00 1.216790168E+00
2.154000E+10 1.000e+17 305 1.184008539E+00 1.216800216E+00
3.162000E+10 1.000e+17 305 1.187807994E+00 1.216814772E+00
4.642000E+10 1.000e+17 305 1.191843682E+00 1.216835834E+00
6.813000E+10 1.000e+17 305 1.196660347E+00 1.216866225E+00
1.000000E+11 1.000e+17 305 1.199575313E+00 1.216909714E+00
1.468000E+11 1.000e+17 305 1.204601340E+00 1.216971331E+00
2.154000E+11 1.000e+17 305 1.205555167E+00 1.217057402E+00
3.162000E+11 1.000e+17 305 1.216100163E+00 1.217174983E+00
4.642000E+11 1.000e+17 305 1.216601899E+00 1.217331276E+00
6.813000E+11 1.000e+17 305 1.217037443E+00 1.217531320E+00
1.000000E+12 1.000e+17 305 1.217441906E+00 1.217775620E+00
1.468000E+12 1.000e+17 305 1.217832471E+00 1.218057575E+00
2.154000E+12 1.000e+17 305 1.218214411E+00 1.218365355E+00
3.162000E+12 1.000e+17 305 1.228105788E+00 1.229564660E+00
4.642000E+12 1.000e+17 305 1.229870897E+00 1.229946321E+00
6.813000E+12 1.000e+17 305 1.230204407E+00 1.230255224E+00
1.000000E+13 1.000e+17 305 1.231931500E+00 1.234796277E+00
