N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 310 1.132313364E+00 1.152371330E+00
1.468000E+10 1.000e+17 310 1.139031023E+00 1.152581610E+00
2.154000E+10 1.000e+17 310 1.144345209E+00 1.152886609E+00
3.162000E+10 1.000e+17 310 1.148662679E+00 1.153326704E+00
4.642000E+10 1.000e+17 310 1.151668449E+00 1.153957058E+00
6.813000E+10 1.000e+17 310 1.153008566E+00 1.154862692E+00
1.000000E+11 1.000e+17 310 1.154584140E+00 1.156948675E+00
1.468000E+11 1.000e+17 310 1.157612167E+00 1.159402829E+00
2.154000E+11 1.000e+17 310 1.162056270E+00 1.163305928E+00
3.162000E+11 1.000e+17 310 1.165955443E+00 1.166826722E+00
4.642000E+11 1.000e+17 310 1.168792931E+00 1.169399507E+00
6.813000E+11 1.000e+17 310 1.171247494E+00 1.172149729E+00
1.000000E+12 1.000e+17 310 1.176368475E+00 1.176926688E+00
1.468000E+12 1.000e+17 310 1.180933268E+00 1.181145768E+00
2.154000E+12 1.000e+17 310 1.182798182E+00 1.182944565E+00
3.162000E+12 1.000e+17 310 1.184060453E+00 1.184151600E+00
4.642000E+12 1.000e+17 310 1.185650970E+00 1.185396585E+00
6.813000E+12 1.000e+17 310 1.180588611E+00 1.180907817E+00
1.000000E+13 1.000e+17 310 1.191171560E+00 1.191177144E+00
