N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 325 1.129849735E+00 1.162147638E+00
1.468000E+10 1.000e+17 325 1.138484497E+00 1.162267022E+00
2.154000E+10 1.000e+17 325 1.146727441E+00 1.162440782E+00
3.162000E+10 1.000e+17 325 1.153397341E+00 1.163256287E+00
4.642000E+10 1.000e+17 325 1.158954994E+00 1.164671400E+00
6.813000E+10 1.000e+17 325 1.161885897E+00 1.166572102E+00
1.000000E+11 1.000e+17 325 1.164270955E+00 1.169041883E+00
1.468000E+11 1.000e+17 325 1.168752066E+00 1.172112874E+00
2.154000E+11 1.000e+17 325 1.173041658E+00 1.173586169E+00
3.162000E+11 1.000e+17 325 1.176232976E+00 1.177823021E+00
4.642000E+11 1.000e+17 325 1.181554575E+00 1.182676713E+00
6.813000E+11 1.000e+17 325 1.185528574E+00 1.186317107E+00
1.000000E+12 1.000e+17 325 1.188889766E+00 1.189442857E+00
1.468000E+12 1.000e+17 325 1.193497272E+00 1.192307984E+00
2.154000E+12 1.000e+17 325 1.193517832E+00 1.194768878E+00
3.162000E+12 1.000e+17 325 1.195946463E+00 1.197111338E+00
4.642000E+12 1.000e+17 325 1.203843537E+00 1.204425845E+00
6.813000E+12 1.000e+17 325 1.206302661E+00 1.206363667E+00
1.000000E+13 1.000e+17 325 1.188979768E+00 1.189469622E+00
