N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 290 1.158238888E+00 1.200510170E+00
1.468000E+10 1.000e+17 290 1.165510568E+00 1.200513313E+00
2.154000E+10 1.000e+17 290 1.173569633E+00 1.200517431E+00
3.162000E+10 1.000e+17 290 1.175492530E+00 1.200523107E+00
4.642000E+10 1.000e+17 290 1.186679695E+00 1.200531131E+00
6.813000E+10 1.000e+17 290 1.187698577E+00 1.200542576E+00
1.000000E+11 1.000e+17 290 1.188407018E+00 1.200558916E+00
1.468000E+11 1.000e+17 290 1.188903621E+00 1.200582065E+00
2.154000E+11 1.000e+17 290 1.199457641E+00 1.200614473E+00
3.162000E+11 1.000e+17 290 1.200140660E+00 1.200658986E+00
4.642000E+11 1.000e+17 290 1.200367028E+00 1.200718539E+00
6.813000E+11 1.000e+17 290 1.200557542E+00 1.201413439E+00
1.000000E+12 1.000e+17 290 1.200729749E+00 1.212006417E+00
1.468000E+12 1.000e+17 290 1.212009473E+00 1.216130811E+00
2.154000E+12 1.000e+17 290 1.220551456E+00 1.224842740E+00
3.162000E+12 1.000e+17 290 1.224995511E+00 1.225056135E+00
4.642000E+12 1.000e+17 290 1.225180290E+00 1.225220686E+00
6.813000E+12 1.000e+17 290 1.237373260E+00 1.237403452E+00
1.000000E+13 1.000e+17 290 1.237513468E+00 1.237533822E+00
