N_Fe N_B T n_Fe n_Fe_SRH
1.000000E+10 1.000e+17 320 1.174922711E+00 1.226679164E+00
1.468000E+10 1.000e+17 320 1.187567231E+00 1.226739363E+00
2.154000E+10 1.000e+17 320 1.197342419E+00 1.226762122E+00
3.162000E+10 1.000e+17 320 1.204650163E+00 1.226795333E+00
4.642000E+10 1.000e+17 320 1.209983868E+00 1.226843533E+00
6.813000E+10 1.000e+17 320 1.213820125E+00 1.226912980E+00
1.000000E+11 1.000e+17 320 1.216566156E+00 1.227012309E+00
1.468000E+11 1.000e+17 320 1.218546839E+00 1.227152706E+00
2.154000E+11 1.000e+17 320 1.220011145E+00 1.227348062E+00
3.162000E+11 1.000e+17 320 1.221145262E+00 1.227613743E+00
4.642000E+11 1.000e+17 320 1.226032248E+00 1.227964533E+00
6.813000E+11 1.000e+17 320 1.227513149E+00 1.228409865E+00
1.000000E+12 1.000e+17 320 1.228341254E+00 1.228948175E+00
1.468000E+12 1.000e+17 320 1.229152889E+00 1.229566421E+00
2.154000E+12 1.000e+17 320 1.233938296E+00 1.235820644E+00
3.162000E+12 1.000e+17 320 1.237063697E+00 1.241534267E+00
4.642000E+12 1.000e+17 320 1.247452263E+00 1.247598250E+00
6.813000E+12 1.000e+17 320 1.248107057E+00 1.248219891E+00
1.000000E+13 1.000e+17 320 1.248674251E+00 1.248776571E+00
