N_Fe N_B T n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000e+17 290 1.158238888E+00 1.200510170E+00 1.127620335E+00 1.136757790E+00
1.468000E+10 1.000e+17 290 1.165510568E+00 1.200513313E+00 1.130795030E+00 1.137175363E+00
2.154000E+10 1.000e+17 290 1.173569633E+00 1.200517431E+00 1.133316245E+00 1.137745048E+00
3.162000E+10 1.000e+17 290 1.175492530E+00 1.200523107E+00 1.135438024E+00 1.138500633E+00
4.642000E+10 1.000e+17 290 1.186679695E+00 1.200531131E+00 1.137352292E+00 1.139465521E+00
6.813000E+10 1.000e+17 290 1.187698577E+00 1.200542576E+00 1.139184881E+00 1.140641275E+00
1.000000E+11 1.000e+17 290 1.188407018E+00 1.200558916E+00 1.141089780E+00 1.142091981E+00
1.468000E+11 1.000e+17 290 1.188903621E+00 1.200582065E+00 1.143618409E+00 1.144307184E+00
2.154000E+11 1.000e+17 290 1.199457641E+00 1.200614473E+00 1.144798445E+00 1.145273033E+00
3.162000E+11 1.000e+17 290 1.200140660E+00 1.200658986E+00 1.146437883E+00 1.146763969E+00
4.642000E+11 1.000e+17 290 1.200367028E+00 1.200718539E+00 1.147769972E+00 1.148847087E+00
6.813000E+11 1.000e+17 290 1.200557542E+00 1.201413439E+00 1.155734435E+00 1.157008232E+00
1.000000E+12 1.000e+17 290 1.200729749E+00 1.212006417E+00 1.160539985E+00 1.160654146E+00
1.468000E+12 1.000e+17 290 1.212009473E+00 1.216130811E+00 1.161442383E+00 1.161520553E+00
2.154000E+12 1.000e+17 290 1.220551456E+00 1.224842740E+00 1.162083198E+00 1.162136657E+00
3.162000E+12 1.000e+17 290 1.224995511E+00 1.225056135E+00 1.162725317E+00 1.162725561E+00
4.642000E+12 1.000e+17 290 1.225180290E+00 1.225220686E+00 1.159245868E+00 1.159185576E+00
6.813000E+12 1.000e+17 290 1.237373260E+00 1.237403452E+00 1.172978894E+00 1.172986379E+00
1.000000E+13 1.000e+17 290 1.237513468E+00 1.237533822E+00 1.174530616E+00 1.174671722E+00
1.000000E+10 1.000e+17 295 1.163557279E+00 1.209611822E+00 1.129938114E+00 1.141565078E+00
1.468000E+10 1.000e+17 295 1.168082094E+00 1.209615867E+00 1.133851548E+00 1.142016213E+00
2.154000E+10 1.000e+17 295 1.175249997E+00 1.209621485E+00 1.136944692E+00 1.142636991E+00
3.162000E+10 1.000e+17 295 1.180940593E+00 1.209629482E+00 1.139518416E+00 1.143468926E+00
4.642000E+10 1.000e+17 295 1.184874670E+00 1.209640955E+00 1.141811653E+00 1.144546305E+00
6.813000E+10 1.000e+17 295 1.193147239E+00 1.209657449E+00 1.143990874E+00 1.145881359E+00
1.000000E+11 1.000e+17 295 1.197001336E+00 1.209681050E+00 1.146143779E+00 1.147449847E+00
1.468000E+11 1.000e+17 295 1.197662823E+00 1.209714532E+00 1.149108556E+00 1.150007855E+00
2.154000E+11 1.000e+17 295 1.198137671E+00 1.209761365E+00 1.151027635E+00 1.151649839E+00
3.162000E+11 1.000e+17 295 1.198491544E+00 1.209825601E+00 1.152633053E+00 1.153062061E+00
4.642000E+11 1.000e+17 295 1.202130597E+00 1.209911357E+00 1.154594841E+00 1.154890055E+00
6.813000E+11 1.000e+17 295 1.209705805E+00 1.210021787E+00 1.156232634E+00 1.156436876E+00
1.000000E+12 1.000e+17 295 1.209944186E+00 1.210157642E+00 1.158804044E+00 1.159882846E+00
1.468000E+12 1.000e+17 295 1.210171910E+00 1.210315852E+00 1.168597526E+00 1.169073788E+00
2.154000E+12 1.000e+17 295 1.210399426E+00 1.210496765E+00 1.169993480E+00 1.170064689E+00
3.162000E+12 1.000e+17 295 1.219693258E+00 1.221897774E+00 1.170791203E+00 1.170817447E+00
4.642000E+12 1.000e+17 295 1.233097121E+00 1.234817623E+00 1.170934863E+00 1.170849887E+00
6.813000E+12 1.000e+17 295 1.234969852E+00 1.235006473E+00 1.161509207E+00 1.161492792E+00
1.000000E+13 1.000e+17 295 1.235153582E+00 1.235629262E+00 1.177936718E+00 1.178626026E+00
1.000000E+10 1.000e+17 300 1.168025405E+00 1.207913109E+00 1.131486602E+00 1.146058459E+00
1.468000E+10 1.000e+17 300 1.173785836E+00 1.207918144E+00 1.136240370E+00 1.146538477E+00
2.154000E+10 1.000e+17 300 1.177955049E+00 1.207925319E+00 1.139988872E+00 1.147203830E+00
3.162000E+10 1.000e+17 300 1.184725048E+00 1.207935651E+00 1.143078137E+00 1.148105197E+00
