fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
UDT0 10:54:48 314.4 36.88 1.000E+000 4.309E-001 2.519E-007 1.375E+003 2.549E+000 1.583E-008 4.317E-003 
UDT1 10:57:02 314.4 36.88 1.000E+000 3.143E-001 3.438E-007 1.295E+003 2.481E+000 1.766E-008 2.542E-003 
UDT2 11:00:24 314.2 36.9 1.000E+000 6.343E-001 2.054E-007 1.431E+003 2.580E+000 1.501E-008 4.337E-003 
UDT3 11:04:06 314.3 36.89 1.000E+000 5.621E-001 2.607E-007 1.226E+003 2.466E+000 1.859E-008 3.813E-003 
UDT4 11:06:08 314.2 36.9 1.000E+000 4.674E-001 3.175E-007 1.273E+003 2.470E+000 1.786E-008 3.052E-003 
UDT5 11:08:32 314.1 36.91 1.000E+000 5.651E-001 2.547E-007 1.388E+003 2.544E+000 1.571E-008 3.925E-003 
UDT6 11:10:46 314.1 36.91 1.000E+000 5.688E-001 2.714E-007 1.318E+003 2.504E+000 1.708E-008 3.051E-003 
UDT7 11:13:10 314.1 36.91 1.000E+000 5.260E-001 2.937E-007 1.171E+003 2.442E+000 1.954E-008 3.436E-003 
UDT8 11:15:28 314.1 36.91 1.000E+000 4.102E-001 2.960E-007 1.422E+003 2.557E+000 1.527E-008 3.542E-003 
UDT9 11:17:40 314.1 36.91 1.000E+000 5.817E-001 2.567E-007 1.390E+003 2.546E+000 1.574E-008 3.023E-003 
