fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
00T1 7:25 300.5 38.58 2.59E+00 3.52E-11 8.61E-06 1 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T2 7:43 305.2 37.99 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T3 7:56 307.5 37.7 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T4 8:10 309.8 37.42 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T5 8:22 312.8 37.07 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T6 8:36 315.6 36.74 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T7 8:53 318.6 36.39 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T8 9:10 321.8 36.03 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
00T9 9:28 324.5 35.73 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
0T10 9:43 328.5 35.29 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
0T11 9:57 331.3 35 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
0T12 10:18 335.2 34.59 2.59E+00 3.52E-11 8.61E-06 555 2.863 1.32E+04 1.007E-020 555 5.550E+002 5.550E+002 555 
