0.0096  6.7834E-0006
0.0196  1.4063E-0005
0.0296  2.2125E-0005
0.0397  3.0918E-0005
0.0497  4.0433E-0005
0.0598  5.1116E-0005
0.0703  6.3518E-0005
0.0798  7.5678E-0005
0.0897  8.9849E-0005
0.0997  1.0563E-0004
0.1105  1.2482E-0004
0.1205  1.4472E-0004
0.1309  1.6804E-0004
0.1404  1.9166E-0004
0.1504  2.1960E-0004
0.1605  2.5085E-0004
0.1705  2.8513E-0004
0.1807  3.2492E-0004
0.1902  3.6583E-0004
0.2005  4.1658E-0004
0.2103  4.7387E-0004
0.2204  5.3618E-0004
0.2307  6.0955E-0004
0.2406  6.9095E-0004
0.2507  7.8342E-0004
0.2607  8.8794E-0004
0.2707  1.0065E-0003
0.2807  1.1432E-0003
0.2908  1.3090E-0003
0.3006  1.4789E-0003
0.3107  1.6859E-0003
0.3206  1.9241E-0003
0.3304  2.1965E-0003
0.3408  2.5291E-0003
0.3501  2.8749E-0003
0.3599  3.2859E-0003
0.3695  3.7543E-0003
0.3794  4.2925E-0003
0.3891  4.9095E-0003
0.3986  5.5861E-0003
0.4082  6.3522E-0003
0.4179  7.1881E-0003
0.4289  8.2826E-0003
0.4383  9.2876E-0003
0.4475  1.0372E-0002
0.4566  1.1606E-0002
0.4658  1.2780E-0002
0.4748  1.4074E-0002
0.4837  1.5447E-0002
0.4948  1.7228E-0002
0.5037  1.8750E-0002
