Ytrue T Nd Ypred RelError
2.473362e+00 4.000000e+01 9.000000e+02 2.963750e+02 2.472311e+00 4.252911e-04
2.987059e+00 4.000000e+01 5.000000e+02 2.763750e+02 2.984028e+00 1.014679e-03
2.614210e+00 4.000000e+01 7.000000e+02 2.048750e+02 2.613050e+00 4.439430e-04
6.621420e+01 -3.552714e-15 9.000000e+02 2.528750e+02 6.621454e+01 5.120970e-06
3.443948e+00 4.000000e+01 6.000000e+02 4.773750e+02 3.443335e+00 1.780840e-04
7.636643e+01 -3.552714e-15 7.000000e+02 1.273750e+02 7.636673e+01 3.877376e-06
7.300827e+00 2.000000e+01 5.000000e+02 1.323750e+02 7.303905e+00 4.214898e-04
5.971430e+01 -3.552714e-15 5.000000e+02 1.487500e+01 5.965749e+01 9.513420e-04
3.070433e+00 4.000000e+01 4.000000e+02 1.413750e+02 3.065213e+00 1.699957e-03
6.219904e+00 2.000000e+01 6.000000e+02 2.383750e+02 6.219765e+00 2.225624e-05
6.874150e+00 2.000000e+01 5.000000e+02 2.353750e+02 6.870755e+00 4.938865e-04
5.978593e+00 2.000000e+01 8.000000e+02 4.537500e+01 5.977101e+00 2.496116e-04
2.633446e+00 4.000000e+01 7.000000e+02 3.678750e+02 2.633111e+00 1.271429e-04
1.132174e+00 7.000000e+01 3.000000e+02 2.893750e+02 1.133874e+00 1.501724e-03
3.066974e+00 4.000000e+01 4.000000e+02 2.718750e+02 3.062196e+00 1.557673e-03
2.879784e+00 4.000000e+01 4.000000e+02 4.268750e+02 2.880006e+00 7.703228e-05
1.570915e+01 1.000000e+01 3.000000e+02 5.437500e+01 1.570843e+01 4.590640e-05
7.853066e+01 -3.552714e-15 8.000000e+02 2.318750e+02 7.853047e+01 2.420310e-06
1.219731e+02 -3.552714e-15 5.000000e+02 2.528750e+02 1.219739e+02 5.821647e-06
2.828141e+00 4.000000e+01 4.000000e+02 4.463750e+02 2.827847e+00 1.039800e-04
6.097718e+01 -3.552714e-15 9.000000e+02 4.928750e+02 6.097767e+01 7.994846e-06
3.273020e+00 4.000000e+01 5.000000e+02 3.503750e+02 3.273289e+00 8.216128e-05
2.396332e+00 4.000000e+01 1.000000e+03 7.687500e+01 2.396069e+00 1.093514e-04
5.861746e+00 2.000000e+01 8.000000e+02 4.875000e+00 5.869020e+00 1.241011e-03
2.770108e+00 4.000000e+01 8.000000e+02 3.508750e+02 2.772148e+00 7.362166e-04
1.219394e+02 -3.552714e-15 5.000000e+02 2.498750e+02 1.219394e+02 6.695909e-07
7.155044e+00 2.000000e+01 4.000000e+02 2.958750e+02 7.154988e+00 7.859553e-06
1.101715e+00 6.000000e+01 3.000000e+02 3.273750e+02 1.101418e+00 2.696769e-04
4.845777e+00 3.000000e+01 3.000000e+02 3.343750e+02 4.858323e+00 2.589048e-03
8.208870e+00 2.000000e+01 3.000000e+02 3.987500e+01 8.234433e+00 3.114116e-03
2.525485e+00 4.000000e+01 8.000000e+02 4.148750e+02 2.528891e+00 1.348882e-03
3.757338e+01 -3.552714e-15 7.000000e+02 9.375000e+00 3.759762e+01 6.450123e-04
5.560501e+01 -3.552714e-15 1.000000e+03 2.173750e+02 5.560641e+01 2.509655e-05
2.386300e+00 4.000000e+01 1.000000e+03 8.237500e+01 2.390513e+00 1.765442e-03
7.236212e+00 2.000000e+01 5.000000e+02 1.533750e+02 7.237151e+00 1.297742e-04
5.513303e+00 2.000000e+01 9.000000e+02 2.728750e+02 5.513963e+00 1.196031e-04
7.262975e+00 2.000000e+01 5.000000e+02 2.818750e+02 7.266741e+00 5.185466e-04
6.268340e+00 2.000000e+01 8.000000e+02 2.758750e+02 6.273738e+00 8.611217e-04
6.177965e+00 2.000000e+01 4.000000e+02 3.998750e+02 6.178779e+00 1.316961e-04
1.100839e+00 6.000000e+01 3.000000e+02 3.298750e+02 1.096664e+00 3.791807e-03
8.787894e+00 2.000000e+01 3.000000e+02 1.868750e+02 8.787026e+00 9.877388e-05
2.671481e+00 4.000000e+01 9.000000e+02 3.818750e+02 2.672779e+00 4.859208e-04
2.506200e+00 4.000000e+01 9.000000e+02 2.987500e+01 2.505151e+00 4.183752e-04
6.650534e+01 -3.552714e-15 9.000000e+02 2.783750e+02 6.650520e+01 2.178755e-06
5.056635e+00 3.000000e+01 3.000000e+02 1.383750e+02 5.063119e+00 1.282351e-03
5.814175e+00 2.000000e+01 1.000000e+03 1.793750e+02 5.816187e+00 3.459971e-04
4.811288e+00 3.000000e+01 3.000000e+02 3.488750e+02 4.808478e+00 5.840818e-04
7.948880e+01 -3.552714e-15 8.000000e+02 3.363750e+02 7.949047e+01 2.100834e-05
2.710806e+00 4.000000e+01 8.000000e+02 4.858750e+02 2.710533e+00 1.005712e-04
5.557546e+00 2.000000e+01 9.000000e+02 4.875000e+00 5.553555e+00 7.181961e-04
6.826977e+00 2.000000e+01 5.000000e+02 2.393750e+02 6.826696e+00 4.114002e-05
1.384456e+02 -3.552714e-15 4.000000e+02 7.487500e+01 1.385001e+02 3.937565e-04
8.709137e+00 2.000000e+01 3.000000e+02 1.768750e+02 8.709745e+00 6.983972e-05
1.473459e+02 -3.552714e-15 3.000000e+02 4.537500e+01 1.473265e+02 1.316488e-04
1.221843e+02 -3.552714e-15 5.000000e+02 2.748750e+02 1.221846e+02 2.247826e-06
3.025123e+00 4.000000e+01 6.000000e+02 2.068750e+02 3.024886e+00 7.847123e-05
2.501065e+00 4.000000e+01 7.000000e+02 4.508750e+02 2.498372e+00 1.076681e-03
4.745962e+00 3.000000e+01 3.000000e+02 4.043750e+02 4.736020e+00 2.095019e-03
6.311814e+00 2.000000e+01 8.000000e+02 2.398750e+02 6.311464e+00 5.543168e-05
5.730707e+00 2.000000e+01 9.000000e+02 4.573750e+02 5.730016e+00 1.205658e-04
7.391758e+00 2.000000e+01 4.000000e+02 1.788750e+02 7.393927e+00 2.934340e-04
4.911830e+00 3.000000e+01 3.000000e+02 2.037500e+01 4.925075e+00 2.696457e-03
1.269457e+02 -3.552714e-15 5.000000e+02 4.558750e+02 1.269460e+02 2.521992e-06
1.791810e+00 5.000000e+01 3.000000e+02 2.288750e+02 1.793490e+00 9.373538e-04
5.704993e+01 -3.552714e-15 1.000000e+03 2.493750e+02 5.704974e+01 3.483449e-06
2.595049e+00 4.000000e+01 7.000000e+02 8.875000e+00 2.600464e+00 2.086838e-03
1.271041e+02 -3.552714e-15 5.000000e+02 4.518750e+02 1.271063e+02 1.666813e-05
1.694332e+02 -3.552714e-15 4.000000e+02 1.988750e+02 1.694327e+02 2.908889e-06
2.891059e+00 4.000000e+01 5.000000e+02 1.763750e+02 2.884669e+00 2.210324e-03
3.281678e+00 4.000000e+01 5.000000e+02 3.753750e+02 3.282023e+00 1.051722e-04
2.357461e+00 4.000000e+01 1.000000e+03 3.038750e+02 2.354723e+00 1.161078e-03
3.170750e+00 4.000000e+01 5.000000e+02 3.373750e+02 3.168858e+00 5.966847e-04
8.669265e+00 2.000000e+01 3.000000e+02 1.988750e+02 8.659047e+00 1.178606e-03
7.313322e+01 -3.552714e-15 8.000000e+02 1.273750e+02 7.313320e+01 2.800295e-07
