fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_330 001_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.425215626E-14 1.000000000E+20 1.248644681E+00 5.297256020E-15 5.811152420E-05 
001_330_SRH 001_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.148465382E-14 1.000000000E+20 1.316021779E+00 4.651129287E-15 4.300931758E-04 
002_330 002_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.939267649E-14 1.000000000E+20 1.266772137E+00 7.445512043E-15 8.749985285E-05 
002_330_SRH 002_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.677857615E-14 1.000000000E+20 1.316115463E+00 6.826068742E-15 4.321579630E-04 
003_330 003_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.684334137E-14 1.000000000E+20 1.280880211E+00 1.061590328E-14 1.246259890E-04 
003_330_SRH 003_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.446057312E-14 1.000000000E+20 1.316251145E+00 1.001748085E-14 4.351778694E-04 
004_330 004_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.759429102E-14 1.000000000E+20 1.291524901E+00 1.528098503E-14 1.682478266E-04 
004_330_SRH 004_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.555051906E-14 1.000000000E+20 1.316446755E+00 1.469981445E-14 4.395880563E-04 
005_330 005_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.029992251E-13 1.000000000E+20 1.299409981E+00 2.213426561E-14 2.163189277E-04 
005_330_SRH 005_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.144284337E-14 1.000000000E+20 1.316725951E+00 2.156834599E-14 4.460124997E-04 
006_330 006_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.248501030E-13 1.000000000E+20 1.305229552E+00 3.219242640E-14 2.665834390E-04 
006_330_SRH 006_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.398231392E-14 1.000000000E+20 1.317119982E+00 3.164141586E-14 4.553403126E-04 
007_330 007_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.554090337E-13 1.000000000E+20 1.309588269E+00 4.694449453E-14 3.174631469E-04 
007_330_SRH 007_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.054946017E-13 1.000000000E+20 1.317666606E+00 4.640959395E-14 4.688181079E-04 
008_330 008_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.973396184E-13 1.000000000E+20 1.312976177E+00 6.856956329E-14 3.688135610E-04 
008_330_SRH 008_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.487113210E-13 1.000000000E+20 1.318407584E+00 6.805336053E-14 4.881606246E-04 
009_330 009_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.534724412E-13 1.000000000E+20 1.315768971E+00 1.002549651E-13 4.222359904E-04 
009_330_SRH 009_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.065213723E-13 1.000000000E+20 1.319381129E+00 9.976114148E-14 5.156597191E-04 
010_330 010_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.263868090E-13 1.000000000E+20 1.318234969E+00 1.466625503E-13 4.809375644E-04 
010_330_SRH 010_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.815298610E-13 1.000000000E+20 1.320609555E+00 1.461953363E-13 5.542593643E-04 
011_330 011_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.179327528E-13 1.000000000E+20 1.320541543E+00 2.146147151E-13 5.493167734E-04 
011_330_SRH 011_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.755536936E-13 1.000000000E+20 1.322083968E+00 2.141780928E-13 6.075346924E-04 
012_330 012_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.290115600E-13 1.000000000E+20 1.322762351E+00 3.141066490E-13 6.324141920E-04 
012_330_SRH 012_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.893858523E-13 1.000000000E+20 1.323753101E+00 3.137033966E-13 6.795053310E-04 
013_330 013_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.599772161E-13 1.000000000E+20 1.324894821E+00 4.598001111E-13 7.352880768E-04 
013_330_SRH 013_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.232070202E-13 1.000000000E+20 1.325525528E+00 4.594309809E-13 7.742388496E-04 
014_330 014_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.114263120E-13 1.000000000E+20 1.326951993E+00 6.737335068E-13 8.636403561E-04 
014_330_SRH 014_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.774206804E-13 1.000000000E+20 1.327347180E+00 6.733863714E-13 8.966766380E-04 
