fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
UGL060 17:53:22 305 38.01 1.000E+000 1.439E+000 2.297E-010 3.977E+004 2.849E+000 1.372E-005 2.698E-005 7.780E-002 2.698E-005 6.549E-007 3.120E-001 4.500E-002 1.455E-005 1.703E-001 
UGL065 17:50:06 304.9 38.03 1.000E+000 1.282E+000 1.834E-010 7.314E+003 2.695E+000 1.044E-005 3.774E-005 8.802E-002 3.773E-005 1.010E-006 3.041E-001 5.000E-002 2.019E-005 4.760E-001 
UGL070 17:46:46 304.9 38.03 1.000E+000 1.285E+000 1.874E-010 6.963E+003 2.708E+000 1.059E-005 4.902E-005 1.028E-001 4.900E-005 1.583E-006 3.143E-001 6.000E-002 2.638E-005 1.242E-002 
UGL075 17:41:18 304.9 38.03 1.000E+000 1.081E+000 1.477E-010 5.426E+003 2.606E+000 8.830E-006 6.276E-005 1.185E-001 6.274E-005 2.390E-006 3.216E-001 7.000E-002 3.414E-005 4.189E-002 
UGL080 17:38:08 304.9 38.03 1.000E+000 1.326E+000 1.984E-010 8.633E+003 2.741E+000 1.135E-005 7.190E-005 1.293E-001 7.187E-005 3.160E-006 3.401E-001 8.000E-002 3.950E-005 6.958E-003 
UGL085 17:34:48 305.1 38 1.000E+000 1.397E+000 2.198E-010 1.001E+004 2.781E+000 1.221E-005 8.509E-005 1.405E-001 8.506E-005 4.229E-006 3.540E-001 8.500E-002 4.976E-005 5.859E-003 
UGL090 17:31:36 305.2 37.99 1.000E+000 1.406E+000 2.202E-010 8.837E+003 2.743E+000 1.146E-005 9.977E-005 1.520E-001 9.973E-005 5.503E-006 3.631E-001 9.125E-002 6.030E-005 1.693E-002 
UGL095 17:26:42 305.3 37.98 1.000E+000 1.351E+000 2.156E-010 1.041E+004 2.772E+000 1.233E-005 1.171E-004 1.622E-001 1.171E-004 7.126E-006 3.752E-001 1.000E-001 7.126E-005 1.723E-002 
UGL100 17:22:52 305.4 37.96 1.000E+000 1.292E+000 2.029E-010 7.292E+003 2.718E+000 1.125E-005 1.362E-004 1.717E-001 1.362E-004 8.843E-006 3.782E-001 1.050E-001 8.422E-005 4.550E-003 
UGL105 17:19:24 305.1 38 1.000E+000 1.407E+000 2.286E-010 1.499E+004 2.823E+000 1.333E-005 1.541E-004 1.823E-001 1.540E-004 1.116E-005 3.973E-001 1.125E-001 9.916E-005 2.758E-002 
UGL110 17:15:24 305 38.01 1.000E+000 1.411E+000 2.250E-010 1.330E+004 2.822E+000 1.301E-005 1.818E-004 1.949E-001 1.818E-004 1.442E-005 4.068E-001 1.225E-001 1.177E-004 5.833E-003 
