fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 8:24 301.5 38.46 1.573E+000 7.786E-006 1.441E-011 2.724 0.8799 1.116E+004 1.443E-004 0.2015 1.443E-004 1.190E-005 0.4093 
UDL1 8:26 301.5 38.46 1.573E+000 7.664E-006 1.118E-011 2.71 0.8689 1.116E+004 1.469E-004 0.2028 1.468E-004 1.225E-005 0.4116 
UDL2 8:29 301.5 38.46 1.573E+000 7.673E-006 1.138E-011 2.71 0.8698 1.116E+004 1.447E-004 0.2017 1.446E-004 1.196E-005 0.4103 
UDL3 8:32 301.6 38.44 1.573E+000 7.893E-006 1.578E-011 2.727 0.8827 1.116E+004 1.451E-004 0.2013 1.450E-004 1.195E-005 0.409 
UDL4 8:34 301.6 38.44 1.573E+000 7.653E-006 1.414E-011 2.706 0.8784 1.116E+004 1.446E-004 0.2016 1.446E-004 1.196E-005 0.4104 
UDL5 8:37 301.7 38.43 1.573E+000 8.146E-006 2.032E-011 2.747 0.8927 1.116E+004 1.470E-004 0.2017 1.469E-004 1.211E-005 0.4086 
UDL6 8:40 301.7 38.43 1.573E+000 7.756E-006 1.571E-011 2.712 0.8838 1.116E+004 1.449E-004 0.2014 1.448E-004 1.195E-005 0.4098 
UDL7 8:43 301.7 38.43 1.573E+000 7.785E-006 1.731E-011 2.715 0.8875 1.116E+004 1.438E-004 0.2008 1.438E-004 1.181E-005 0.409 
UDL8 8:46 301.7 38.43 1.573E+000 7.801E-006 1.111E-011 2.715 0.8673 1.116E+004 1.446E-004 0.2011 1.446E-004 1.190E-005 0.4093 
UDL9 8:49 301.7 38.43 1.573E+000 7.879E-006 1.906E-011 2.727 0.8915 1.116E+004 1.448E-004 0.2014 1.447E-004 1.192E-005 0.4089 
