fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
00L9 29898 300.02 38.645 3.704470741E-01 1.092161704E-04 2.899302592E-05 2.990879404E-01 9.694106111E-05 7.166059841E-01 0.000000000E+00 
0L10 30030 299.93 38.656 3.712511810E-01 1.096173223E-04 2.913040114E-05 2.999592693E-01 9.711585487E-05 7.158127536E-01 0.000000000E+00 
0L11 30114 299.96 38.652 3.711145416E-01 1.097134733E-04 2.922896744E-05 2.997966408E-01 9.749716486E-05 7.178695587E-01 0.000000000E+00 
0L12 30208 299.97 38.651 3.708056198E-01 1.098076656E-04 2.918425276E-05 2.989127266E-01 9.763651376E-05 7.167531519E-01 0.000000000E+00 
0L13 30296 300 38.647 3.708562469E-01 1.100997778E-04 2.920501919E-05 2.989740475E-01 9.768730954E-05 7.152624969E-01 0.000000000E+00 
0L14 30386 300.02 38.645 3.711657738E-01 1.100665481E-04 2.933741533E-05 3.002173708E-01 9.772038460E-05 7.181225775E-01 0.000000000E+00 
0L15 30478 300.01 38.646 3.711742928E-01 1.099847289E-04 2.933267193E-05 3.005336872E-01 9.760206429E-05 7.185241118E-01 0.000000000E+00 
0L16 30564 300.02 38.645 3.713377533E-01 1.104869039E-04 2.942343002E-05 3.010790365E-01 9.772623405E-05 7.171555929E-01 0.000000000E+00 
0L17 30656 300.02 38.645 3.707011826E-01 1.104351028E-04 2.942863616E-05 3.002823912E-01 9.800239525E-05 7.188512369E-01 0.000000000E+00 
0L18 30744 300.03 38.643 3.720849571E-01 1.103291398E-04 2.939224339E-05 3.009869116E-01 9.765178843E-05 7.159791747E-01 0.000000000E+00 
0L19 30834 300.02 38.645 3.804811783E-01 1.109711783E-04 2.956415603E-05 3.006584324E-01 9.832522075E-05 7.002000063E-01 0.000000000E+00 
0L20 30928 300.01 38.646 3.720470482E-01 1.108319930E-04 2.954543990E-05 3.012324333E-01 9.808189352E-05 7.165185766E-01 0.000000000E+00 
0L21 31018 300.02 38.645 3.709644150E-01 1.107700501E-04 2.943666397E-05 3.002918451E-01 9.802599285E-05 7.163643855E-01 0.000000000E+00 
0L22 31104 300.02 38.645 3.709971687E-01 1.112849555E-04 2.958275938E-05 3.008734093E-01 9.832299942E-05 7.165254645E-01 0.000000000E+00 
0L23 31192 300.02 38.645 3.706626251E-01 1.111660918E-04 2.953049788E-05 2.989697294E-01 9.877429493E-05 7.166706753E-01 0.000000000E+00 
0L24 31282 300.02 38.645 3.708566635E-01 1.111688383E-04 2.951172771E-05 3.000738686E-01 9.834826446E-05 7.158227240E-01 0.000000000E+00 
0L25 31372 300.02 38.645 3.752388741E-01 1.115965335E-04 2.954994620E-05 2.983973862E-01 9.903408439E-05 7.056643309E-01 0.000000000E+00 
0L26 31468 300.03 38.643 3.716979042E-01 1.115599044E-04 2.966595683E-05 3.001320345E-01 9.884268897E-05 7.154184151E-01 0.000000000E+00 
0L27 31560 300.01 38.646 3.709740097E-01 1.116359717E-04 2.958755312E-05 2.992285835E-01 9.888101292E-05 7.144328402E-01 0.000000000E+00 
0L28 31648 300.01 38.646 3.710210922E-01 1.118816260E-04 2.978074081E-05 3.004420856E-01 9.912297919E-05 7.174276781E-01 0.000000000E+00 
0L29 31736 300.02 38.645 3.709351402E-01 1.119486706E-04 2.974603383E-05 3.003206989E-01 9.904764234E-05 7.163283658E-01 0.000000000E+00 
0L30 31830 300.01 38.646 3.709370819E-01 1.116833710E-04 2.975783404E-05 3.006327023E-01 9.898409601E-05 7.183110578E-01 0.000000000E+00 
0L31 31912 300.02 38.645 3.714194771E-01 1.122730764E-04 2.981592246E-05 3.000728207E-01 9.936202181E-05 7.150031467E-01 0.000000000E+00 
0L32 32006 300.02 38.645 3.709201958E-01 1.121341703E-04 2.978661016E-05 2.997174139E-01 9.938187229E-05 7.161477424E-01 0.000000000E+00 
0L33 32094 300.02 38.645 3.711363205E-01 1.124098437E-04 2.968582503E-05 2.980588181E-01 9.959879462E-05 7.115596644E-01 0.000000000E+00 
0L34 32184 300.02 38.645 3.710440765E-01 1.125241873E-04 2.991363789E-05 3.000402370E-01 9.969894134E-05 7.164697265E-01 0.000000000E+00 
0L35 32276 300.02 38.645 3.711305145E-01 1.123539048E-04 2.989613152E-05 3.012032888E-01 9.925532569E-05 7.169686413E-01 0.000000000E+00 
0L36 32370 300.01 38.646 3.710095528E-01 1.129210509E-04 2.996068218E-05 3.003080114E-01 9.976668880E-05 7.151410283E-01 0.000000000E+00 
0L37 32458 300.02 38.645 3.710409142E-01 1.128114612E-04 2.988379159E-05 2.990049131E-01 9.994366409E-05 7.139382872E-01 0.000000000E+00 
0L38 32546 300.03 38.643 3.710599724E-01 1.128881168E-04 2.994141363E-05 3.002102774E-01 9.973463957E-05 7.147924638E-01 0.000000000E+00 
0L39 32642 300.01 38.646 3.710733978E-01 1.130246072E-04 2.997671654E-05 2.999348717E-01 9.994419108E-05 7.147451777E-01 0.000000000E+00 
0L40 32728 300.02 38.645 3.711386063E-01 1.131254549E-04 3.000866832E-05 2.986042463E-01 1.004978707E-04 7.147435625E-01 0.000000000E+00 
0L41 32828 300.01 38.646 3.710330070E-01 1.130315108E-04 3.005192221E-05 3.006203283E-01 9.996582049E-05 7.165725661E-01 0.000000000E+00 
0L42 32908 300.02 38.645 3.800743553E-01 1.134645911E-04 3.015909206E-05 2.996559916E-01 1.006402730E-04 6.993415682E-01 0.000000000E+00 
0L43 32994 300.02 38.645 3.800513565E-01 1.133535815E-04 3.007567471E-05 3.008124264E-01 9.998567008E-05 6.981324829E-01 0.000000000E+00 
0L44 33086 300.03 38.643 3.710975014E-01 1.135640808E-04 3.012053572E-05 3.004697363E-01 1.002446895E-04 7.147162752E-01 0.000000000E+00 
0L45 33174 300.02 38.645 3.712258598E-01 1.137772151E-04 3.022109362E-05 3.006982521E-01 1.005026394E-04 7.155115605E-01 0.000000000E+00 
0L46 33266 300.02 38.645 3.711815849E-01 1.136887602E-04 3.016976882E-05 3.000912107E-01 1.005354247E-04 7.149374220E-01 0.000000000E+00 
0L47 33352 300.02 38.645 3.713389076E-01 1.140733527E-04 3.032992569E-05 3.001906456E-01 1.010357420E-04 7.160060381E-01 0.000000000E+00 
0L48 33448 300.01 38.646 3.713668304E-01 1.139648787E-04 3.030182365E-05 2.991172058E-01 1.013014488E-04 7.159696662E-01 0.000000000E+00 
0L49 33534 300.02 38.645 3.800249649E-01 1.143287846E-04 3.031811265E-05 3.004689411E-01 1.009043687E-04 6.978055961E-01 0.000000000E+00 
0L50 33628 300.02 38.645 3.714327095E-01 1.143027800E-04 3.037891174E-05 2.997483971E-01 1.013485175E-04 7.155422339E-01 0.000000000E+00 
0L51 33716 300.02 38.645 3.714223351E-01 1.141248712E-04 3.033772145E-05 2.994260231E-01 1.013207670E-04 7.157059751E-01 0.000000000E+00 
0L52 33810 300.01 38.646 3.715986176E-01 1.146934406E-04 3.046980001E-05 2.999271889E-01 1.015907721E-04 7.149191543E-01 0.000000000E+00 
0L53 33890 300.02 38.645 3.715171112E-01 1.145791880E-04 3.047043711E-05 3.002398390E-01 1.014869287E-04 7.158040036E-01 0.000000000E+00 
0L54 33986 300.02 38.645 3.715627289E-01 1.146896751E-04 3.044057266E-05 3.003240456E-01 1.013590190E-04 7.143258261E-01 0.000000000E+00 
0L55 34080 300.01 38.646 3.716681427E-01 1.148821001E-04 3.055078371E-05 3.003450359E-01 1.017188435E-04 7.155082605E-01 0.000000000E+00 
0L56 34170 300.01 38.646 3.800920464E-01 1.148463289E-04 3.055718664E-05 3.006284082E-01 1.016483589E-04 7.000151960E-01 0.000000000E+00 
0L57 34262 300.02 38.645 3.716790627E-01 1.152507199E-04 3.067037696E-05 3.002868902E-01 1.021369516E-04 7.159906806E-01 0.000000000E+00 
0L58 34344 300.02 38.645 3.702696449E-01 1.149512305E-04 3.060802059E-05 3.006273888E-01 1.018159180E-04 7.191235489E-01 0.000000000E+00 
0L59 34432 300.02 38.645 3.717310211E-01 1.152791112E-04 3.065092647E-05 3.006048199E-01 1.019641122E-04 7.152604018E-01 0.000000000E+00 
0L60 34528 300.02 38.645 3.718469147E-01 1.153689147E-04 3.067209342E-05 3.005578440E-01 1.020499661E-04 7.149742963E-01 0.000000000E+00 
0L61 34610 300.02 38.645 3.718069679E-01 1.153399580E-04 3.064082775E-05 3.003756718E-01 1.020084470E-04 7.145015575E-01 0.000000000E+00 
