N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 9.987929000E-03 9.497555000E-03 9.153501000E-03 8.901176000E-03
1.016672606E+01 7.052582000E-03 6.662462000E-03 6.392285000E-03 6.197737000E-03
1.033324570E+01 4.942030000E-03 4.642279000E-03 4.436892000E-03 4.601798000E-03
1.049996187E+01 3.440651000E-03 3.217014000E-03 3.065001000E-03 3.356991000E-03
1.066670514E+01 2.383026000E-03 2.220050000E-03 2.109803000E-03 2.259818000E-03
1.083333839E+01 1.644243000E-03 1.527532000E-03 1.448744000E-03 1.534218000E-03
1.100000000E+01 1.131686000E-03 1.049136000E-03 9.933690000E-04 1.017619000E-03
1.116672606E+01 7.779430000E-04 7.200490000E-04 6.808250000E-04 6.844720000E-04
1.133324570E+01 5.347700000E-04 4.944100000E-04 4.669210000E-04 4.581360000E-04
1.149996187E+01 3.681370000E-04 3.401030000E-04 3.208970000E-04 3.077620000E-04
1.166670514E+01 2.542280000E-04 2.348590000E-04 2.215330000E-04 2.124410000E-04
1.183333839E+01 1.765460000E-04 1.632570000E-04 1.541190000E-04 1.479480000E-04
1.200000000E+01 1.237120000E-04 1.147300000E-04 1.085760000E-04 1.045600000E-04
1.216672606E+01 8.788800000E-05 8.196700000E-05 7.797600000E-05 7.549200000E-05
1.233324570E+01 6.369500000E-05 5.995800000E-05 5.748500000E-05 5.606800000E-05
1.249996187E+01 4.739800000E-05 4.517300000E-05 4.375300000E-05 4.303700000E-05
1.266670514E+01 3.641700000E-05 3.520700000E-05 3.444800000E-05 3.415800000E-05
1.283333839E+01 2.894200000E-05 2.837600000E-05 2.801700000E-05 2.794600000E-05
1.300000000E+01 2.374300000E-05 2.354600000E-05 2.339300000E-05 2.343400000E-05
