N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.778E+15 287 3.800E-4 3.824838E+1 2.005520E+1 6.341720E-1 8.268140E+1 3.823557E+1 1.997930E+1 6.319230E-1 8.268900E+1 -3.3502835E-02 -3.7989319E-01 -3.5589779E-01 9.1910653E-03
1.468000E+10 1.778E+15 287 3.800E-4 3.822458E+1 2.003410E+1 6.341260E-1 8.265160E+1 3.820665E+1 1.992610E+1 6.308960E-1 8.266580E+1 -4.6929003E-02 -5.4200270E-01 -5.1197028E-01 1.7177599E-02
2.154000E+10 1.778E+15 287 3.800E-4 3.818984E+1 2.000310E+1 6.340590E-1 8.260750E+1 3.816478E+1 1.984370E+1 6.294440E-1 8.260430E+1 -6.5662635E-02 -8.0327761E-01 -7.3318675E-01 -3.8738903E-03
3.162000E+10 1.778E+15 287 3.800E-4 3.813923E+1 1.995780E+1 6.339610E-1 8.254250E+1 3.810454E+1 1.974150E+1 6.274300E-1 8.257300E+1 -9.1039021E-02 -1.0956614E+00 -1.0409129E+00 3.6937013E-02
4.642000E+10 1.778E+15 287 3.800E-4 3.806579E+1 1.989160E+1 6.338160E-1 8.244620E+1 3.801863E+1 1.960490E+1 6.247710E-1 8.253670E+1 -1.2404445E-01 -1.4623895E+00 -1.4477304E+00 1.0964819E-01
6.813000E+10 1.778E+15 287 3.800E-4 3.795983E+1 1.979510E+1 6.336040E-1 8.230310E+1 3.789765E+1 1.942620E+1 6.213790E-1 8.249330E+1 -1.6407350E-01 -1.8989818E+00 -1.9673983E+00 2.3056418E-01
1.000000E+11 1.778E+15 287 3.800E-4 3.780822E+1 1.965510E+1 6.332900E-1 8.208930E+1 3.773021E+1 1.919010E+1 6.171520E-1 8.241320E+1 -2.0675740E-01 -2.4231244E+00 -2.6149150E+00 3.9301956E-01
1.468000E+11 1.778E+15 287 3.800E-4 3.759407E+1 1.944700E+1 6.328280E-1 8.174220E+1 3.750390E+1 1.891200E+1 6.122340E-1 8.236520E+1 -2.4042833E-01 -2.8288917E+00 -3.3637465E+00 7.5638741E-01
2.154000E+11 1.778E+15 287 3.800E-4 3.729758E+1 1.916030E+1 6.321440E-1 8.126540E+1 3.720734E+1 1.857320E+1 6.067470E-1 8.227190E+1 -2.4253279E-01 -3.1610062E+00 -4.1857644E+00 1.2233825E+00
3.162000E+11 1.778E+15 287 3.800E-4 3.689948E+1 1.876350E+1 6.311290E-1 8.057030E+1 3.683348E+1 1.819660E+1 6.009950E-1 8.220080E+1 -1.7918481E-01 -3.1154172E+00 -5.0140184E+00 1.9835573E+00
4.642000E+11 1.778E+15 287 3.800E-4 3.638924E+1 1.823650E+1 6.295950E-1 7.959870E+1 3.638305E+1 1.777240E+1 5.951520E-1 8.207660E+1 -1.7013417E-02 -2.6113524E+00 -5.7872611E+00 3.0190091E+00
6.813000E+11 1.778E+15 287 3.800E-4 3.577676E+1 1.761430E+1 6.272300E-1 7.849430E+1 3.586612E+1 1.733120E+1 5.895040E-1 8.197030E+1 2.4914878E-01 -1.6334703E+00 -6.3996173E+00 4.2405603E+00
1.000000E+12 1.778E+15 287 3.800E-4 3.509706E+1 1.697350E+1 6.236290E-1 7.754860E+1 3.529956E+1 1.686680E+1 5.840700E-1 8.180830E+1 5.7366154E-01 -6.3260369E-01 -6.7729895E+00 5.2069289E+00
1.468000E+12 1.778E+15 287 3.800E-4 3.439276E+1 1.636880E+1 6.179030E-1 7.702480E+1 3.470086E+1 1.640730E+1 5.789250E-1 8.167230E+1 8.8787425E-01 2.3465165E-01 -6.7328238E+00 5.6904238E+00
2.154000E+12 1.778E+15 287 3.800E-4 3.368616E+1 1.581010E+1 6.083160E-1 7.715330E+1 3.408169E+1 1.593920E+1 5.739550E-1 8.148300E+1 1.1605352E+00 8.0995282E-01 -5.9867063E+00 5.3136237E+00
3.162000E+12 1.778E+15 287 3.800E-4 3.297459E+1 1.526950E+1 5.923490E-1 7.817490E+1 3.344538E+1 1.547980E+1 5.691030E-1 8.132780E+1 1.4076384E+00 1.3585447E+00 -4.0846736E+00 3.8767801E+00
4.642000E+12 1.778E+15 287 3.800E-4 3.224633E+1 1.473560E+1 5.794300E-1 7.886540E+1 3.278899E+1 1.500860E+1 5.642400E-1 8.112400E+1 1.6550068E+00 1.8189571E+00 -2.6921168E+00 2.7841329E+00
6.813000E+12 1.778E+15 287 3.800E-4 3.149230E+1 1.420610E+1 5.717840E-1 7.889310E+1 3.210736E+1 1.453930E+1 5.593460E-1 8.095760E+1 1.9156355E+00 2.2917197E+00 -2.2236684E+00 2.5501003E+00
1.000000E+13 1.778E+15 287 3.800E-4 3.070796E+1 1.366580E+1 5.644400E-1 7.884350E+1 3.139620E+1 1.405310E+1 5.543470E-1 8.074490E+1 2.1921124E+00 2.7559755E+00 -1.8207008E+00 2.3548236E+00
1.468000E+13 1.778E+15 287 3.800E-4 2.989173E+1 1.312570E+1 5.570030E-1 7.883400E+1 3.065290E+1 1.356510E+1 5.492710E-1 8.056830E+1 2.4831908E+00 3.2391947E+00 -1.4076840E+00 2.1525836E+00
2.154000E+13 1.778E+15 287 3.800E-4 2.904379E+1 1.257360E+1 5.495310E-1 7.877980E+1 2.987638E+1 1.305960E+1 5.440770E-1 8.034180E+1 2.7867834E+00 3.7214003E+00 -1.0024316E+00 1.9441934E+00
3.162000E+13 1.778E+15 287 3.800E-4 2.816563E+1 1.201590E+1 5.420710E-1 7.870120E+1 2.906669E+1 1.255200E+1 5.387980E-1 8.014740E+1 3.0999746E+00 4.2710325E+00 -6.0746328E-01 1.8044253E+00
4.642000E+13 1.778E+15 287 3.800E-4 2.726003E+1 1.145870E+1 5.346610E-1 7.861960E+1 2.822483E+1 1.202860E+1 5.334120E-1 7.989510E+1 3.4182668E+00 4.7378747E+00 -2.3415296E-01 1.5964684E+00
6.813000E+13 1.778E+15 287 3.800E-4 2.633114E+1 1.089160E+1 5.273020E-1 7.844440E+1 2.735286E+1 1.150480E+1 5.279300E-1 7.967070E+1 3.7353315E+00 5.3299492E+00 1.1895516E-01 1.5392108E+00
1.000000E+14 1.778E+15 287 3.800E-4 2.538449E+1 1.032750E+1 5.199540E-1 7.824580E+1 2.645367E+1 1.096860E+1 5.223550E-1 7.937750E+1 4.0417076E+00 5.8448663E+00 4.5964909E-01 1.4257189E+00
1.000000E+10 1.778E+15 292 3.800E-4 3.826472E+1 1.962790E+1 6.237930E-1 8.223100E+1 3.825532E+1 1.955300E+1 6.214790E-1 8.224250E+1 -2.4571746E-02 -3.8306142E-01 -3.7233760E-01 1.3983038E-02
1.468000E+10 1.778E+15 292 3.800E-4 3.824033E+1 1.960610E+1 6.237440E-1 8.219850E+1 3.822716E+1 1.949220E+1 6.204220E-1 8.218670E+1 -3.4451945E-02 -5.8433630E-01 -5.3544201E-01 -1.4357554E-02
2.154000E+10 1.778E+15 292 3.800E-4 3.820473E+1 1.957420E+1 6.236720E-1 8.215040E+1 3.818637E+1 1.941760E+1 6.189140E-1 8.215910E+1 -4.8079982E-02 -8.0648484E-01 -7.6876594E-01 1.0589210E-02
3.162000E+10 1.778E+15 292 3.800E-4 3.815289E+1 1.952740E+1 6.235660E-1 8.207950E+1 3.812766E+1 1.931570E+1 6.168510E-1 8.212780E+1 -6.6172432E-02 -1.0959996E+00 -1.0885935E+00 5.8810780E-02
4.642000E+10 1.778E+15 292 3.800E-4 3.807773E+1 1.945910E+1 6.234100E-1 8.197450E+1 3.804386E+1 1.917930E+1 6.141300E-1 8.208980E+1 -8.9028821E-02 -1.4588645E+00 -1.5110807E+00 1.4045594E-01
6.813000E+10 1.778E+15 292 3.800E-4 3.796937E+1 1.935970E+1 6.231810E-1 8.181830E+1 3.792572E+1 1.900050E+1 6.106600E-1 8.204120E+1 -1.1509340E-01 -1.8904766E+00 -2.0504045E+00 2.7169276E-01
1.000000E+11 1.778E+15 292 3.800E-4 3.781454E+1 1.921540E+1 6.228440E-1 8.158520E+1 3.776197E+1 1.876570E+1 6.063280E-1 8.196010E+1 -1.3921414E-01 -2.3963934E+00 -2.7239382E+00 4.5741769E-01
1.468000E+11 1.778E+15 292 3.800E-4 3.759628E+1 1.900150E+1 6.223470E-1 8.121040E+1 3.754021E+1 1.848890E+1 6.013140E-1 8.190550E+1 -1.4935985E-01 -2.7724743E+00 -3.4978397E+00 8.4866096E-01
2.154000E+11 1.778E+15 292 3.800E-4 3.729495E+1 1.870780E+1 6.216100E-1 8.069640E+1 3.724886E+1 1.815210E+1 5.957000E-1 8.180620E+1 -1.2373533E-01 -3.0613538E+00 -4.3495048E+00 1.3566209E+00
3.162000E+11 1.778E+15 292 3.800E-4 3.689197E+1 1.830190E+1 6.205150E-1 7.994900E+1 3.688041E+1 1.777820E+1 5.898270E-1 8.172710E+1 -3.1344554E-02 -2.9457425E+00 -5.2028815E+00 2.1756553E+00
4.642000E+11 1.778E+15 292 3.800E-4 3.637814E+1 1.776730E+1 6.188380E-1 7.892300E+1 3.643494E+1 1.735730E+1 5.838480E-1 8.159530E+1 1.5589431E-01 -2.3621185E+00 -5.9929982E+00 3.2750661E+00
6.813000E+11 1.778E+15 292 3.800E-4 3.576488E+1 1.714510E+1 6.162920E-1 7.778500E+1 3.592184E+1 1.691930E+1 5.780450E-1 8.148190E+1 4.3694866E-01 -1.3345706E+00 -6.6166129E+00 4.5370812E+00
1.000000E+12 1.778E+15 292 3.800E-4 3.508742E+1 1.651280E+1 6.124020E-1 7.684790E+1 3.535769E+1 1.645920E+1 5.725010E-1 8.131070E+1 7.6438817E-01 -3.2565374E-01 -6.9695948E+00 5.4885765E+00
1.468000E+12 1.778E+15 292 3.800E-4 3.438661E+1 1.591890E+1 6.061440E-1 7.637440E+1 3.476021E+1 1.600320E+1 5.672160E-1 8.116630E+1 1.0747921E+00 5.2676965E-01 -6.8629940E+00 5.9038049E+00
2.154000E+12 1.778E+15 292 3.800E-4 3.368289E+1 1.536470E+1 5.956390E-1 7.658270E+1 3.414166E+1 1.554030E+1 5.621560E-1 8.096880E+1 1.3437249E+00 1.1299653E+00 -5.9561759E+00 5.4170248E+00
3.162000E+12 1.778E+15 292 3.800E-4 3.297321E+1 1.483790E+1 5.788530E-1 7.773970E+1 3.350597E+1 1.508560E+1 5.571870E-1 8.080530E+1 1.5900450E+00 1.6419632E+00 -3.8884611E+00 3.7938106E+00
4.642000E+12 1.778E+15 292 3.800E-4 3.224624E+1 1.431250E+1 5.667180E-1 7.831930E+1 3.285049E+1 1.462100E+1 5.522530E-1 8.059290E+1 1.8393942E+00 2.1099788E+00 -2.6192705E+00 2.8210922E+00
6.813000E+12 1.778E+15 292 3.800E-4 3.149324E+1 1.378640E+1 5.590530E-1 7.830370E+1 3.217013E+1 1.415800E+1 5.472530E-1 8.041950E+1 2.1040947E+00 2.6246645E+00 -2.1562239E+00 2.6309539E+00
1.000000E+13 1.778E+15 292 3.800E-4 3.070984E+1 1.326120E+1 5.516080E-1 7.828430E+1 3.146047E+1 1.367970E+1 5.421860E-1 8.019770E+1 2.3859466E+00 3.0592776E+00 -1.7377800E+00 2.3858540E+00
1.468000E+13 1.778E+15 292 3.800E-4 2.989450E+1 1.272500E+1 5.440680E-1 7.823720E+1 3.071877E+1 1.319950E+1 5.370060E-1 8.001550E+1 2.6832780E+00 3.5948331E+00 -1.3150691E+00 2.2224444E+00
2.154000E+13 1.778E+15 292 3.800E-4 2.904738E+1 1.218930E+1 5.365090E-1 7.821590E+1 2.994388E+1 1.270300E+1 5.317420E-1 7.978050E+1 2.9939340E+00 4.0439266E+00 -8.9648739E-01 1.9611309E+00
3.162000E+13 1.778E+15 292 3.800E-4 2.816997E+1 1.164230E+1 5.289850E-1 7.812830E+1 2.913577E+1 1.220440E+1 5.263560E-1 7.958130E+1 3.3148257E+00 4.6057160E+00 -4.9947184E-01 1.8258058E+00
