T nFsrh nFBsrh dnsrh nF nFB dn
290 1.173976103E+00 1.177841308E+0 -3.865205000E-03 1.173976103E+00 1.177841308E+0 -3.865205000E-03
295 1.181689424E+00 1.181307119E+0 3.823050000E-04 1.181689424E+00 1.181307119E+0 3.823050000E-04
300 1.188716982E+00 1.184775682E+0 3.941300000E-03 1.188716982E+00 1.184775682E+0 3.941300000E-03
305 1.186779445E+00 1.188239347E+0 -1.459902000E-03 1.186779445E+00 1.188239347E+0 -1.459902000E-03
310 1.190251798E+00 1.191679810E+0 -1.428012000E-03 1.190251798E+00 1.191679810E+0 -1.428012000E-03
315 1.193777797E+00 1.195054385E+0 -1.276588000E-03 1.193777797E+00 1.195054385E+0 -1.276588000E-03
320 1.196320628E+00 1.198266275E+0 -1.945647000E-03 1.196320628E+00 1.198266275E+0 -1.945647000E-03
325 1.200981679E+00 1.201102762E+0 -1.210830000E-04 1.200981679E+00 1.201102762E+0 -1.210830000E-04
330 1.204362654E+00 1.203113654E+0 1.249000000E-03 1.204362654E+00 1.203113654E+0 1.249000000E-03
335 1.206058648E+00 1.203394170E+0 2.664478000E-03 1.206058648E+00 1.203394170E+0 2.664478000E-03
340 1.195691079E+00 1.200269724E+0 -4.578645000E-03 1.195691079E+00 1.200269724E+0 -4.578645000E-03
