T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 3.711640E-1 3.026050E+1 5.064110E-1 8.049650E+1 3.734646E-1 3.064720E+1 5.068730E-1 8.094890E+1 6.1601555E-01 1.2617792E+00 9.1147092E-02 5.5887109E-01
295 3.715175E-1 2.931170E+1 4.937500E-1 7.989570E+1 3.738666E-1 2.971040E+1 4.943880E-1 8.036970E+1 6.2832572E-01 1.3419543E+00 1.2904844E-01 5.8977450E-01
300 3.718440E-1 2.836070E+1 4.810850E-1 7.926910E+1 3.742711E-1 2.877780E+1 4.819750E-1 7.976560E+1 6.4848715E-01 1.4493811E+00 1.8465688E-01 6.2244877E-01
305 3.721498E-1 2.740890E+1 4.683300E-1 7.863050E+1 3.746325E-1 2.784100E+1 4.695170E-1 7.914030E+1 6.6270278E-01 1.5520276E+00 2.5281300E-01 6.4417244E-01
310 3.724368E-1 2.645640E+1 4.555410E-1 7.796860E+1 3.749533E-1 2.690060E+1 4.569410E-1 7.850420E+1 6.7115025E-01 1.6512643E+00 3.0638529E-01 6.8225649E-01
315 3.727047E-1 2.550400E+1 4.427640E-1 7.727530E+1 3.752058E-1 2.595100E+1 4.443220E-1 7.783170E+1 6.6659417E-01 1.7224770E+00 3.5064660E-01 7.1487582E-01
320 3.729612E-1 2.455280E+1 4.299820E-1 7.655180E+1 3.754586E-1 2.500530E+1 4.317550E-1 7.712630E+1 6.6515989E-01 1.8096164E+00 4.1064956E-01 7.4488210E-01
325 3.732040E-1 2.360280E+1 4.170860E-1 7.581580E+1 3.756536E-1 2.405220E+1 4.190690E-1 7.639260E+1 6.5209012E-01 1.8684362E+00 4.7319177E-01 7.5504695E-01
330 3.734341E-1 2.265470E+1 4.042150E-1 7.504150E+1 3.758391E-1 2.310190E+1 4.063400E-1 7.563530E+1 6.3990149E-01 1.9357715E+00 5.2296107E-01 7.8508316E-01
335 3.736592E-1 2.170940E+1 3.913510E-1 7.422930E+1 3.759970E-1 2.214960E+1 3.936080E-1 7.483210E+1 6.2176028E-01 1.9873948E+00 5.7341314E-01 8.0553666E-01
340 3.738746E-1 2.076750E+1 3.784270E-1 7.339150E+1 3.761067E-1 2.119140E+1 3.808040E-1 7.398040E+1 5.9347520E-01 2.0003398E+00 6.2420563E-01 7.9602165E-01
