Model	MSEn	MRE	MedRE	R2	BestVar
TrainXg1p360e15MbPp	0.00105	0.06083	0.04069	0.99798	Var1
Train1p360e15MbPp	0.00485	0.17038	0.15598	0.97036	Var1
TrainSv1p360e15MbPp	0.00181	0.03973	0.00246	0.99999	Var1
TrainXg1p360e15NNCp	0.00721	0.18095	0.13011	0.9937	Var1
Train1p360e15NNCp	0.00189	0.09554	0.06125	0.98396	Var1
TrainSv1p360e15NNCp	0.00228	0.06297	0.00361	0.99999	Var1
TrainXg1p360e15EfPp	9.66933E-4	0.06993	0.05569	0.99432	Var1
Train1p360e15EfPp	1.33013E-4	0.02268	0.00962	0.99604	Var1
TrainSv1p360e15EfPp	0.00107	0.05806	0.03193	0.99948	Var1
TrainSv1p360e15YOfl2	1.66592E-7	9.24358E-4	7.72239E-4	1	Var1
TrainSv1p360e15YOfl	3.06413E-9	1.16717E-4	1.0273E-4	1	Var1
TrainXg1p360e15MbP	1.14642E-4	0.01912	0.01305	0.99981	Var1
Train1p360e15MbP	0.00191	0.08474	0.06174	0.99191	Var1
TrainSv1p360e15MbP	5.81947E-9	1.83743E-4	1.77077E-4	1	Var1
TrainXg1p360e15XcC	8.94811E-4	0.06422	0.04358	0.99324	Var1
Train1p360e15XcC	0.00123	0.07902	0.06815	0.99006	Var1
TrainSv1p360e15XcC	9.13746E-4	0.02777	0.00183	0.99998	Var1
TrainXg1p360e15XcP	1.46632E-4	0.02522	0.0156	0.99927	Var1
Train1p360e15XcP	4.53953E-4	0.05046	0.04802	0.99714	Var1
TrainSv1p360e15XcP	9.19565E-8	6.72652E-4	5.84601E-4	1	Var1
TrainXg1p360e15NNC	5.59926E-4	0.04911	0.04124	0.99975	Var1
Train1p360e15NNC	0.00119	0.07234	0.05708	0.9931	Var1
TrainSv1p360e15NNC	9.35256E-9	2.09399E-4	1.96631E-4	1	Var1
TrainXg1p360e15NNP	3.57585E-5	0.01109	0.00487	1	Var1
Train1p360e15NNP	7.98984E-4	0.06403	0.05968	0.9946	Var1
TrainSv1p360e15NNP	3.58003E-9	1.27383E-4	9.20182E-5	1	Var1
TrainXg1p360e15YOL2	2.78475E-4	0.03977	0.03825	0.99809	Var1
Train1p360e15YOL2	6.83819E-4	0.05619	0.05384	0.99321	Var1
TrainSv1p360e15YOL2	5.55543E-10	5.09755E-5	3.2005E-5	1	Var1
TrainXg1p360e15EfC	4.11579E-4	0.04356	0.04048	0.99844	Var1
Train1p360e15EfC	0.00389	0.13499	0.15019	0.94258	Var1
TrainSv1p360e15EfC	7.60685E-10	5.79547E-5	4.55728E-5	1	Var1
TrainXg1p360e15EfP	1.19012E-5	0.00609	0.00473	0.99998	Var1
Train1p360e15EfP	6.78872E-4	0.05957	0.04704	0.98441	Var1
TrainSv1p360e15EfP	5.3275E-10	5.15311E-5	5.22118E-5	1	Var1
TrainXg1p360e15RsC	3.64435E-4	0.04134	0.0271	0.99294	Var1
Train1p360e15RsC	0.01368	0.25366	0.24753	0.98218	Var1
TrainSv1p360e15RsC	0.04942	0.94959	0.18543	0.99092	Var1
TrainXg1p360e15RsP	4.43701E-6	0.00445	0.00388	0.99999	Var1
Train1p360e15RsP	3.28105E-4	0.04257	0.04331	0.99547	Var1
TrainSv1p360e15RsP	1.72899E-8	3.48825E-4	3.64885E-4	1	Var1
TrainXg1p360e15MbC	5.10458E-4	0.04014	0.02684	0.99991	Var1
Train1p360e15MbC	0.0372	0.45308	0.34961	0.86956	Var1
