Model	MSEn	MRE	MedRE	R2	BestVar
ExpTrainRf1p360e15MbPp	0.00125	0.03762	0.02727	0.99759	Var1
ExpTrainGb1p360e15MbPp	1.13825E-6	0.00107	7.41678E-4	1	Var1
ExpTrainXg1p360e15MbPp	0.00101	0.03422	0.02706	0.99802	Var1
ExpTrain1p360e15MbPp	0.00833	0.11041	0.08921	0.98129	Var1
ExpTrainSv1p360e15MbPp	0.00193	0.02456	0.00124	0.99783	Var1
ExpTrainRf1p360e15NNCp	1.79906E-28	1.53466E-14	1.43042E-14	1	Var1
ExpTrainGb1p360e15NNCp	2.14293E-6	0.00154	8.71293E-4	0.99998	Var1
ExpTrainXg1p360e15NNCp	0.00936	0.10596	0.09441	0.97479	Var1
ExpTrain1p360e15NNCp	8.93619E-4	0.0344	0.03581	0.99816	Var1
ExpTrainSv1p360e15NNCp	0.00104	0.02231	0.00107	0.99981	Var1
ExpTrainRf1p360e15YOfl2p	9.10168E-5	0.00798	0.00289	0.99996	Var1
ExpTrainGb1p360e15YOfl2p	6.96288E-7	9.62567E-4	6.55162E-4	1	Var1
ExpTrainXg1p360e15YOfl2p	0.00287	0.06033	0.04694	0.97707	Var1
ExpTrain1p360e15YOfl2p	0.02431	0.21174	0.16846	0.9515	Var1
ExpTrainSv1p360e15YOfl2p	0.00608	0.05298	7.54031E-4	0.94135	Var1
ExpTrainRf1p360e15EfPp	0.00171	0.04909	0.03737	0.988	Var1
ExpTrainGb1p360e15EfPp	8.4158E-7	9.83884E-4	7.37319E-4	1	Var1
ExpTrainXg1p360e15EfPp	0.00126	0.03701	0.02254	0.99799	Var1
ExpTrain1p360e15EfPp	5.49682E-5	0.00968	0.00987	0.99986	Var1
ExpTrainSv1p360e15EfPp	0.00117	0.02767	0.007	0.99926	Var1
ExpTrainRf1p360e15YOflp	0.00532	0.08475	0.05835	0.98222	Var1
ExpTrainGb1p360e15YOflp	2.97023E-5	0.00454	0.00275	0.99995	Var1
ExpTrainXg1p360e15YOflp	0.01631	0.15441	0.13485	0.92527	Var1
ExpTrain1p360e15YOflp	0.00304	0.06887	0.06958	0.98528	Var1
ExpTrainSv1p360e15YOflp	0.00154	0.02056	1.00303E-5	0.98468	Var1
ExpTrainRf1p360e15EfC	1.02611E-4	0.01218	0.01169	0.99978	Var1
ExpTrainGb1p360e15EfC	1.18864E-7	3.3761E-4	2.81954E-4	1	Var1
ExpTrainXg1p360e15EfC	1.88386E-4	0.01655	0.01379	0.99963	Var1
ExpTrain1p360e15EfC	0.00143	0.0449	0.03124	0.9959	Var1
ExpTrainSv1p360e15EfC	2.1099E-10	1.67015E-5	1.49793E-5	1	Var1
ExpTrainRf1p360e15EfP	1.26679E-4	0.01332	0.01008	0.99973	Var1
ExpTrainGb1p360e15EfP	1.23125E-9	4.95427E-5	4.83079E-5	1	Var1
ExpTrainXg1p360e15EfP	4.44947E-6	0.00237	0.00192	0.99999	Var1
ExpTrain1p360e15EfP	0.00337	0.07308	0.07593	0.99115	Var1
ExpTrainSv1p360e15EfP	7.8033E-10	3.52981E-5	4.45293E-5	1	Var1
ExpTrainRf1p360e15RsC	6.53096E-4	0.03028	0.02795	0.99865	Var1
ExpTrainGb1p360e15RsC	8.09543E-17	1.02623E-8	8.74073E-9	1	Var1
ExpTrainXg1p360e15RsC	5.85923E-4	0.03037	0.02657	0.99831	Var1
ExpTrain1p360e15RsC	0.04244	0.26429	0.08259	0.98857	Var1
ExpTrainSv1p360e15RsC	0.01957	0.12547	0.00722	0.9713	Var1
ExpTrainRf1p360e15RsP	2.0945E-29	5.71687E-15	4.11473E-15	1	Var1
ExpTrainGb1p360e15RsP	6.82921E-7	6.65808E-4	3.72768E-4	1	Var1
ExpTrainXg1p360e15RsP	2.48048E-6	0.0016	7.1385E-4	1	Var1
ExpTrain1p360e15RsP	3.60345E-4	0.02168	0.01635	0.99927	Var1
ExpTrainSv1p360e15RsP	1.3764E-8	1.49388E-4	1.93454E-4	1	Var1
ExpTrainRf1p360e15MbC	1.30464E-4	0.01299	0.01108	0.99975	Var1
ExpTrainGb1p360e15MbC	7.22566E-8	1.98205E-4	8.85148E-5	1	Var1
ExpTrainXg1p360e15MbC	2.867E-4	0.01907	0.01304	0.99972	Var1
ExpTrain1p360e15MbC	0.03098	0.22983	0.19852	0.90374	Var1
ExpTrainSv1p360e15MbC	5.97297E-7	3.59884E-4	1.46178E-4	1	Var1
ExpTrainRf1p360e15YOL	1.90594E-4	0.01535	0.01186	0.99973	Var1
ExpTrainGb1p360e15YOL	4.83565E-10	2.34131E-5	1.80692E-5	1	Var1
ExpTrainXg1p360e15YOL	0.00264	0.06441	0.05974	0.99181	Var1
ExpTrain1p360e15YOL	0.00234	0.04141	0.02126	0.99973	Var1
ExpTrainSv1p360e15YOL	1.06523E-7	3.60083E-4	2.24056E-4	1	Var1
ExpTrainRf1p360e15MbP	1.31429E-4	0.01118	0.00639	0.99986	Var1
ExpTrainGb1p360e15MbP	7.12886E-8	1.66895E-4	2.6753E-5	1	Var1
ExpTrainXg1p360e15MbP	1.86869E-5	0.00483	0.00346	0.99997	Var1
ExpTrain1p360e15MbP	0.34761	1.26028	0.42663	0.69608	Var1
ExpTrainSv1p360e15MbP	4.1337E-9	7.28108E-5	5.3732E-5	1	Var1
ExpTrainRf1p360e15XcC	9.15964E-29	1.22688E-14	1.22576E-14	1	Var1
ExpTrainGb1p360e15XcC	6.37556E-9	1.02621E-4	1.00553E-4	1	Var1
ExpTrainXg1p360e15XcC	4.16212E-4	0.02519	0.02159	0.99874	Var1
ExpTrain1p360e15XcC	6.07342E-4	0.02934	0.02445	0.99951	Var1
ExpTrainSv1p360e15XcC	2.21572E-4	0.00773	0.00116	1	Var1
ExpTrainRf1p360e15XcP	9.95838E-5	0.01109	0.00846	0.99978	Var1
ExpTrainGb1p360e15XcP	2.00325E-12	1.32839E-6	8.07126E-7	1	Var1
ExpTrainXg1p360e15XcP	9.60722E-5	0.01056	0.00711	0.99983	Var1
ExpTrain1p360e15XcP	0.00203	0.05743	0.05383	0.98511	Var1
ExpTrainSv1p360e15XcP	1.01828E-7	3.69755E-4	2.48292E-4	1	Var1
ExpTrainRf1p360e15NNC	2.46306E-29	5.1067E-15	4.07151E-15	1	Var1
ExpTrainGb1p360e15NNC	5.88079E-7	9.54653E-4	9.24476E-4	1	Var1
ExpTrainXg1p360e15NNC	8.7676E-5	0.01174	0.00899	0.99978	Var1
ExpTrain1p360e15NNC	0.00162	0.04542	0.03208	0.99518	Var1
ExpTrainSv1p360e15NNC	1.11727E-8	1.31066E-4	1.23282E-4	1	Var1
ExpTrainRf1p360e15NNP	3.81229E-6	0.00142	1.7627E-4	0.99999	Var1
ExpTrainGb1p360e15NNP	7.38385E-8	3.26155E-4	2.91763E-4	1	Var1
ExpTrainXg1p360e15NNP	8.64558E-6	0.00296	0.00184	0.99999	Var1
ExpTrain1p360e15NNP	1.39869E-4	0.01519	0.01582	0.99904	Var1
ExpTrainSv1p360e15NNP	4.54121E-9	8.1841E-5	6.41247E-5	1	Var1
ExpTrainRf1p360e15YOL2	9.14006E-29	1.20643E-14	1.22576E-14	1	Var1
ExpTrainGb1p360e15YOL2	6.41662E-8	1.59836E-4	8.7683E-5	1	Var1
ExpTrainXg1p360e15YOL2	9.50268E-5	0.00976	0.0037	0.99997	Var1
ExpTrain1p360e15YOL2	0.00281	0.04653	0.02412	0.9964	Var1
ExpTrainSv1p360e15YOL2	4.19489E-10	2.55831E-5	2.27316E-5	1	Var1
ExpTrainSv1p360e15YOfl	3.30419E-9	6.60468E-5	6.25284E-5	1	Var1
ExpTrainSv1p360e15YOfl2	2.24688E-7	5.3948E-4	4.92047E-4	1	Var1
