T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.238512390E+00 1.211767958E+00 2.674443200E-02 1.232219918E+00 1.205894227E+00 2.632569100E-02 6.292472000E-03 5.873731000E-03
295 1.239428628E+00 1.212885477E+00 2.654315100E-02 1.233763345E+00 1.207394833E+00 2.636851200E-02 5.665283000E-03 5.490644000E-03
300 1.240614368E+00 1.215015278E+00 2.559909000E-02 1.235325581E+00 1.209592105E+00 2.573347600E-02 5.288787000E-03 5.423173000E-03
305 1.241355576E+00 1.217393970E+00 2.396160600E-02 1.236205499E+00 1.211858062E+00 2.434743700E-02 5.150077000E-03 5.535908000E-03
310 1.240625645E+00 1.219883046E+00 2.074259900E-02 1.235409302E+00 1.214032595E+00 2.137670700E-02 5.216343000E-03 5.850451000E-03
315 1.236600788E+00 1.221881710E+00 1.471907800E-02 1.231194478E+00 1.215572348E+00 1.562213000E-02 5.406310000E-03 6.309362000E-03
320 1.226334158E+00 1.223900560E+00 2.433598000E-03 1.220785367E+00 1.216847978E+00 3.937389000E-03 5.548791000E-03 7.052582000E-03
325 1.204581728E+00 1.225018851E+00 -2.043712300E-02 1.199253881E+00 1.217033183E+00 -1.777930200E-02 5.327847000E-03 7.985668000E-03
330 1.164000615E+00 1.224146731E+00 -6.014611600E-02 1.159824637E+00 1.215174411E+00 -5.534977400E-02 4.175978000E-03 8.972320000E-03
335 1.095272986E+00 1.220172759E+00 -1.248997730E-01 1.093905154E+00 1.210228227E+00 -1.163230730E-01 1.367832000E-03 9.944532000E-03
340 1.009864959E+00 1.212176447E+00 -2.023114880E-01 1.007746014E+00 1.201525661E+00 -1.937796470E-01 2.118945000E-03 1.065078600E-02
