N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+13 1.000000000E+15 290 1.150535618E+00 1.150535618E+00 1.155373468E+0 1.155373468E+0
1.000000000E+13 1.000000000E+15 295 1.155072075E+00 1.155072075E+00 1.156298110E+0 1.156298110E+0
1.000000000E+13 1.000000000E+15 300 1.158073752E+00 1.158073752E+00 1.154593330E+0 1.154593330E+0
1.000000000E+13 1.000000000E+15 305 1.143009556E+00 1.143009556E+00 1.147244644E+0 1.147244644E+0
1.000000000E+13 1.000000000E+15 310 1.124317125E+00 1.124317125E+00 1.130033128E+0 1.130033128E+0
1.000000000E+13 1.000000000E+15 315 1.103184737E+00 1.103184737E+00 1.101264078E+0 1.101264078E+0
1.000000000E+13 1.000000000E+15 320 1.084522753E+00 1.084522753E+00 1.067289314E+0 1.067289314E+0
1.000000000E+13 1.000000000E+15 325 1.018462628E+00 1.018462628E+00 1.038754661E+0 1.038754661E+0
1.000000000E+13 1.000000000E+15 330 1.016891881E+00 1.016891881E+00 1.020360247E+0 1.020360247E+0
1.000000000E+13 1.000000000E+15 335 1.015722484E+00 1.015722484E+00 1.010251940E+0 1.010251940E+0
1.000000000E+13 1.000000000E+15 340 1.017873104E+00 1.017873104E+00 1.005105456E+0 1.005105456E+0
1.000000000E+13 1.778000014E+15 290 1.16316255E+00 1.16316255E+00 1.164164372E+0 1.164164372E+0
1.000000000E+13 1.778000014E+15 295 1.163405474E+00 1.163405474E+00 1.166641224E+0 1.166641224E+0
1.000000000E+13 1.778000014E+15 300 1.168752900E+00 1.168752900E+00 1.168560058E+0 1.168560058E+0
1.000000000E+13 1.778000014E+15 305 1.173110521E+00 1.173110521E+00 1.169145127E+0 1.169145127E+0
1.000000000E+13 1.778000014E+15 310 1.175811798E+00 1.175811798E+00 1.166745509E+0 1.166745509E+0
1.000000000E+13 1.778000014E+15 315 1.152137421E+00 1.152137421E+00 1.158360108E+0 1.158360108E+0
1.000000000E+13 1.778000014E+15 320 1.132795922E+00 1.132795922E+00 1.140139085E+0 1.140139085E+0
1.000000000E+13 1.778000014E+15 325 1.118840017E+00 1.118840017E+00 1.110807300E+0 1.110807300E+0
1.000000000E+13 1.778000014E+15 330 1.093934102E+00 1.093934102E+00 1.076167873E+0 1.076167873E+0
1.000000000E+13 1.778000014E+15 335 1.016115207E+00 1.016115207E+00 1.046021968E+0 1.046021968E+0
1.000000000E+13 1.778000014E+15 340 1.014956829E+00 1.014956829E+00 1.025472167E+0 1.025472167E+0
1.000000000E+13 3.162000032E+15 290 1.172268556E+00 1.172268556E+00 1.172548379E+0 1.172548379E+0
1.000000000E+13 3.162000032E+15 295 1.172308166E+00 1.172308166E+00 1.175450816E+0 1.175450816E+0
1.000000000E+13 3.162000032E+15 300 1.175530628E+00 1.175530628E+00 1.178237652E+0 1.178237652E+0
1.000000000E+13 3.162000032E+15 305 1.181696286E+00 1.181696286E+00 1.180742365E+0 1.180742365E+0
1.000000000E+13 3.162000032E+15 310 1.187203765E+00 1.187203765E+00 1.182583386E+0 1.182583386E+0
1.000000000E+13 3.162000032E+15 315 1.182636126E+00 1.182636126E+00 1.182931347E+0 1.182931347E+0
1.000000000E+13 3.162000032E+15 320 1.181246461E+00 1.181246461E+00 1.180127671E+0 1.180127671E+0
1.000000000E+13 3.162000032E+15 325 1.160363098E+00 1.160363098E+00 1.171328675E+0 1.171328675E+0
1.000000000E+13 3.162000032E+15 330 1.149324617E+00 1.149324617E+00 1.153033730E+0 1.153033730E+0
1.000000000E+13 3.162000032E+15 335 1.129387766E+00 1.129387766E+00 1.123952828E+0 1.123952828E+0
1.000000000E+13 3.162000032E+15 340 1.105008800E+00 1.105008800E+00 1.088826246E+0 1.088826246E+0
1.000000000E+13 5.622999955E+15 290 1.177223098E+00 1.177223098E+00 1.181068852E+0 1.181068852E+0
1.000000000E+13 5.622999955E+15 295 1.184674391E+00 1.184674391E+00 1.184175394E+0 1.184175394E+0
1.000000000E+13 5.622999955E+15 300 1.182056555E+00 1.182056555E+00 1.187257451E+0 1.187257451E+0
1.000000000E+13 5.622999955E+15 305 1.189085726E+00 1.189085726E+00 1.190279511E+0 1.190279511E+0
1.000000000E+13 5.622999955E+15 310 1.195733808E+00 1.195733808E+00 1.193159034E+0 1.193159034E+0
1.000000000E+13 5.622999955E+15 315 1.196412330E+00 1.196412330E+00 1.195710412E+0 1.195710412E+0
1.000000000E+13 5.622999955E+15 320 1.198332524E+00 1.198332524E+00 1.197531862E+0 1.197531862E+0
1.000000000E+13 5.622999955E+15 325 1.202669779E+00 1.202669779E+00 1.197796563E+0 1.197796563E+0
1.000000000E+13 5.622999955E+15 330 1.189810593E+00 1.189810593E+00 1.194932426E+0 1.194932426E+0
1.000000000E+13 5.622999955E+15 335 1.180668566E+00 1.180668566E+00 1.186346282E+0 1.186346282E+0
1.000000000E+13 5.622999955E+15 340 1.161896980E+00 1.161896980E+00 1.168848193E+0 1.168848193E+0
1.000000000E+13 1.000000000E+16 290 1.191152411E+00 1.191152411E+00 1.189837402E+0 1.189837402E+0
1.000000000E+13 1.000000000E+16 295 1.189921889E+00 1.189921889E+00 1.193107118E+0 1.193107118E+0
1.000000000E+13 1.000000000E+16 300 1.197800083E+00 1.197800083E+00 1.196371495E+0 1.196371495E+0
1.000000000E+13 1.000000000E+16 305 1.195304039E+00 1.195304039E+00 1.199622778E+0 1.199622778E+0
1.000000000E+13 1.000000000E+16 310 1.202868361E+00 1.202868361E+00 1.202842894E+0 1.202842894E+0
1.000000000E+13 1.000000000E+16 315 1.210157967E+00 1.210157967E+00 1.205990921E+0 1.205990921E+0
1.000000000E+13 1.000000000E+16 320 1.207514355E+00 1.207514355E+00 1.208976876E+0 1.208976876E+0
1.000000000E+13 1.000000000E+16 325 1.214058094E+00 1.214058094E+00 1.211608860E+0 1.211608860E+0
1.000000000E+13 1.000000000E+16 330 1.215000101E+00 1.215000101E+00 1.213491935E+0 1.213491935E+0
1.000000000E+13 1.000000000E+16 335 1.219156588E+00 1.219156588E+00 1.213850691E+0 1.213850691E+0
1.000000000E+13 1.000000000E+16 340 1.207410992E+00 1.207410992E+00 1.211268365E+0 1.211268365E+0
1.000000000E+13 1.778000014E+16 290 1.209167748E+00 1.209167748E+00 1.198874906E+0 1.198874906E+0
1.000000000E+13 1.778000014E+16 295 1.194753837E+00 1.194753837E+00 1.202303033E+0 1.202303033E+0
1.000000000E+13 1.778000014E+16 300 1.202937967E+00 1.202937967E+00 1.205729960E+0 1.205729960E+0
1.000000000E+13 1.778000014E+16 305 1.204991276E+00 1.204991276E+00 1.209153944E+0 1.209153944E+0
1.000000000E+13 1.778000014E+16 310 1.209132796E+00 1.209132796E+00 1.212570920E+0 1.212570920E+0
1.000000000E+13 1.778000014E+16 315 1.217112234E+00 1.217112234E+00 1.215971672E+0 1.215971672E+0
1.000000000E+13 1.778000014E+16 320 1.220975694E+00 1.220975694E+00 1.219335868E+0 1.219335868E+0
1.000000000E+13 1.778000014E+16 325 1.223068617E+00 1.223068617E+00 1.222619828E+0 1.222619828E+0
1.000000000E+13 1.778000014E+16 330 1.224754595E+00 1.224754595E+00 1.225732190E+0 1.225732190E+0
1.000000000E+13 1.778000014E+16 335 1.231779506E+00 1.231779506E+00 1.228487191E+0 1.228487191E+0
1.000000000E+13 1.778000014E+16 340 1.232996970E+00 1.232996970E+00 1.230519273E+0 1.230519273E+0
1.000000000E+13 3.162000032E+16 290 1.213187279E+00 1.213187279E+00 1.208197225E+0 1.208197225E+0
1.000000000E+13 3.162000032E+16 295 1.217922456E+00 1.217922456E+00 1.211786658E+0 1.211786658E+0
1.000000000E+13 3.162000032E+16 300 1.207608103E+00 1.207608103E+00 1.215375815E+0 1.215375815E+0
1.000000000E+13 3.162000032E+16 305 1.216493501E+00 1.216493501E+00 1.218964292E+0 1.218964292E+0
1.000000000E+13 3.162000032E+16 310 1.214550522E+00 1.214550522E+00 1.222551149E+0 1.222551149E+0
1.000000000E+13 3.162000032E+16 315 1.223141919E+00 1.223141919E+00 1.226134256E+0 1.226134256E+0
1.000000000E+13 3.162000032E+16 320 1.231642071E+00 1.231642071E+00 1.229708910E+0 1.229708910E+0
1.000000000E+13 3.162000032E+16 325 1.230354541E+00 1.230354541E+00 1.233264990E+0 1.233264990E+0
1.000000000E+13 3.162000032E+16 330 1.233138711E+00 1.233138711E+00 1.236781257E+0 1.236781257E+0
1.000000000E+13 3.162000032E+16 335 1.241657042E+00 1.241657042E+00 1.240214200E+0 1.240214200E+0
1.000000000E+13 3.162000032E+16 340 1.244600170E+00 1.244600170E+00 1.243476850E+0 1.243476850E+0
1.000000000E+13 5.622999955E+16 290 1.229892128E+00 1.229892128E+00 1.217805193E+0 1.217805193E+0
1.000000000E+13 5.622999955E+16 295 1.227325914E+00 1.227325914E+00 1.221560414E+0 1.221560414E+0
1.000000000E+13 5.622999955E+16 300 1.225559376E+00 1.225559376E+00 1.225315568E+0 1.225315568E+0
1.000000000E+13 5.622999955E+16 305 1.222225971E+00 1.222225971E+00 1.229070562E+0 1.229070562E+0
1.000000000E+13 5.622999955E+16 310 1.231481461E+00 1.231481461E+00 1.232825171E+0 1.232825171E+0
1.000000000E+13 5.622999955E+16 315 1.230022061E+00 1.230022061E+00 1.236578889E+0 1.236578889E+0
1.000000000E+13 5.622999955E+16 320 1.239103593E+00 1.239103593E+00 1.240330600E+0 1.240330600E+0
1.000000000E+13 5.622999955E+16 325 1.247897588E+00 1.247897588E+00 1.244077898E+0 1.244077898E+0
1.000000000E+13 5.622999955E+16 330 1.246879650E+00 1.246879650E+00 1.247815733E+0 1.247815733E+0
1.000000000E+13 5.622999955E+16 335 1.250511080E+00 1.250511080E+00 1.251533743E+0 1.251533743E+0
1.000000000E+13 5.622999955E+16 340 1.259222635E+00 1.259222635E+00 1.255211142E+0 1.255211142E+0
1.000000000E+13 1.000000000E+17 290 1.237533822E+00 1.237533822E+00 1.227705269E+0 1.227705269E+0
1.000000000E+13 1.000000000E+17 295 1.235629262E+00 1.235629262E+00 1.231631212E+0 1.231631212E+0
1.000000000E+13 1.000000000E+17 300 1.244880720E+00 1.244880720E+00 1.235557138E+0 1.235557138E+0
1.000000000E+13 1.000000000E+17 305 1.234796277E+00 1.234796277E+00 1.239483026E+0 1.239483026E+0
1.000000000E+13 1.000000000E+17 310 1.240243654E+00 1.240243654E+00 1.243408820E+0 1.243408820E+0
1.000000000E+13 1.000000000E+17 315 1.247699400E+00 1.247699400E+00 1.247334396E+0 1.247334396E+0
1.000000000E+13 1.000000000E+17 320 1.248776571E+00 1.248776571E+00 1.251259484E+0 1.251259484E+0
1.000000000E+13 1.000000000E+17 325 1.258210669E+00 1.258210669E+00 1.255183496E+0 1.255183496E+0
1.000000000E+13 1.000000000E+17 330 1.260203596E+00 1.260203596E+00 1.259105202E+0 1.259105202E+0
1.000000000E+13 1.000000000E+17 335 1.261744312E+00 1.261744312E+00 1.263022074E+0 1.263022074E+0
1.000000000E+13 1.000000000E+17 340 1.271114845E+00 1.271114845E+00 1.266929041E+0 1.266929041E+0
