B T nFsrh nFBsrh dnsrh nF nFB dn
1.500000000E+01 290 1.150485949E+00 1.13032172E+00 2.016422900E-02 1.150484776E+00 1.12992796E+00 2.055681600E-02
1.500000000E+01 295 1.154849657E+00 1.135579721E+00 1.926993600E-02 1.154847939E+00 1.135578082E+00 1.926985700E-02
1.500000000E+01 300 1.157456983E+00 1.140932138E+00 1.652484500E-02 1.157454664E+00 1.140929883E+00 1.652478100E-02
1.500000000E+01 305 1.142318152E+00 1.145253245E+00 -2.935093000E-03 1.142315832E+00 1.145250107E+00 -2.934275000E-03
1.500000000E+01 310 1.117776069E+00 1.148011702E+00 -3.023563300E-02 1.117770414E+00 1.148007221E+00 -3.023680700E-02
1.500000000E+01 315 1.102720421E+00 1.132286127E+00 -2.956570600E-02 1.102718450E+00 1.132271470E+00 -2.955302000E-02
1.500000000E+01 320 1.081230800E+00 1.102086549E+00 -2.085574900E-02 1.081223818E+00 1.102071690E+00 -2.084787200E-02
1.500000000E+01 325 1.015810286E+00 1.075309546E+00 -5.949926000E-02 1.015684799E+00 1.075307047E+00 -5.962224800E-02
1.500000000E+01 330 1.014371435E+00 1.051203660E+00 -3.683222500E-02 1.014367738E+00 1.051191541E+00 -3.682380300E-02
1.500000000E+01 335 1.013663320E+00 1.015714227E+00 -2.050907000E-03 1.013660317E+00 1.015707666E+00 -2.047349000E-03
1.500000000E+01 340 1.015716516E+00 1.014719542E+00 9.969740000E-04 1.015713570E+00 1.014714288E+00 9.992820000E-04
1.524993176E+01 290 1.157399930E+00 1.13463223E+00 2.276770000E-02 1.157398730E+00 1.13463223E+00 2.276650000E-02
1.524993176E+01 295 1.162924930E+00 1.139790629E+00 2.313430100E-02 1.162923106E+00 1.139788365E+00 2.313474100E-02
1.524993176E+01 300 1.168112578E+00 1.145990590E+00 2.212198800E-02 1.168109475E+00 1.145987580E+00 2.212189500E-02
1.524993176E+01 305 1.172138671E+00 1.151686480E+00 2.045219100E-02 1.172134619E+00 1.151682496E+00 2.045212300E-02
1.524993176E+01 310 1.165858228E+00 1.156730723E+00 9.127505000E-03 1.165848284E+00 1.156725383E+00 9.122901000E-03
1.524993176E+01 315 1.145118207E+00 1.160729542E+00 -1.561133500E-02 1.145107007E+00 1.160722199E+00 -1.561519200E-02
1.524993176E+01 320 1.132298050E+00 1.150155267E+00 -1.785721700E-02 1.132293815E+00 1.150130248E+00 -1.783643300E-02
1.524993176E+01 325 1.111919705E+00 1.131799097E+00 -1.987939200E-02 1.111898889E+00 1.131791226E+00 -1.989233700E-02
1.524993176E+01 330 1.087288002E+00 1.115533319E+00 -2.824531700E-02 1.087276417E+00 1.115507364E+00 -2.823094700E-02
1.524993176E+01 335 1.013663194E+00 1.086261076E+00 -7.259788200E-02 1.013657273E+00 1.086237826E+00 -7.258055300E-02
