N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+13 1.000000000E+15 290 1.150535618E+00 1.150535618E+00 1.156533019E+0 1.156533019E+0
1.000000000E+13 1.000000000E+15 295 1.155072075E+00 1.155072075E+00 1.149701940E+0 1.149701940E+0
1.000000000E+13 1.000000000E+15 300 1.158073752E+00 1.158073752E+00 1.131543460E+0 1.131543460E+0
1.000000000E+13 1.000000000E+15 305 1.143009556E+00 1.143009556E+00 1.099660705E+0 1.099660705E+0
1.000000000E+13 1.000000000E+15 310 1.124317125E+00 1.124317125E+00 1.062558836E+0 1.062558836E+0
1.000000000E+13 1.000000000E+15 315 1.103184737E+00 1.103184737E+00 1.033424983E+0 1.033424983E+0
1.000000000E+13 1.000000000E+15 320 1.084522753E+00 1.084522753E+00 1.016264082E+0 1.016264082E+0
1.000000000E+13 1.000000000E+15 325 1.018462628E+00 1.018462628E+00 1.007631244E+0 1.007631244E+0
1.000000000E+13 1.000000000E+15 330 1.016891881E+00 1.016891881E+00 1.003565457E+0 1.003565457E+0
1.000000000E+13 1.000000000E+15 335 1.015722484E+00 1.015722484E+00 1.001683500E+0 1.001683500E+0
1.000000000E+13 1.000000000E+15 340 1.017873104E+00 1.017873104E+00 1.000808203E+0 1.000808203E+0
1.000000000E+13 1.778000014E+15 290 1.16316255E+00 1.16316255E+00 1.169336157E+0 1.169336157E+0
1.000000000E+13 1.778000014E+15 295 1.163405474E+00 1.163405474E+00 1.170413909E+0 1.170413909E+0
1.000000000E+13 1.778000014E+15 300 1.168752900E+00 1.168752900E+00 1.168089643E+0 1.168089643E+0
1.000000000E+13 1.778000014E+15 305 1.173110521E+00 1.173110521E+00 1.158493516E+0 1.158493516E+0
1.000000000E+13 1.778000014E+15 310 1.175811798E+00 1.175811798E+00 1.136691100E+0 1.136691100E+0
1.000000000E+13 1.778000014E+15 315 1.152137421E+00 1.152137421E+00 1.102207912E+0 1.102207912E+0
1.000000000E+13 1.778000014E+15 320 1.132795922E+00 1.132795922E+00 1.064605933E+0 1.064605933E+0
1.000000000E+13 1.778000014E+15 325 1.118840017E+00 1.118840017E+00 1.035562352E+0 1.035562352E+0
1.000000000E+13 1.778000014E+15 330 1.093934102E+00 1.093934102E+00 1.018062208E+0 1.018062208E+0
1.000000000E+13 1.778000014E+15 335 1.016115207E+00 1.016115207E+00 1.008880255E+0 1.008880255E+0
1.000000000E+13 1.778000014E+15 340 1.014956829E+00 1.014956829E+00 1.004345159E+0 1.004345159E+0
1.000000000E+13 3.162000032E+15 290 1.172268556E+00 1.172268556E+00 1.178455413E+0 1.178455413E+0
1.000000000E+13 3.162000032E+15 295 1.172308166E+00 1.172308166E+00 1.181463466E+0 1.181463466E+0
1.000000000E+13 3.162000032E+15 300 1.175530628E+00 1.175530628E+00 1.183710978E+0 1.183710978E+0
1.000000000E+13 3.162000032E+15 305 1.181696286E+00 1.181696286E+00 1.184107031E+0 1.184107031E+0
1.000000000E+13 3.162000032E+15 310 1.187203765E+00 1.187203765E+00 1.180343879E+0 1.180343879E+0
1.000000000E+13 3.162000032E+15 315 1.182636126E+00 1.182636126E+00 1.168417884E+0 1.168417884E+0
1.000000000E+13 3.162000032E+15 320 1.181246461E+00 1.181246461E+00 1.144021296E+0 1.144021296E+0
1.000000000E+13 3.162000032E+15 325 1.160363098E+00 1.160363098E+00 1.107915884E+0 1.107915884E+0
1.000000000E+13 3.162000032E+15 330 1.149324617E+00 1.149324617E+00 1.069657442E+0 1.069657442E+0
1.000000000E+13 3.162000032E+15 335 1.129387766E+00 1.129387766E+00 1.039799076E+0 1.039799076E+0
1.000000000E+13 3.162000032E+15 340 1.105008800E+00 1.105008800E+00 1.021137287E+0 1.021137287E+0
1.000000000E+13 5.622999955E+15 290 1.177223098E+00 1.177223098E+00 1.187006917E+0 1.187006917E+0
1.000000000E+13 5.622999955E+15 295 1.184674391E+00 1.184674391E+00 1.190552544E+0 1.190552544E+0
1.000000000E+13 5.622999955E+15 300 1.182056555E+00 1.182056555E+00 1.193938708E+0 1.193938708E+0
1.000000000E+13 5.622999955E+15 305 1.189085726E+00 1.189085726E+00 1.196916874E+0 1.196916874E+0
1.000000000E+13 5.622999955E+15 310 1.195733808E+00 1.195733808E+00 1.198910472E+0 1.198910472E+0
1.000000000E+13 5.622999955E+15 315 1.196412330E+00 1.196412330E+00 1.198662785E+0 1.198662785E+0
1.000000000E+13 5.622999955E+15 320 1.198332524E+00 1.198332524E+00 1.193710421E+0 1.193710421E+0
1.000000000E+13 5.622999955E+15 325 1.202669779E+00 1.202669779E+00 1.180140418E+0 1.180140418E+0
1.000000000E+13 5.622999955E+15 330 1.189810593E+00 1.189810593E+00 1.154226249E+0 1.154226249E+0
1.000000000E+13 5.622999955E+15 335 1.180668566E+00 1.180668566E+00 1.117216548E+0 1.117216548E+0
1.000000000E+13 5.622999955E+15 340 1.161896980E+00 1.161896980E+00 1.078030856E+0 1.078030856E+0
1.000000000E+13 1.000000000E+16 290 1.191152411E+00 1.191152411E+00 1.195640590E+0 1.195640590E+0
1.000000000E+13 1.000000000E+16 295 1.189921889E+00 1.189921889E+00 1.199433909E+0 1.199433909E+0
1.000000000E+13 1.000000000E+16 300 1.197800083E+00 1.197800083E+00 1.203198468E+0 1.203198468E+0
1.000000000E+13 1.000000000E+16 305 1.195304039E+00 1.195304039E+00 1.206878520E+0 1.206878520E+0
1.000000000E+13 1.000000000E+16 310 1.202868361E+00 1.202868361E+00 1.210342429E+0 1.210342429E+0
1.000000000E+13 1.000000000E+16 315 1.210157967E+00 1.210157967E+00 1.213290052E+0 1.213290052E+0
1.000000000E+13 1.000000000E+16 320 1.207514355E+00 1.207514355E+00 1.215066164E+0 1.215066164E+0
1.000000000E+13 1.000000000E+16 325 1.214058094E+00 1.214058094E+00 1.214327971E+0 1.214327971E+0
1.000000000E+13 1.000000000E+16 330 1.215000101E+00 1.215000101E+00 1.208604503E+0 1.208604503E+0
1.000000000E+13 1.000000000E+16 335 1.219156588E+00 1.219156588E+00 1.194210030E+0 1.194210030E+0
1.000000000E+13 1.000000000E+16 340 1.207410992E+00 1.207410992E+00 1.167825819E+0 1.167825819E+0
1.000000000E+13 1.778000014E+16 290 1.209167748E+00 1.209167748E+00 1.204487249E+0 1.204487249E+0
1.000000000E+13 1.778000014E+16 295 1.194753837E+00 1.194753837E+00 1.208470526E+0 1.208470526E+0
1.000000000E+13 1.778000014E+16 300 1.202937967E+00 1.202937967E+00 1.212454121E+0 1.212454121E+0
1.000000000E+13 1.778000014E+16 305 1.204991276E+00 1.204991276E+00 1.216425195E+0 1.216425195E+0
1.000000000E+13 1.778000014E+16 310 1.209132796E+00 1.209132796E+00 1.220353450E+0 1.220353450E+0
1.000000000E+13 1.778000014E+16 315 1.217112234E+00 1.217112234E+00 1.224169275E+0 1.224169275E+0
1.000000000E+13 1.778000014E+16 320 1.220975694E+00 1.220975694E+00 1.227717372E+0 1.227717372E+0
1.000000000E+13 1.778000014E+16 325 1.223068617E+00 1.223068617E+00 1.230662713E+0 1.230662713E+0
1.000000000E+13 1.778000014E+16 330 1.224754595E+00 1.224754595E+00 1.232312506E+0 1.232312506E+0
1.000000000E+13 1.778000014E+16 335 1.231779506E+00 1.231779506E+00 1.231320142E+0 1.231320142E+0
1.000000000E+13 1.778000014E+16 340 1.232996970E+00 1.232996970E+00 1.225326900E+0 1.225326900E+0
1.000000000E+13 3.162000032E+16 290 1.213187279E+00 1.213187279E+00 1.213584901E+0 1.213584901E+0
