N_b T n_Fe n_Fecalk
1.500000000E+01 290 1.150535618E+00 1.170074534E+0
1.500000000E+01 295 1.155072075E+00 1.166879316E+0
1.500000000E+01 300 1.158073752E+00 1.158645602E+0
1.500000000E+01 305 1.143009556E+00 1.143305745E+0
1.500000000E+01 310 1.124317125E+00 1.120361304E+0
1.500000000E+01 315 1.103184737E+00 1.092602219E+0
1.500000000E+01 320 1.084522753E+00 1.065330235E+0
1.500000000E+01 325 1.018462628E+00 1.042989549E+0
1.500000000E+01 330 1.016891881E+00 1.027022876E+0
1.500000000E+01 335 1.015722484E+00 1.016578725E+0
1.500000000E+01 340 1.017873104E+00 1.010080666E+0
1.524993176E+01 290 1.16316255E+00 1.179494948E+0
1.524993176E+01 295 1.163405474E+00 1.180823148E+0
1.524993176E+01 300 1.168752900E+00 1.180450816E+0
1.524993176E+01 305 1.173110521E+00 1.177085839E+0
1.524993176E+01 310 1.175811798E+00 1.168929654E+0
1.524993176E+01 315 1.152137421E+00 1.154159731E+0
1.524993176E+01 320 1.132795922E+00 1.132197841E+0
1.524993176E+01 325 1.118840017E+00 1.105121830E+0
1.524993176E+01 330 1.093934102E+00 1.077384947E+0
1.524993176E+01 335 1.016115207E+00 1.053345042E+0
1.524993176E+01 340 1.014956829E+00 1.035092804E+0
1.549996187E+01 290 1.172268556E+00 1.185758801E+0
1.549996187E+01 295 1.172308166E+00 1.188469051E+0
1.549996187E+01 300 1.175530628E+00 1.190685015E+0
1.549996187E+01 305 1.181696286E+00 1.191976327E+0
1.549996187E+01 310 1.187203765E+00 1.191608791E+0
1.549996187E+01 315 1.182636126E+00 1.188430486E+0
1.549996187E+01 320 1.181246461E+00 1.180871224E+0
1.549996187E+01 325 1.160363098E+00 1.167297357E+0
1.549996187E+01 330 1.149324617E+00 1.146944036E+0
1.549996187E+01 335 1.129387766E+00 1.121084314E+0
1.549996187E+01 340 1.105008800E+00 1.093210019E+0
1.574996808E+01 290 1.177223098E+00 1.191200611E+0
1.574996808E+01 295 1.184674391E+00 1.194358730E+0
1.574996808E+01 300 1.182056555E+00 1.197376351E+0
1.574996808E+01 305 1.189085726E+00 1.200126783E+0
1.574996808E+01 310 1.195733808E+00 1.202382664E+0
1.574996808E+01 315 1.196412330E+00 1.203750800E+0
1.574996808E+01 320 1.198332524E+00 1.203584322E+0
1.574996808E+01 325 1.202669779E+00 1.200894880E+0
1.574996808E+01 330 1.189810593E+00 1.194342434E+0
1.574996808E+01 335 1.180668566E+00 1.182462935E+0
1.574996808E+01 340 1.161896980E+00 1.164305956E+0
1.600000000E+01 290 1.191152411E+00 1.196461258E+0
1.600000000E+01 295 1.189921889E+00 1.199808891E+0
1.600000000E+01 300 1.197800083E+00 1.203116185E+0
1.600000000E+01 305 1.195304039E+00 1.206346423E+0
1.600000000E+01 310 1.202868361E+00 1.209432810E+0
1.600000000E+01 315 1.210157967E+00 1.212256837E+0
1.600000000E+01 320 1.207514355E+00 1.214613979E+0
1.600000000E+01 325 1.214058094E+00 1.216162852E+0
1.600000000E+01 330 1.215000101E+00 1.216358115E+0
1.600000000E+01 335 1.219156588E+00 1.214381675E+0
1.600000000E+01 340 1.207410992E+00 1.209119952E+0
1.624993176E+01 290 1.209167748E+00 1.201710399E+0
1.624993176E+01 295 1.194753837E+00 1.205176584E+0
1.624993176E+01 300 1.202937967E+00 1.208630971E+0
1.624993176E+01 305 1.204991276E+00 1.212062793E+0
1.624993176E+01 310 1.209132796E+00 1.215452393E+0
1.624993176E+01 315 1.217112234E+00 1.218764643E+0
1.624993176E+01 320 1.220975694E+00 1.221938127E+0
1.624993176E+01 325 1.223068617E+00 1.224867860E+0
1.624993176E+01 330 1.224754595E+00 1.227378805E+0
1.624993176E+01 335 1.231779506E+00 1.229187603E+0
1.624993176E+01 340 1.232996970E+00 1.229852468E+0
1.649996187E+01 290 1.213187279E+00 1.206999114E+0
1.649996187E+01 295 1.217922456E+00 1.210564614E+0
1.649996187E+01 300 1.207608103E+00 1.214126597E+0
1.649996187E+01 305 1.216493501E+00 1.217681853E+0
1.649996187E+01 310 1.214550522E+00 1.221224511E+0
1.649996187E+01 315 1.223141919E+00 1.224744064E+0
1.649996187E+01 320 1.231642071E+00 1.228222070E+0
1.649996187E+01 325 1.230354541E+00 1.231626795E+0
1.649996187E+01 330 1.233138711E+00 1.234904692E+0
1.649996187E+01 335 1.241657042E+00 1.237967241E+0
1.649996187E+01 340 1.244600170E+00 1.240671307E+0
1.674996808E+01 290 1.229892128E+00 1.212337729E+0
1.674996808E+01 295 1.227325914E+00 1.215997675E+0
1.674996808E+01 300 1.225559376E+00 1.219656554E+0
1.674996808E+01 305 1.222225971E+00 1.223313389E+0
1.674996808E+01 310 1.231481461E+00 1.226966395E+0
1.674996808E+01 315 1.230022061E+00 1.230612376E+0
1.674996808E+01 320 1.239103593E+00 1.234245718E+0
1.674996808E+01 325 1.247897588E+00 1.237856740E+0
1.674996808E+01 330 1.246879650E+00 1.241429050E+0
1.674996808E+01 335 1.250511080E+00 1.244935390E+0
1.674996808E+01 340 1.259222635E+00 1.248331220E+0
1.700000000E+01 290 1.237533822E+00 1.217730794E+0
1.700000000E+01 295 1.235629262E+00 1.221484449E+0
1.700000000E+01 300 1.244880720E+00 1.225237773E+0
1.700000000E+01 305 1.234796277E+00 1.228990464E+0
1.700000000E+01 310 1.240243654E+00 1.232741971E+0
1.700000000E+01 315 1.247699400E+00 1.236491304E+0
1.700000000E+01 320 1.248776571E+00 1.240236725E+0
1.700000000E+01 325 1.258210669E+00 1.243975233E+0
1.700000000E+01 330 1.260203596E+00 1.247701747E+0
1.700000000E+01 335 1.261744312E+00 1.251407798E+0
1.700000000E+01 340 1.271114845E+00 1.255079507E+0
