fname time Tem kT_1 n0 Eefo E_B E_T Nb mT dev 
FE100_BT 1317229825 0 555 1.044120105E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 6.951132505E-04 
FE101_BT 1317229825 0 555 1.049852958E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 7.322127175E-04 
FE102_BT 1317229825 0 555 1.091088151E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 1.456290253E-03 
FE103_BT 1317229825 0 555 1.194636631E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 2.578516465E-03 
FE140_BT 1317229825 0 555 1.044445286E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 6.979457835E-04 
FE141_BT 1317229825 0 555 1.052739440E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 7.728855495E-04 
FE142_BT 1317229825 0 555 1.104482123E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 1.685413361E-03 
FE210_BT 1317229825 0 555 1.044879027E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 6.986444776E-04 
FE211_BT 1317229825 0 555 1.056550145E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 8.389327364E-04 
FE212_BT 1317229825 0 555 1.120351379E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 1.936014726E-03 
FE310_BT 1317229825 0 555 1.045532115E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 6.994253964E-04 
FE311_BT 1317229825 0 555 1.062212751E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 9.446994079E-04 
FE312_BT 1317229825 0 555 1.137289841E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 2.205855764E-03 
FE460_BT 1317229825 0 555 1.046504813E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 7.001094159E-04 
FE461_BT 1317229825 0 555 1.069577043E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 1.149210450E-03 
FE462_BT 1317229825 0 555 1.154567088E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 2.367232849E-03 
FE680_BT 1317229825 0 555 1.047877604E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 7.101121872E-04 
FE681_BT 1317229825 0 555 1.078862080E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 1.314356716E-03 
FE682_BT 1317229825 0 555 1.173965855E-07 1.430000000E+00 8.500000000E-02 1.900000000E-03 2.850000000E+00 1.130000000E+00 2.462145583E-03 
