N_b T n_Fe n_Fecalk
1.500000000E+01 290 1.144246025E+00 1.136810866E+0
1.500000000E+01 295 1.135289575E+00 1.130840459E+0
1.500000000E+01 300 1.117769420E+00 1.114969831E+0
1.500000000E+01 305 1.096245934E+00 1.087104097E+0
1.500000000E+01 310 1.072668248E+00 1.054676825E+0
1.500000000E+01 315 1.033792871E+00 1.029213651E+0
1.500000000E+01 320 1.007929669E+00 1.014214912E+0
1.500000000E+01 325 1.007189979E+00 1.006669757E+0
1.500000000E+01 330 1.008153893E+00 1.003116233E+0
1.500000000E+01 335 1.010357508E+00 1.001471390E+0
1.500000000E+01 340 1.017819021E+00 1.000706375E+0
1.524993176E+01 290 1.153679736E+00 1.148000891E+0
1.524993176E+01 295 1.149359290E+00 1.148942854E+0
1.524993176E+01 300 1.151946100E+00 1.146911430E+0
1.524993176E+01 305 1.141735087E+00 1.138524353E+0
1.524993176E+01 310 1.118156729E+00 1.119468901E+0
1.524993176E+01 315 1.105597236E+00 1.089330373E+0
1.524993176E+01 320 1.083155865E+00 1.056466001E+0
1.524993176E+01 325 1.022042904E+00 1.031081724E+0
1.524993176E+01 330 1.009596639E+00 1.015786486E+0
1.524993176E+01 335 1.006300441E+00 1.007761400E+0
1.524993176E+01 340 1.007194388E+00 1.003797697E+0
1.549996187E+01 290 1.159576573E+00 1.155971180E+0
1.549996187E+01 295 1.156304023E+00 1.158600238E+0
1.549996187E+01 300 1.161431919E+00 1.160564577E+0
1.549996187E+01 305 1.164895703E+00 1.160910730E+0
1.549996187E+01 310 1.164321301E+00 1.157621712E+0
1.549996187E+01 315 1.143124363E+00 1.147198315E+0
1.549996187E+01 320 1.128516439E+00 1.125875540E+0
1.549996187E+01 325 1.109965040E+00 1.094319177E+0
1.549996187E+01 330 1.084950398E+00 1.060881053E+0
1.549996187E+01 335 1.015437975E+00 1.034784649E+0
1.549996187E+01 340 1.006426461E+00 1.018474125E+0
1.574996808E+01 290 1.164764845E+00 1.163445249E+0
1.574996808E+01 295 1.168416029E+00 1.166544150E+0
1.574996808E+01 300 1.168095369E+00 1.169503679E+0
1.574996808E+01 305 1.173437835E+00 1.172106615E+0
1.574996808E+01 310 1.176395154E+00 1.173849033E+0
1.574996808E+01 315 1.176100931E+00 1.173632553E+0
1.574996808E+01 320 1.166176702E+00 1.169304155E+0
1.574996808E+01 325 1.156788216E+00 1.157443885E+0
1.574996808E+01 330 1.137089567E+00 1.134794735E+0
1.574996808E+01 335 1.117222618E+00 1.102448018E+0
1.574996808E+01 340 1.102870719E+00 1.068199471E+0
1.600000000E+01 290 1.169466141E+00 1.170991135E+0
1.600000000E+01 295 1.176584684E+00 1.174306520E+0
1.600000000E+01 300 1.174032229E+00 1.177596769E+0
1.600000000E+01 305 1.180418445E+00 1.180813158E+0
1.600000000E+01 310 1.181841063E+00 1.183840637E+0
1.600000000E+01 315 1.182380575E+00 1.186416879E+0
1.600000000E+01 320 1.186529101E+00 1.187969212E+0
1.600000000E+01 325 1.188879694E+00 1.187324027E+0
1.600000000E+01 330 1.179407327E+00 1.182321679E+0
1.600000000E+01 335 1.164171149E+00 1.169740816E+0
1.600000000E+01 340 1.151821370E+00 1.146680846E+0
1.624993176E+01 290 1.173894512E+00 1.178723172E+0
1.624993176E+01 295 1.181572616E+00 1.182204581E+0
1.624993176E+01 300 1.186480171E+00 1.185686269E+0
1.624993176E+01 305 1.186566795E+00 1.189157013E+0
1.624993176E+01 310 1.189055495E+00 1.192590334E+0
1.624993176E+01 315 1.192214681E+00 1.195925389E+0
1.624993176E+01 320 1.195821210E+00 1.199026449E+0
1.624993176E+01 325 1.200305798E+00 1.201600696E+0
1.624993176E+01 330 1.203448852E+00 1.203042626E+0
1.624993176E+01 335 1.204815328E+00 1.202175293E+0
1.624993176E+01 340 1.192129193E+00 1.196937161E+0
1.649996187E+01 290 1.181817744E+00 1.186674579E+0
1.649996187E+01 295 1.186265437E+00 1.190314517E+0
1.649996187E+01 300 1.194004159E+00 1.193960751E+0
1.649996187E+01 305 1.192075925E+00 1.197610559E+0
1.649996187E+01 310 1.198218533E+00 1.201257640E+0
1.649996187E+01 315 1.201277097E+00 1.204887606E+0
1.649996187E+01 320 1.204074418E+00 1.208468310E+0
1.649996187E+01 325 1.209933534E+00 1.211929719E+0
1.649996187E+01 330 1.214860841E+00 1.215123453E+0
1.649996187E+01 335 1.218557031E+00 1.217744944E+0
1.649996187E+01 340 1.220707890E+00 1.219193748E+0
1.674996808E+01 290 1.193107045E+00 1.194849694E+0
1.674996808E+01 295 1.191269329E+00 1.198649883E+0
1.674996808E+01 300 1.199771843E+00 1.202458038E+0
1.674996808E+01 305 1.208099399E+00 1.206273410E+0
1.674996808E+01 310 1.206321498E+00 1.210094391E+0
1.674996808E+01 315 1.208766178E+00 1.213917427E+0
1.674996808E+01 320 1.211902797E+00 1.217734682E+0
1.674996808E+01 325 1.218818651E+00 1.221529145E+0
1.674996808E+01 330 1.225061692E+00 1.225264668E+0
1.674996808E+01 335 1.230391005E+00 1.228866240E+0
1.674996808E+01 340 1.234534190E+00 1.232182181E+0
1.700000000E+01 290 1.200510170E+00 1.203254208E+0
1.700000000E+01 295 1.209611822E+00 1.207218514E+0
1.700000000E+01 300 1.207913109E+00 1.211191462E+0
1.700000000E+01 305 1.216783220E+00 1.215172770E+0
1.700000000E+01 310 1.215336774E+00 1.219161947E+0
1.700000000E+01 315 1.218392723E+00 1.223158025E+0
1.700000000E+01 320 1.226679164E+00 1.227158980E+0
1.700000000E+01 325 1.229946191E+00 1.231160522E+0
1.700000000E+01 330 1.237208407E+00 1.235153623E+0
1.700000000E+01 335 1.243768499E+00 1.239119590E+0
1.700000000E+01 340 1.244179320E+00 1.243020487E+0
