N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+12 1.000000000E+15 290 1.148006629E+00 1.148006629E+00 1.143295434E+0 1.143295434E+0
1.000000000E+12 1.000000000E+15 295 1.148232147E+00 1.148232147E+00 1.143083345E+0 1.143083345E+0
1.000000000E+12 1.000000000E+15 300 1.135630691E+00 1.135630691E+00 1.138146845E+0 1.138146845E+0
1.000000000E+12 1.000000000E+15 305 1.116178931E+00 1.116178931E+00 1.123720271E+0 1.123720271E+0
1.000000000E+12 1.000000000E+15 310 1.095797512E+00 1.095797512E+00 1.096446108E+0 1.096446108E+0
1.000000000E+12 1.000000000E+15 315 1.077601948E+00 1.077601948E+00 1.062268523E+0 1.062268523E+0
1.000000000E+12 1.000000000E+15 320 1.019116917E+00 1.019116917E+00 1.033806582E+0 1.033806582E+0
1.000000000E+12 1.000000000E+15 325 1.008694303E+00 1.008694303E+00 1.016491887E+0 1.016491887E+0
1.000000000E+12 1.000000000E+15 330 1.008197138E+00 1.008197138E+00 1.007693302E+0 1.007693302E+0
1.000000000E+12 1.000000000E+15 335 1.009400398E+00 1.009400398E+00 1.003559414E+0 1.003559414E+0
1.000000000E+12 1.000000000E+15 340 1.011875603E+00 1.011875603E+00 1.001661476E+0 1.001661476E+0
1.000000000E+12 1.778000014E+15 290 1.155234878E+00 1.155234878E+00 1.151612210E+0 1.151612210E+0
1.000000000E+12 1.778000014E+15 295 1.158050950E+00 1.158050950E+00 1.153969811E+0 1.153969811E+0
1.000000000E+12 1.778000014E+15 300 1.155469473E+00 1.155469473E+00 1.155295134E+0 1.155295134E+0
1.000000000E+12 1.778000014E+15 305 1.157538650E+00 1.157538650E+00 1.154048570E+0 1.154048570E+0
1.000000000E+12 1.778000014E+15 310 1.138257311E+00 1.138257311E+00 1.147073844E+0 1.147073844E+0
1.000000000E+12 1.778000014E+15 315 1.122958090E+00 1.122958090E+00 1.129759216E+0 1.129759216E+0
1.000000000E+12 1.778000014E+15 320 1.107382547E+00 1.107382547E+00 1.100121213E+0 1.100121213E+0
1.000000000E+12 1.778000014E+15 325 1.082623900E+00 1.082623900E+00 1.065177564E+0 1.065177564E+0
1.000000000E+12 1.778000014E+15 330 1.018908262E+00 1.018908262E+00 1.036488918E+0 1.036488918E+0
1.000000000E+12 1.778000014E+15 335 1.007593275E+00 1.007593275E+00 1.018600193E+0 1.018600193E+0
1.000000000E+12 1.778000014E+15 340 1.007200961E+00 1.007200961E+00 1.009100317E+0 1.009100317E+0
1.000000000E+12 3.162000032E+15 290 1.160674492E+00 1.160674492E+00 1.159075803E+0 1.159075803E+0
1.000000000E+12 3.162000032E+15 295 1.166903539E+00 1.166903539E+00 1.162058280E+0 1.162058280E+0
1.000000000E+12 3.162000032E+15 300 1.163800894E+00 1.163800894E+00 1.164835509E+0 1.164835509E+0
1.000000000E+12 3.162000032E+15 305 1.168436621E+00 1.168436621E+00 1.167070725E+0 1.167070725E+0
1.000000000E+12 3.162000032E+15 310 1.171699887E+00 1.171699887E+00 1.167958006E+0 1.167958006E+0
1.000000000E+12 3.162000032E+15 315 1.164458684E+00 1.164458684E+00 1.165726321E+0 1.165726321E+0
1.000000000E+12 3.162000032E+15 320 1.148272473E+00 1.148272473E+00 1.157071757E+0 1.157071757E+0
1.000000000E+12 3.162000032E+15 325 1.133766967E+00 1.133766967E+00 1.137746262E+0 1.137746262E+0
1.000000000E+12 3.162000032E+15 330 1.111934178E+00 1.111934178E+00 1.106684000E+0 1.106684000E+0
1.000000000E+12 3.162000032E+15 335 1.093592736E+00 1.093592736E+00 1.070996916E+0 1.070996916E+0
1.000000000E+12 3.162000032E+15 340 1.017128938E+00 1.017128938E+00 1.041315902E+0 1.041315902E+0
1.000000000E+12 5.622999955E+15 290 1.165753137E+00 1.165753137E+00 1.166551614E+0 1.166551614E+0
1.000000000E+12 5.622999955E+15 295 1.172685925E+00 1.172685925E+00 1.169775315E+0 1.169775315E+0
1.000000000E+12 5.622999955E+15 300 1.173507534E+00 1.173507534E+00 1.172962274E+0 1.172962274E+0
1.000000000E+12 5.622999955E+15 305 1.176033464E+00 1.176033464E+00 1.176041781E+0 1.176041781E+0
1.000000000E+12 5.622999955E+15 310 1.181585610E+00 1.181585610E+00 1.178839749E+0 1.178839749E+0
1.000000000E+12 5.622999955E+15 315 1.182241065E+00 1.182241065E+00 1.180944524E+0 1.180944524E+0
1.000000000E+12 5.622999955E+15 320 1.181968029E+00 1.181968029E+00 1.181434397E+0 1.181434397E+0
1.000000000E+12 5.622999955E+15 325 1.171742445E+00 1.171742445E+00 1.178420986E+0 1.178420986E+0
1.000000000E+12 5.622999955E+15 330 1.162300576E+00 1.162300576E+00 1.168639523E+0 1.168639523E+0
1.000000000E+12 5.622999955E+15 335 1.143648880E+00 1.143648880E+00 1.148239129E+0 1.148239129E+0
1.000000000E+12 5.622999955E+15 340 1.126257509E+00 1.126257509E+00 1.116534460E+0 1.116534460E+0
1.000000000E+12 1.000000000E+16 290 1.170272019E+00 1.170272019E+00 1.174209184E+0 1.174209184E+0
1.000000000E+12 1.000000000E+16 295 1.177733513E+00 1.177733513E+00 1.177601766E+0 1.177601766E+0
1.000000000E+12 1.000000000E+16 300 1.184951900E+00 1.184951900E+00 1.180992494E+0 1.180992494E+0
1.000000000E+12 1.000000000E+16 305 1.182486067E+00 1.182486067E+00 1.184366186E+0 1.184366186E+0
1.000000000E+12 1.000000000E+16 310 1.188986684E+00 1.188986684E+00 1.187685383E+0 1.187685383E+0
1.000000000E+12 1.000000000E+16 315 1.189795091E+00 1.189795091E+00 1.190860348E+0 1.190860348E+0
