N_Fe N_B T n_Fe n_Fe_calk n_Fe n_Fe_calk
1.000000000E+12 1.000000000E+15 290 1.128806357E+00 1.128806357E+00 1.140327212E+0 1.140327212E+0
1.000000000E+12 1.000000000E+15 295 1.134099677E+00 1.134099677E+00 1.142601131E+0 1.142601131E+0
1.000000000E+12 1.000000000E+15 300 1.138975896E+00 1.138975896E+00 1.144484812E+0 1.144484812E+0
1.000000000E+12 1.000000000E+15 305 1.142934146E+00 1.142934146E+00 1.145041774E+0 1.145041774E+0
1.000000000E+12 1.000000000E+15 310 1.144986671E+00 1.144986671E+00 1.141476377E+0 1.141476377E+0
1.000000000E+12 1.000000000E+15 315 1.121810409E+00 1.121810409E+00 1.127295536E+0 1.127295536E+0
1.000000000E+12 1.000000000E+15 320 1.097624237E+00 1.097624237E+00 1.095494873E+0 1.095494873E+0
1.000000000E+12 1.000000000E+15 325 1.059423833E+00 1.059423833E+00 1.054452453E+0 1.054452453E+0
1.000000000E+12 1.000000000E+15 330 1.011804713E+00 1.011804713E+00 1.024389906E+0 1.024389906E+0
1.000000000E+12 1.000000000E+15 335 1.010150862E+00 1.010150862E+00 1.009656746E+0 1.009656746E+0
1.000000000E+12 1.000000000E+15 340 1.011487342E+00 1.011487342E+00 1.003690307E+0 1.003690307E+0
1.000000000E+12 1.778000014E+15 290 1.131706390E+00 1.131706390E+00 1.142710395E+0 1.142710395E+0
1.000000000E+12 1.778000014E+15 295 1.137646018E+00 1.137646018E+00 1.145153175E+0 1.145153175E+0
1.000000000E+12 1.778000014E+15 300 1.143228197E+00 1.143228197E+00 1.147548101E+0 1.147548101E+0
1.000000000E+12 1.778000014E+15 305 1.148386945E+00 1.148386945E+00 1.149777292E+0 1.149777292E+0
1.000000000E+12 1.778000014E+15 310 1.147024138E+00 1.147024138E+00 1.151458727E+0 1.151458727E+0
1.000000000E+12 1.778000014E+15 315 1.147544180E+00 1.147544180E+00 1.151431938E+0 1.151431938E+0
1.000000000E+12 1.778000014E+15 320 1.146157831E+00 1.146157831E+00 1.146561879E+0 1.146561879E+0
1.000000000E+12 1.778000014E+15 325 1.126828826E+00 1.126828826E+00 1.130432559E+0 1.130432559E+0
1.000000000E+12 1.778000014E+15 330 1.099335219E+00 1.099335219E+00 1.097563013E+0 1.097563013E+0
1.000000000E+12 1.778000014E+15 335 1.072721049E+00 1.072721049E+00 1.057021090E+0 1.057021090E+0
1.000000000E+12 1.778000014E+15 340 1.011253801E+00 1.011253801E+00 1.026895758E+0 1.026895758E+0
1.000000000E+12 3.162000032E+15 290 1.134545608E+00 1.134545608E+00 1.145055648E+0 1.145055648E+0
