V d44s d44b V1 d52a d52b d54a d54b d54c d74a d74b
-1.200000e+00 4.766377e-06 1.806852e-06 -1.200000e+00 4.507994e-06 5.209933e-06 4.254250e-06 2.338721e-06 3.492808e-06 6.443647e-06 3.828104e-06
-1.100000e+00 4.848234e-06 1.809790e-06 -1.000000e+00 4.498585e-06 3.533018e-06 5.378151e-06 2.515570e-06 3.331524e-06 6.118306e-06 3.606407e-06
-1.000000e+00 4.718310e-06 1.911189e-06 -8.000000e-01 4.380542e-06 3.369721e-06 6.247434e-06 2.415038e-06 3.197975e-06 5.896219e-06 3.398847e-06
-9.000000e-01 4.578114e-06 1.996530e-06 -6.000000e-01 4.480280e-06 2.902739e-06 6.582532e-06 1.784311e-06 2.986248e-06 5.721891e-06 3.177604e-06
-8.000000e-01 4.511750e-06 2.348150e-06 -4.000000e-01 4.170045e-06 2.441411e-06 5.589295e-06 1.334568e-06 2.733854e-06 5.066624e-06 2.717092e-06
-7.000000e-01 4.442954e-06 2.403616e-06 -2.000000e-01 3.703861e-06 2.473341e-06 5.345889e-06 1.469454e-06 2.496137e-06 4.951550e-06 2.545071e-06
-6.000000e-01 4.274222e-06 2.656557e-06 0.000000e+00 2.838619e-06 2.438873e-06 4.938036e-06 1.175659e-06 2.027998e-06 4.188206e-06 2.105993e-06
-5.000000e-01 4.333119e-06 2.605521e-06 2.000000e-01 1.754949e-06 1.131545e-06 2.690843e-06 5.039955e-07 1.390459e-06 3.344022e-06 1.551869e-06
-4.000000e-01 4.169933e-06 2.875222e-06 4.000000e-01 1.580275e-06 9.498246e-07 6.242904e-07 4.139445e-07 6.054143e-07 1.225883e-06 9.955021e-07
-3.000000e-01 4.019971e-06 3.000847e-06 NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 3.806408e-06 3.100145e-06 NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 3.970513e-06 3.066589e-06 NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 4.825524e-06 3.163373e-06 NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 2.662579e-06 3.303642e-06 NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.911701e-06 3.507130e-06 NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 1.611462e-06 3.098569e-06 NaN NaN NaN NaN NaN NaN NaN NaN
