V d42 V1 d61a d61c d64a d64b
-1.200000e+00 2.717841e-06 -1.200000e+00 4.436992e-06 5.013196e-06 2.351637e-06 2.268371e-06
-1.100000e+00 2.697651e-06 -1.000000e+00 4.944549e-06 4.941985e-06 2.525507e-06 2.187750e-06
-1.000000e+00 2.702603e-06 -8.000000e-01 4.597581e-06 4.913500e-06 2.300402e-06 2.094483e-06
-9.000000e-01 2.650889e-06 -6.000000e-01 4.349371e-06 4.660879e-06 2.178439e-06 2.037612e-06
-8.000000e-01 2.570389e-06 -4.000000e-01 3.840340e-06 4.637948e-06 1.909946e-06 1.959642e-06
-7.000000e-01 2.525996e-06 -2.000000e-01 3.918217e-06 4.272438e-06 1.378871e-06 1.738326e-06
-6.000000e-01 2.475426e-06 0.000000e+00 3.487409e-06 3.908602e-06 1.467366e-06 1.536678e-06
-5.000000e-01 2.482849e-06 2.000000e-01 2.444889e-06 2.814124e-06 1.128902e-06 1.460552e-06
-4.000000e-01 2.433314e-06 4.000000e-01 7.398008e-07 1.857449e-06 8.435527e-07 1.366064e-06
-3.000000e-01 2.384372e-06 NaN NaN NaN NaN NaN
-2.000000e-01 2.301854e-06 NaN NaN NaN NaN NaN
-1.000000e-01 2.218999e-06 NaN NaN NaN NaN NaN
0.000000e+00 2.190476e-06 NaN NaN NaN NaN NaN
1.000000e-01 2.269435e-06 NaN NaN NaN NaN NaN
2.000000e-01 2.623073e-06 NaN NaN NaN NaN NaN
3.000000e-01 2.678682e-06 NaN NaN NaN NaN NaN
