V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 5.046703e-07 3.434148e-06 -1.200000e+00 2.376853e-06 7.709215e-05 1.122237e-05 7.154561e-06 2.847411e-06 3.450899e-06 1.706982e-06 4.691923e-06 1.045696e-04 5.457189e-06 8.321386e-06 7.667975e-06
-1.100000e+00 1.524010e-06 3.355615e-06 -1.000000e+00 7.724828e-06 1.097396e-04 7.549029e-05 1.285390e-05 2.662663e-06 2.976739e-06 1.703078e-06 3.778662e-06 1.185543e-04 5.140757e-06 8.969495e-06 7.320909e-06
-1.000000e+00 8.754824e-07 3.379466e-06 -8.000000e-01 6.415756e-05 1.324388e-04 1.169096e-04 2.292926e-05 2.349301e-06 2.544691e-06 1.559446e-06 4.397723e-06 1.323282e-04 4.974652e-06 8.401745e-06 7.300447e-06
-9.000000e-01 2.085601e-07 3.322825e-06 -6.000000e-01 3.318253e-06 1.734411e-04 1.757942e-04 1.944813e-05 2.154888e-06 2.483439e-06 1.734013e-06 4.025712e-06 1.544435e-04 4.586619e-06 7.270366e-06 7.223005e-06
-8.000000e-01 3.241113e-07 3.289925e-06 -4.000000e-01 2.622547e-04 1.781210e-04 2.864571e-04 2.123030e-05 2.016664e-06 2.567361e-06 1.363863e-06 3.575639e-06 1.646727e-04 4.279065e-06 7.167072e-06 6.844868e-06
-7.000000e-01 3.757592e-05 3.170329e-06 -2.000000e-01 3.000720e-04 1.828125e-04 3.878076e-04 4.901313e-05 1.817217e-06 1.712133e-06 1.108179e-06 3.518893e-06 1.630807e-04 4.020564e-06 7.263528e-06 6.523035e-06
-6.000000e-01 4.590689e-05 3.103847e-06 0.000000e+00 1.679947e-04 1.617805e-04 2.012256e-04 4.727048e-05 1.492450e-06 1.270521e-06 1.061450e-06 2.991258e-06 1.559504e-04 3.577308e-06 6.430469e-06 7.479844e-06
-5.000000e-01 5.101661e-05 3.009939e-06 2.000000e-01 4.047528e-05 2.747652e-05 4.338483e-05 1.377613e-05 1.314584e-06 9.437546e-07 7.941339e-07 1.623265e-06 3.437987e-05 3.150145e-06 5.775921e-06 3.374774e-06
-4.000000e-01 5.916122e-05 2.979142e-06 4.000000e-01 6.078065e-06 4.002730e-06 6.457901e-06 4.717141e-06 1.087587e-05 1.642636e-05 2.660778e-06 7.418113e-06 6.120996e-06 2.912064e-06 3.319705e-06 2.347506e-06
-3.000000e-01 7.353544e-05 2.886123e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 8.683287e-05 2.782862e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 1.020419e-04 2.642249e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 9.959490e-05 2.471365e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 4.962670e-05 2.242300e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 1.652949e-05 1.773091e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 5.387545e-06 1.262163e-06 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
