V d31 V1 d41 V2 d63a d63b d83a d83b d62a d62b
-4.000000e-01 4.642160e-05 -1.200000e+00 5.131770e-06 -1.200000e+00 2.387757e-06 3.358279e-06 2.189902e-06 5.019135e-06 4.372964e-06 4.224907e-06
-2.000000e-01 1.457798e-04 -1.100000e+00 4.855539e-06 -1.000000e+00 1.988417e-06 2.970053e-06 2.083696e-06 5.024345e-06 4.157666e-06 3.785036e-06
0.000000e+00 1.675980e-04 -9.000000e-01 4.735994e-06 -8.000000e-01 1.957419e-06 2.961038e-06 1.918684e-06 4.799460e-06 3.950283e-06 3.648297e-06
1.000000e-01 8.829778e-05 -8.000000e-01 4.692732e-06 -6.000000e-01 1.823420e-06 2.637269e-06 2.007603e-06 4.601229e-06 3.749949e-06 3.234908e-06
2.000000e-01 3.522196e-05 -7.000000e-01 4.556073e-06 -4.000000e-01 1.564129e-06 2.676107e-06 1.929616e-06 4.293578e-06 3.510018e-06 3.537768e-06
NaN NaN -6.000000e-01 4.666077e-06 -2.000000e-01 1.454716e-06 2.623582e-06 1.547787e-06 3.957314e-06 3.209721e-06 3.127544e-06
NaN NaN -5.000000e-01 4.399074e-06 0.000000e+00 1.282195e-06 2.301909e-06 1.254422e-06 3.520771e-06 2.844386e-06 2.833752e-06
NaN NaN -4.000000e-01 4.483304e-06 2.000000e-01 5.606043e-07 1.679274e-06 4.160201e-07 2.740570e-06 1.205220e-06 2.148437e-06
NaN NaN -3.000000e-01 4.300651e-06 4.000000e-01 4.684662e-07 1.076291e-06 2.897519e-07 7.140544e-07 6.815715e-07 1.280151e-06
NaN NaN -2.000000e-01 4.280925e-06 NaN NaN NaN NaN NaN NaN NaN
NaN NaN -1.000000e-01 4.041417e-06 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 0.000000e+00 3.779766e-06 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 1.000000e-01 3.308833e-06 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 2.000000e-01 2.688105e-06 NaN NaN NaN NaN NaN NaN NaN
NaN NaN 3.000000e-01 2.012278e-06 NaN NaN NaN NaN NaN NaN NaN
