Method Finner Holm Hochberg Holland
PSO 3.766312215E-01 4.641291339E-01 4.641291339E-01 3.766312215E-01
NNA 3.766312215E-01 1.000000000E+00 1.000000000E+00 6.582600287E-01
CWOA 3.766312215E-01 7.784247915E-01 7.784247915E-01 5.528317690E-01
ISCA 4.257565932E-01 1.000000000E+00 1.000000000E+00 8.185499981E-01
WW 4.842735614E-01 1.000000000E+00 1.000000000E+00 8.989517775E-01
GOTLBO 8.257124304E-01 1.000000000E+00 1.000000000E+00 9.984204909E-01
MABC 8.538433721E-01 1.000000000E+00 1.000000000E+00 9.992887730E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
