Method Finner Holm Hochberg Holland
MABC 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
WW 1.300018036E-14 1.300000000E-14 8.000000000E-15 1.300018036E-14
IJAYA 3.397916714E-13 1.280753281E-12 1.280753281E-12 1.280753281E-12
DE 3.970165863E-11 1.465907395E-10 1.465907395E-10 1.465907395E-10
GOTLBO 7.915290644E-10 2.739908300E-09 2.739908300E-09 2.739908297E-09
NDE 2.438396760E-05 7.502780370E-05 7.502780370E-05 7.502569279E-05
EBLSHADE 8.355164635E-03 2.122293938E-02 2.122293938E-02 2.107315570E-02
STLBO 3.897963511E-01 7.323284770E-01 5.007364702E-01 5.982522275E-01
TLBO 5.007364702E-01 7.323284770E-01 5.007364702E-01 5.982522275E-01
