Method Finner Holm Hochberg Holland
PSO 7.253551875E-02 7.508311594E-02 7.508311594E-02 7.253551875E-02
CWOA 7.672784744E-02 1.464793837E-01 1.464793837E-01 1.370346462E-01
NNA 8.096996793E-02 2.122640177E-01 2.122640177E-01 1.929250596E-01
ISCA 1.181242916E-01 3.793975060E-01 3.793975060E-01 3.207608536E-01
WW 1.508843380E-01 5.487282289E-01 5.487282289E-01 4.323037512E-01
GOTLBO 4.006014924E-01 1.000000000E+00 1.000000000E+00 8.489023147E-01
MABC 4.317682644E-01 1.000000000E+00 1.000000000E+00 8.812181989E-01
DE 6.855158484E-01 1.000000000E+00 1.000000000E+00 9.860369577E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
