Method Finner Holm Hochberg Holland
NNA 2.298098576E-08 2.298098600E-08 2.298098600E-08 2.298098576E-08
CWOA 1.055973448E-07 1.949489530E-07 1.949489530E-07 1.949489356E-07
PSO 2.135949285E-07 5.422025553E-07 5.422025553E-07 5.422024217E-07
ISCA 1.192225238E-06 3.668386861E-06 3.668386861E-06 3.668380805E-06
WW 6.911649871E-06 2.392499274E-05 2.392499274E-05 2.392473834E-05
GOTLBO 1.167134652E-02 4.323043338E-02 4.323043338E-02 4.242157979E-02
MABC 1.646226750E-01 6.461805576E-01 6.461805576E-01 4.923576983E-01
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
