Method Finner Holm Hochberg Holland
PSO 2.065644321E-06 2.065646290E-06 2.065646290E-06 2.065644321E-06
CWOA 3.969365208E-06 7.328071153E-06 7.328071153E-06 7.328046540E-06
NNA 6.175793552E-06 1.567705164E-05 1.567705164E-05 1.567693993E-05
ISCA 1.684705492E-05 5.183739435E-05 5.183739435E-05 5.183618517E-05
WW 3.453042167E-05 1.195296527E-04 1.195296527E-04 1.195233029E-04
GOTLBO 4.080031847E-04 1.506638814E-03 1.506638814E-03 1.505646080E-03
MABC 5.853538716E-04 2.206631944E-03 2.206631944E-03 2.204546229E-03
DE 2.728423807E-03 1.007947277E-02 1.007947277E-02 1.003723590E-02
IJAYA 1.883160004E-02 6.537673092E-02 6.537673092E-02 6.368929260E-02
NDE 1.906673909E-01 6.007079161E-01 6.007079161E-01 4.784283632E-01
EBLSHADE 4.327018623E-01 1.000000000E+00 8.373118303E-01 7.628300835E-01
STLBO 8.194303414E-01 1.000000000E+00 8.373118303E-01 9.575720649E-01
TLBO 8.373118303E-01 1.000000000E+00 8.373118303E-01 9.575720649E-01
