Method Finner Holm Hochberg Holland
GOTLBO 1.300018036E-14 1.300000000E-14 9.000000000E-15 1.300018036E-14
PSO 1.300018036E-14 1.300000000E-14 9.000000000E-15 1.300018036E-14
ISCA 1.300018036E-14 1.300000000E-14 9.000000000E-15 1.300018036E-14
NNA 1.300018036E-14 1.300000000E-14 9.000000000E-15 1.300018036E-14
CWOA 1.300018036E-14 1.300000000E-14 9.000000000E-15 1.300018036E-14
DE 9.583445149E-13 3.538502824E-12 3.538502824E-12 3.538502824E-12
IJAYA 4.017789275E-11 1.514397496E-10 1.514397496E-10 1.514397496E-10
MABC 3.860058714E-09 1.425252449E-08 1.425252449E-08 1.425252441E-08
WW 1.004183337E-08 3.476019250E-08 3.476019250E-08 3.476019202E-08
NDE 4.044274339E-04 1.244450183E-03 1.244450183E-03 1.243869557E-03
EBLSHADE 5.106732348E-02 1.301519520E-01 1.301519520E-01 1.245870978E-01
STLBO 8.419200867E-01 1.000000000E+00 1.000000000E+00 9.668103159E-01
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
