Method Finner Holm Hochberg Holland
NNA 1.528762520E-02 1.539656106E-02 1.539656106E-02 1.528762520E-02
CWOA 2.633863255E-02 4.917596145E-02 4.917596145E-02 4.808258704E-02
PSO 3.192460806E-02 8.205360625E-02 8.205360625E-02 7.906071962E-02
ISCA 6.742794008E-02 2.125060274E-01 2.125060274E-01 1.932943918E-01
WW 1.383471059E-01 5.009509284E-01 5.009509284E-01 4.027578559E-01
DE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
EBLSHADE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
ADELI 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
NDE 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
MABC 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
TLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
IJAYA 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
