fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0616 1389470189 0 555 9.298724593E+18 1.000000000E+02 3.493420186E-04 6.497605368E-01 5.978250892E+02 2.155907035E-03 
L0617U05 1389470189 0 555 9.169396926E+18 1.000000000E+02 3.522501863E-04 6.507915720E-01 6.192178404E+02 1.906795880E-03 
L0617U10 1389470189 0 555 9.320814300E+18 1.000000000E+02 3.508303074E-04 6.496433893E-01 5.954416629E+02 2.100499763E-03 
L0617U14 1389470189 0 555 9.151009744E+18 1.000000000E+02 3.489659282E-04 6.474237412E-01 5.520353561E+02 1.916707132E-03 
L0617U17 1389470189 0 555 9.026259640E+18 1.000000000E+02 3.484154060E-04 6.448419167E-01 5.055112723E+02 2.005692762E-03 
L0617U20 1389470189 0 555 9.013326985E+18 1.000000000E+02 3.480033763E-04 6.420745270E-01 4.599881358E+02 1.882501411E-03 
L0617U22 1389470189 0 555 9.933221447E+18 1.000000000E+02 3.526562514E-04 6.393696274E-01 4.194574151E+02 3.113096214E-03 
L0622U4 1389798356 0 555 9.669696335E+18 1.000000000E+02 3.472127085E-04 6.506543360E-01 6.163267776E+02 2.809509450E-03 
L0622U6 1389798356 0 555 9.935504577E+18 1.000000000E+02 3.635928721E-04 6.507925387E-01 6.192382545E+02 9.188543101E-03 
L0622U7 1389798356 0 555 9.248719746E+18 1.000000000E+02 3.484328695E-04 6.489829424E-01 5.821812267E+02 7.170734552E-03 
W70S15 1389798356 0 555 9.870548711E+18 1.000000000E+02 3.443245749E-04 6.517773385E-01 6.403867944E+02 1.917602034E-03 
W70S20 1389798356 0 555 1.034422497E+19 1.000000000E+02 3.494829133E-04 6.518199432E-01 6.413178546E+02 1.995964821E-03 
W70S25 1389798356 0 555 1.065782160E+19 1.000000000E+02 3.506624784E-04 6.527095149E-01 6.610702624E+02 2.186037916E-03 
