name MSE R2 MAPE MedAPE p01 p10
ExXg94A 12.63 0.86449 19.87 11.06 0 37.5
ExXg94Ap 343.10 0.56341 60.95 61.88 0 12.5
Ex2Xg94IE 16.89 0.78924 26.06 21.27 0 12.5
Ex2Xg94IEp 99.07 0.23346 65.81 62.28 0 12.5
Ex2Xg94IEV 12.17 0.85801 21.78 18.61 0 25
Ex2Xg94IEVp 167.60 0.82767 51.5 48.39 0 25
Ex2Xg94I 12.69 0.78229 22.79 16.21 0 0
Ex2Xg94Ip 30.24 0.49261 38.48 44.18 0 12.5
Ex2Sv94IE 104.00 0.76492 74.14 48.43 0 12.5
Ex2Sv94IEp 39.16 0.88020 33.72 33.11 0 12.5
Ex2Sv94IEV 251.80 0.66968 126.5 51.51 0 0
Ex2Sv94IEVp 211.90 0.88000 55.85 60.38 0 0
ExSv94A 615.50 -1.92810 77 49.97 0 0
ExSv94Ap 273.60 0.86667 57.24 52.77 0 0
Ex2Sv94Ip 20.87 0.76002 32.62 29.55 0 0
Ex2Sv94I 22.03 0.80444 32.71 31.04 0 0
Ex2Rf94IE 17.24 0.65419 36.51 21.59 12.5 12.5
Ex2Rf94IEp 60.41 0.64823 47.32 43.61 12.5 25
Ex2Rf94IEV 39.66 0.64687 60.75 27.49 0 12.5
Ex2Rf94IEVp 141.80 0.93002 47.48 44.04 0 25
ExRf94A 25.80 0.64741 46.91 35.5 0 12.5
ExRf94Ap 317.80 0.46291 57.68 54.65 0 12.5
Ex2Rf94I 13.22 0.67818 31.75 16.35 0 12.5
Ex2Rf94Ip 49.23 0.47511 36.74 37.44 12.5 12.5
Ex2Gb94IE 19.37 0.63055 39.93 23.18 0 12.5
Ex2Gb94IEp 88.19 0.50094 54.12 50.46 0 25
Ex2Gb94IEV 35.97 0.63940 58.08 22.95 0 25
Ex2Gb94IEVp 157.80 0.90744 50.91 44.48 0 0
ExGb94A 25.29 0.65084 47.14 27.87 0 25
ExGb94Ap 446.80 0.35563 61.01 54.9 0 0
Ex2Gb94I 13.94 0.66139 31.47 11.16 0 37.5
Ex2Gb94Ip 47.09 0.57929 36.43 30.6 0 12.5
Ex294IE 20.32 0.84172 30.77 24.62 0 12.5
Ex294IEp 18.92 0.96221 27.92 21.58 0 37.5
Ex294IEV 195.80 -1.92920 255.5 15.53 0 25
Ex294IEVp 131.90 0.93087 48.93 53.78 0 0
Ex294Ip 1.83 0.96637 10.08 9.021 0 50
Ex94A 758.40 -1.02470 82.59 84.28 0 0
Ex94Ap 167.50 0.27644 98.96 54.07 0 25
Ex294I 1.75 0.98893 9.33 7.814 12.5 50
