N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 5.623e+15 300 1.136365675E+00 1.139619857E+00
1.468000E+10 5.623e+15 300 1.137409189E+00 1.139644006E+00
2.154000E+10 5.623e+15 300 1.138148502E+00 1.139679801E+00
3.162000E+10 5.623e+15 300 1.138683582E+00 1.139731238E+00
4.642000E+10 5.623e+15 300 1.139089738E+00 1.139805909E+00
6.813000E+10 5.623e+15 300 1.139423380E+00 1.139946168E+00
1.000000E+11 5.623e+15 300 1.139730531E+00 1.140436801E+00
1.468000E+11 5.623e+15 300 1.140452018E+00 1.141147988E+00
2.154000E+11 5.623e+15 300 1.141663605E+00 1.142173179E+00
3.162000E+11 5.623e+15 300 1.143257986E+00 1.143639535E+00
4.642000E+11 5.623e+15 300 1.145420163E+00 1.145714347E+00
6.813000E+11 5.623e+15 300 1.148372694E+00 1.148607675E+00
1.000000E+12 5.623e+15 300 1.152371420E+00 1.152548847E+00
1.468000E+12 5.623e+15 300 1.153346824E+00 1.153373008E+00
2.154000E+12 5.623e+15 300 1.154222395E+00 1.154240430E+00
3.162000E+12 5.623e+15 300 1.155116057E+00 1.155128503E+00
4.642000E+12 5.623e+15 300 1.155766354E+00 1.155774889E+00
6.813000E+12 5.623e+15 300 1.156425698E+00 1.156431568E+00
1.000000E+13 5.623e+15 300 1.157014896E+00 1.157018926E+00
